,Frequency
Crew health,8466
Refrigeration,1570
Glovebox,1233
General science,1092
Biology,1032
Centrifuge,1022
Furnace,884
Plant,537
Fluids,523
Robotics,334
Microscope,306
External payloads,301
Astronomy,284
Incubator,247
Earth observation,219
Maintenance,214
Satellite deployer,191
Physics,172
3D printing,154
Image processing,116
Combustion,80
Stowage,75
Materials,72
Levitation,61
Life support,50
Communication,44
Environmental,21
Human research,14
Vibration isolation,9
,3
Heating,0
Camera,0
Chemistry,0
