,Frequency
Crew health,0.4379267535692117
Refrigeration,0.08121249741361473
Glovebox,0.06388371611835299
General science,0.05648665425201738
Biology,0.05338299193047796
Centrifuge,0.05286571487688806
Furnace,0.045779019242706394
Plant,0.027777777777777776
Fluids,0.027053589902751914
Robotics,0.017328781295261744
Microscope,0.015880405545210013
External payloads,0.015621767018415063
Astronomy,0.014690668321953239
Incubator,0.012776743223670598
Earth observation,0.01132836747361887
Maintenance,0.011069728946823919
Satellite deployer,0.009879991723567143
Physics,0.008897165321746328
3D printing,0.007966066625284502
Image processing,0.006000413821642872
Combustion,0.004138216428719222
Stowage,0.0038795779019242705
Materials,0.0037243947858473
Levitation,0.003155390026898407
Life support,0.0025863852679495138
Communication,0.002276019035795572
Environmental,0.0010862818125387957
Human research,0.0007241878750258639
Vibration isolation,0.0004655493482309125
,0.00015518311607697082
Heating,0.0
Camera,0.0
Chemistry,0.0
