,Frequency
Crew health,0.24021526418786693
Refrigeration,0.1097987140061504
Glovebox,0.0863852390271177
General science,0.08051439753983786
Biology,0.07212748112943808
Centrifuge,0.07142857142857142
Furnace,0.06185350852669835
Plant,0.03760134190662567
Fluids,0.0325691920603858
Robotics,0.02341347497903271
Microscope,0.021456527816606095
External payloads,0.021176963936259435
Astronomy,0.019849035504612804
Incubator,0.017263069611406206
Earth observation,0.015376013419066257
Maintenance,0.014956667598546268
Satellite deployer,0.013349175286552977
Physics,0.012021246854906346
3D printing,0.010763209393346379
Image processing,0.008107352530053118
Combustion,0.005591277606933185
Stowage,0.00524182275649986
Materials,0.005032149846239866
Levitation,0.004263349175286553
Life support,0.00349454850433324
Communication,0.0030752026838132512
Environmental,0.0014677103718199608
Human research,0.0009784735812133072
Vibration isolation,0.0006290187307799833
Heating,0.0
Camera,0.0
Chemistry,0.0
