,Frequency
Crew health,3437
Refrigeration,1571
Glovebox,1236
General science,1092
Biology,1032
Centrifuge,1022
Furnace,885
Plant,538
Fluids,526
Robotics,335
Microscope,307
External payloads,303
Astronomy,284
Incubator,247
Earth observation,220
Maintenance,214
Satellite deployer,191
Physics,172
3D printing,154
Image processing,116
Combustion,80
Stowage,75
Materials,72
Levitation,61
Life support,50
Communication,44
Environmental,21
Human research,14
Vibration isolation,9
Heating,0
Camera,0
Chemistry,0
