,Frequency
Crew health,0.4544079290558164
Refrigeration,0.0819509650495566
Biology,0.08002086593635889
General science,0.060302556077203966
Furnace,0.046009389671361506
Glovebox,0.04241001564945227
Plant,0.02806468440271257
Fluids,0.024047991653625457
Robotics,0.017475221700573813
Centrifuge,0.01643192488262911
inSPA,0.01617110067814293
Microscope,0.016014606155451225
External payloads,0.015805946791862285
Astronomy,0.014814814814814815
Incubator,0.012154407929055816
Earth observation,0.011476264997391758
Maintenance,0.010537297861241524
Satellite deployer,0.009963484611371936
Physics,0.008972352634324466
3D printing,0.00803338549817423
Image processing,0.006259780907668232
Combustion,0.004173187271778821
Materials,0.0038601982263954094
Levitation,0.0030777256129368804
Life support,0.0026082420448617634
Communication,0.0022952529994783514
Environmental,0.0010954616588419405
Human research,0.0006781429316640585
Vibration isolation,0.00046948356807511736
Stowage,0.0004173187271778821
Camera,0.0
Heating,0.0
Chemistry,0.0
