,Frequency
Crew health,0.24016490811264063
Refrigeration,0.10977569701628118
Glovebox,0.08636713017958214
General science,0.08049751939067849
Biology,0.07211236112081615
Centrifuge,0.07141359793166097
Furnace,0.06184054224023478
Plant,0.037593459576549505
Fluids,0.03277199357137866
Robotics,0.023408566836699042
Microscope,0.021452029907064497
External payloads,0.021172524631402418
Astronomy,0.019844874572007547
Incubator,0.017259450772133325
Earth observation,0.015372790161414296
Maintenance,0.014953532247921179
Satellite deployer,0.01334637691286423
Physics,0.01201872685346936
3D printing,0.010760953112990008
Image processing,0.008105652994200265
Combustion,0.005590105513241563
Stowage,0.005240723918663964
Materials,0.005031094961917406
Levitation,0.004262455453846691
Life support,0.0034938159457759766
Communication,0.0030745580322828594
Environmental,0.00146740269722591
Human research,0.0009782684648172734
Vibration isolation,0.0006288868702396757
Heating,0.0
Camera,0.0
Chemistry,0.0
