,Frequency
Crew health,3681
Refrigeration,1571
Biology,1534
General science,1156
Furnace,882
Glovebox,813
Plant,538
Fluids,461
Robotics,335
Centrifuge,315
Microscope,307
External payloads,303
inSPA,294
Astronomy,284
Incubator,233
Earth observation,220
Maintenance,202
Satellite deployer,191
Physics,172
3D printing,154
Image processing,120
Combustion,80
Materials,72
Levitation,59
Life support,50
Communication,44
Environmental,21
Human research,13
Vibration isolation,9
Stowage,8
Camera,0
Heating,0
Chemistry,0
