Report Date,ABRS,ABS,Acoustic Diagnostics,Actiwatch,Actiwatch Spectrum,ADF,ADSEP,ADSEP-2,AEM,ALTEA,APCF,Aquatic Habitat,ARCTIC,ARED,Astro Garden,Astrobee,Bartolomeo,Bio-Analyzer,BioChip SpaceLab,Bioculture System,Bioimpedance Analyzer,BIOKON,BioLab,Bio-Monitor,BioServe Centrifuge,BioServe Microscope,Biotube,Bone Densitometer,BRIC,BSTC,BTR,BXF,Carbon Dioxide Meter,CB,CBEF,CBEF-L,CBPD,CCE,CellCult,CEVIS,CGBA,CIR,COLBERT,Cold Atom Lab,Columbus-EPF,Confocal Microscope,CRIM-M,Cryo Chiller,Cyclops,DDVS,DECLIC,Double Coldbag,EDR,EDR-2,EFU Adapter,EFU Adapter2,ELC,ELF,ELITE-S2,EMCS,EML,EPM,ETC,EuTEF,EXHAM,EXPRESS Rack,Faraday Research,FIR,FPC,FPEF,FROST,Fruit Fly Lab,FSL,FRIDGE,GASMAP,GAP-FPA,GCF,GLACIER,Glovebox Freezer,GN2,GHF,Hermes,HGD-PFD,Holter,Holter Monitor 2,HPA,HRF-1,HRF-2,HSRC,ICE Cubes,Iceberg,In Situ Chemiluminescent Reader,IPU,IPU2,iRED,ISERV,ARISS,JAXA Mouse Habitat Unit,JEM-EF,J-SSOD,KERMIT,KFT,KOBAIRO Rack,Kubik,LIDAL,LSG,LMM,LSR,MAMS,AMF,MARES,MMD,MDS,MELFI,MERLIN,MicroPREP,Mini Coldbag,MISSE-FF,MOBIAS,Mobile SpaceLab,Mochii,MQ-Warmchain,MSG,MSL,MSPR,MSPR-2,MSRR-1,MUSES,MVIS,MVP,MWA,Nanoracks Airlock,NanoRacks Astrium Centrifuge,NanoRacks CubeSat Deployer,NanoRacks External Platform,NanoRacks Microsat Deployer,NanoRacks Microscopes,Nanoracks Nanode,NanoRacks Plate Reader,NanoRacks Platforms,NanoRacks-extCygnus-NRCSD,NanoRacks-GoPro Fusion,PCBA,PCG-STES,PCRF,PERSEO,PFMI,PFS,PGB,Plant Habitat,Polar,Portable Pulmonary Function System,Programmable Isolation Mount,RAM,RC,Rodent Research,Ryutai,SABL,Saibo,SALI,SAMS-II,SCAN Testbed,SCOF,SLAMMD,SlingShot,SoFIE,Solar,SUBSA,SPACE DREAMS,Spectrum,SPHERES,SPySE,STaARS-1 EF,TangoLab-1,TangoLab-2,TELLAS,TEPC,TVIS,Ultrasound,Ultrasound 2,UMS,Veggie,Wearable Monitoring,Wet Lab Kit,Wet Lab RNA SmartCycler,WORF,BFF,JBN,CRF,NeuroSpan Bridge,HSC,HMFG,FOP,Tissue Engineered Liver,BEOL,ICF,ISSCOR,IGO,MSTIC,BOX,Industrial Cell Production Lab,Protein-Based Artificial Retinas,Nanoligomer,Semimetal-Semiconductor Composite Bulk Crystals,Space Fibers,Stem Cell Production,TCMM,TSCM,VAM,MSFO,UNIGLO,Orbital Stem Cell Laboratory
2009,19,0,0,175,0,0,0,0,0,23,0,0,0,337,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,43,0,13,0,0,271,56,56,53,0,0,0,0,0,0,0,5,3,4,0,0,0,22,0,0,5,0,50,3,4,0,93,0,11,0,15,0,0,15,0,0,0,0,19,0,1,0,0,0,85,51,0,142,8,0,0,1,0,34,0,16,0,7,0,4,0,0,10,0,0,0,0,3,0,3,0,0,36,36,166,22,0,0,0,0,0,0,0,59,8,0,0,8,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,45,0,3,0,0,24,5,0,1,13,0,2,30,0,5,0,24,0,3,0,6,36,0,0,26,0,0,2,12,0,0,0,0,0,18,334,25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,0,0,158,0,0,0,0,0,14,0,0,0,353,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,36,0,0,1,0,247,48,70,327,0,0,0,0,0,0,0,8,6,32,0,0,0,13,0,0,12,0,36,2,0,0,56,0,28,0,23,0,0,18,0,0,0,0,13,0,2,0,0,0,66,30,0,126,4,0,0,0,0,24,0,1,0,13,0,0,0,0,10,0,1,0,0,11,0,1,0,17,26,0,159,25,0,0,0,0,0,0,0,85,15,0,0,7,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,0,42,1,0,4,35,0,0,45,0,2,0,4,0,0,0,7,26,0,0,22,0,0,2,12,0,0,0,0,0,15,336,19,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,70,8,0,0,0,0,7,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,17,0,0,2,0,250,63,68,288,0,0,0,0,0,0,0,6,1,23,0,0,0,27,0,1,8,0,55,0,0,0,102,0,49,0,19,0,0,13,0,1,0,0,14,0,1,24,0,0,83,33,0,34,8,0,0,0,0,13,0,0,0,12,0,0,0,0,5,0,1,0,0,34,0,1,0,7,22,4,147,22,0,0,0,0,0,0,0,52,10,12,0,4,0,2,4,28,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,37,0,6,5,28,0,5,52,0,10,0,4,0,0,0,1,22,0,0,32,0,0,11,9,0,0,0,0,0,10,257,23,9,9,0,0,0,0,69,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,0,0,106,62,0,0,0,0,17,0,23,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,2,2,0,291,66,64,301,0,0,0,0,0,0,0,7,4,6,0,0,0,10,0,7,7,0,86,0,0,0,111,0,6,0,13,0,0,6,0,0,0,0,12,0,0,14,0,0,91,59,0,11,5,0,0,0,0,16,0,0,0,5,0,0,0,0,7,0,0,0,0,4,0,0,0,8,21,3,168,9,0,0,0,0,0,0,0,57,3,26,0,0,0,0,4,38,0,0,0,0,0,0,0,3,0,0,0,12,0,2,0,0,54,0,0,9,39,0,4,107,0,10,0,1,0,3,0,5,21,0,0,11,0,0,71,18,0,0,0,0,0,9,345,226,31,5,0,0,0,0,39,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,0,0,13,4,0,0,0,0,0,0,2,0,10,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,7,0,5,0,0,0,10,0,9,0,9,2,0,3,0,0,0,0,9,0,2,7,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,9,1,23,6,0,0,0,0,0,0,0,10,6,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,7,0,0,0,2,0,3,5,0,3,0,1,0,0,0,3,9,0,0,5,0,0,4,18,0,0,0,0,0,0,2,35,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,0,0,9,4,0,0,0,0,0,0,16,0,25,0,0,0,0,0,0,0,0,5,0,0,0,3,2,4,0,0,0,0,9,28,0,0,0,0,10,20,45,0,0,0,0,0,0,6,0,4,0,12,0,0,0,6,0,4,13,8,5,0,0,0,3,0,21,0,6,1,1,1,0,0,0,0,7,0,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,0,0,11,0,0,0,3,5,0,41,5,0,0,0,0,0,0,0,15,6,18,0,0,0,0,0,22,0,0,13,0,0,3,0,0,1,0,0,0,0,4,0,0,6,0,0,2,5,0,1,0,13,4,0,6,0,0,2,2,5,0,0,6,0,0,4,24,0,0,0,0,0,0,0,40,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,0,0,15,5,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,9,4,0,0,0,0,2,40,0,1,0,0,7,7,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,4,8,0,0,4,15,0,5,0,8,4,3,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,8,0,0,8,0,0,0,6,0,0,70,8,0,0,0,0,0,0,0,28,0,17,3,0,0,0,0,15,0,0,1,0,0,0,0,1,2,0,0,0,0,3,0,0,18,0,0,4,12,0,2,0,24,7,0,3,0,0,0,6,0,0,0,4,0,0,5,17,0,0,0,0,0,1,0,35,6,0,21,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,14,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,35,0,0,1,0,4,4,21,0,0,0,0,0,0,5,0,1,2,2,0,2,0,16,18,0,8,2,3,0,0,4,18,0,5,0,6,2,0,3,0,0,0,0,1,0,3,0,0,0,30,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,9,0,0,0,4,0,0,5,0,0,6,10,0,0,73,9,0,0,0,0,0,0,0,44,7,27,0,0,0,0,0,10,0,0,12,5,0,0,0,2,1,0,0,0,0,3,0,0,11,0,0,10,10,0,5,13,22,4,15,5,0,1,0,1,0,0,0,11,0,0,4,13,0,0,0,0,0,1,0,51,18,0,11,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,1,0,3,0,0,6,0,0,0,0,0,0,16,0,1,0,0,0,4,0,0,5,0,0,0,0,5,2,0,0,0,0,1,17,0,0,0,10,9,0,18,0,0,0,0,0,0,1,0,4,3,4,0,4,0,19,20,0,4,3,1,0,0,1,9,0,22,0,0,10,1,3,0,0,0,0,19,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,4,0,0,26,1,0,8,22,1,0,102,13,0,0,0,0,0,0,0,45,6,16,0,1,4,1,0,7,0,0,1,9,0,0,0,0,1,0,0,0,0,1,1,0,9,0,5,3,3,1,0,5,56,1,21,1,0,0,0,3,1,0,0,13,0,0,0,17,0,1,7,4,0,1,0,24,8,0,30,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,5,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,15,0,0,0,0,9,0,28,0,4,0,0,0,0,2,0,2,3,1,0,1,0,8,13,0,11,2,5,0,0,10,21,0,11,0,0,5,0,2,0,0,0,0,8,0,1,0,0,0,1,0,0,3,4,6,4,0,0,0,0,0,0,1,0,2,12,0,1,0,5,0,14,24,11,0,13,3,3,0,79,3,0,0,7,0,0,0,0,28,1,9,0,1,5,0,12,3,0,0,3,7,1,0,0,6,2,0,0,0,0,2,0,0,1,0,25,3,1,0,1,3,46,4,20,3,0,1,0,0,1,0,0,8,13,0,3,14,0,0,5,6,0,0,0,9,0,0,55,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2019,0,0,5,3,2,0,6,0,0,1,0,0,0,7,0,19,2,4,0,3,0,0,2,17,0,0,0,3,0,0,0,0,0,8,26,10,0,0,0,2,0,27,0,1,0,0,0,4,0,0,0,2,1,0,1,0,12,7,0,0,8,2,0,0,6,8,0,14,0,1,4,0,4,0,0,0,0,6,1,0,0,5,0,0,0,0,1,0,0,4,0,0,3,0,0,0,1,0,4,6,0,0,0,12,1,10,17,13,0,0,0,11,0,19,5,0,0,15,0,0,0,0,20,9,8,0,2,1,0,9,1,0,0,4,1,0,0,0,0,3,3,0,0,0,0,0,0,2,1,0,3,1,0,0,1,54,1,11,10,0,3,1,2,2,7,0,13,4,0,5,10,0,0,3,4,0,0,0,5,1,0,33,0,0,0,2,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
