,support,itemsets,length,frequency
1337,0.0018857250612860645,"frozenset({'Bone Densitometer', 'Rodent Research'})",2,20
1358,0.0006600037714501226,"frozenset({'Rodent Research', 'MMD'})",2,7
272,0.0005657175183858194,"frozenset({'Actiwatch', 'Spectrum'})",2,6
163,0.0002828587591929097,"frozenset({'PFS', 'CGBA'})",2,3
316,0.00018857250612860644,"frozenset({'CGBA', 'PCBA'})",2,2
193,0.00018857250612860644,"frozenset({'CGBA', 'Portable Pulmonary Function System'})",2,2
273,0.00018857250612860644,"frozenset({'Holter Monitor 2', 'Spectrum'})",2,2
589,0.00018857250612860644,"frozenset({'Ultrasound 2', 'Rodent Research'})",2,2
274,0.00018857250612860644,"frozenset({'Holter', 'Spectrum'})",2,2
533,0.00018857250612860644,"frozenset({'CGBA', 'TEPC'})",2,2
1280,0.00018857250612860644,"frozenset({'BRIC', 'HRF-2'})",2,2
1343,0.00018857250612860644,"frozenset({'Bone Densitometer', 'Spectrum'})",2,2
490,0.00018857250612860644,"frozenset({'CGBA', 'Holter'})",2,2
489,9.428625306430322e-05,"frozenset({'CBEF', 'Holter'})",2,1
502,9.428625306430322e-05,"frozenset({'EPM', 'CGBA'})",2,1
587,9.428625306430322e-05,"frozenset({'Ultrasound 2', 'CGBA'})",2,1
279,9.428625306430322e-05,"frozenset({'PFS', 'Spectrum'})",2,1
278,9.428625306430322e-05,"frozenset({'Portable Pulmonary Function System', 'Spectrum'})",2,1
276,9.428625306430322e-05,"frozenset({'HRF-2', 'Spectrum'})",2,1
275,9.428625306430322e-05,"frozenset({'Actiwatch Spectrum', 'Spectrum'})",2,1
815,9.428625306430322e-05,"frozenset({'CBEF', 'ALTEA'})",2,1
1388,9.428625306430322e-05,"frozenset({'Wet Lab Kit', 'Bone Densitometer'})",2,1
