,support,itemsets,length,frequency
846,0.02959691816217232,"frozenset({'HRF-1', 'Actiwatch'})",2,315
289,0.021046697359766983,"frozenset({'Holter', 'Actiwatch'})",2,224
298,0.01691252466409847,"frozenset({'Holter', 'Holter Monitor 2'})",2,180
299,0.016536690782674057,"frozenset({'Actiwatch', 'Holter Monitor 2'})",2,176
191,0.014845438316264212,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,158
522,0.013248144320210467,"frozenset({'EPM', 'Actiwatch'})",2,141
523,0.010899182561307902,"frozenset({'EPM', 'Holter'})",2,116
941,0.010805224090951799,"frozenset({'Ultrasound 2', 'Ultrasound'})",2,114
300,0.00939584703561026,"frozenset({'EPM', 'Holter Monitor 2'})",2,100
531,0.009301888565254157,"frozenset({'Actiwatch', 'Actiwatch Spectrum'})",2,99
532,0.006389175984214977,"frozenset({'Holter', 'Actiwatch Spectrum'})",2,68
455,0.005919383632434464,"frozenset({'PCBA', 'MMD'})",2,62
533,0.004791881988161233,"frozenset({'Actiwatch Spectrum', 'Holter Monitor 2'})",2,51
290,0.0036643803438880015,"frozenset({'Holter', 'Ultrasound'})",2,39
534,0.003570421873531899,"frozenset({'EPM', 'Actiwatch Spectrum'})",2,38
942,0.0025368786996147704,"frozenset({'Holter', 'Ultrasound 2'})",2,27
535,0.002348961758902565,"frozenset({'Actiwatch Spectrum', 'Ultrasound 2'})",2,25
771,0.002348961758902565,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
301,0.002348961758902565,"frozenset({'Holter Monitor 2', 'Ultrasound'})",2,25
536,0.002348961758902565,"frozenset({'Actiwatch Spectrum', 'Ultrasound'})",2,25
164,0.002348961758902565,"frozenset({'Holter', 'PFS'})",2,25
945,0.002348961758902565,"frozenset({'Actiwatch', 'Ultrasound 2'})",2,25
944,0.002348961758902565,"frozenset({'Holter Monitor 2', 'Ultrasound 2'})",2,25
167,0.002067086347834257,"frozenset({'EPM', 'PFS'})",2,22
1708,0.0015033355256976416,"frozenset({'PFS', 'HRF-2'})",2,16
1709,0.0010335431739171286,"frozenset({'Holter', 'HRF-2'})",2,11
847,0.0010335431739171286,"frozenset({'HRF-1', 'Ultrasound'})",2,11
1164,0.000939584703561026,"frozenset({'EPM', 'CBPD'})",2,10
776,0.000939584703561026,"frozenset({'EPM', 'MARES'})",2,10
1419,0.000939584703561026,"frozenset({'MMD', 'HRF-1'})",2,10
1165,0.000939584703561026,"frozenset({'Holter', 'CBPD'})",2,10
524,0.0007516677628488208,"frozenset({'EPM', 'Ultrasound'})",2,8
1166,0.0007516677628488208,"frozenset({'CBPD', 'Holter Monitor 2'})",2,8
170,0.0005637508221366156,"frozenset({'PFS', 'Ultrasound'})",2,6
1167,0.0005637508221366156,"frozenset({'Actiwatch', 'CBPD'})",2,6
1420,0.0005637508221366156,"frozenset({'MMD', 'Holter'})",2,6
947,0.0005637508221366156,"frozenset({'HRF-1', 'Ultrasound 2'})",2,6
1710,0.0005637508221366156,"frozenset({'EPM', 'HRF-2'})",2,6
194,0.000469792351780513,"frozenset({'EPM', 'Portable Pulmonary Function System'})",2,5
195,0.0003758338814244104,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
954,0.0003758338814244104,"frozenset({'PFS', 'Ultrasound 2'})",2,4
457,0.0003758338814244104,"frozenset({'EPM', 'PCBA'})",2,4
1707,0.0002818754110683078,"frozenset({'Actiwatch', 'HRF-2'})",2,3
1712,0.0002818754110683078,"frozenset({'HRF-1', 'HRF-2'})",2,3
199,0.0002818754110683078,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
302,0.0001879169407122052,"frozenset({'HRF-1', 'Holter Monitor 2'})",2,2
2023,0.0001879169407122052,"frozenset({'Bone Densitometer', 'Ultrasound'})",2,2
2022,0.0001879169407122052,"frozenset({'Bone Densitometer', 'Ultrasound 2'})",2,2
955,0.0001879169407122052,"frozenset({'Portable Pulmonary Function System', 'Ultrasound 2'})",2,2
946,0.0001879169407122052,"frozenset({'EPM', 'Ultrasound 2'})",2,2
1714,0.0001879169407122052,"frozenset({'HRF-2', 'Ultrasound'})",2,2
1713,0.0001879169407122052,"frozenset({'HRF-2', 'Ultrasound 2'})",2,2
537,0.0001879169407122052,"frozenset({'HRF-1', 'Actiwatch Spectrum'})",2,2
848,0.0001879169407122052,"frozenset({'Holter', 'HRF-1'})",2,2
775,0.0001879169407122052,"frozenset({'MMD', 'MARES'})",2,2
1320,9.39584703561026e-05,"frozenset({'PCBA', 'ALTEA'})",2,1
171,9.39584703561026e-05,"frozenset({'HRF-1', 'PFS'})",2,1
1845,9.39584703561026e-05,"frozenset({'PCBA', 'RAM'})",2,1
456,9.39584703561026e-05,"frozenset({'PCBA', 'Ultrasound'})",2,1
1717,9.39584703561026e-05,"frozenset({'Portable Pulmonary Function System', 'HRF-2'})",2,1
200,9.39584703561026e-05,"frozenset({'Portable Pulmonary Function System', 'Holter Monitor 2'})",2,1
1729,9.39584703561026e-05,"frozenset({'GASMAP', 'HRF-2'})",2,1
202,9.39584703561026e-05,"frozenset({'Actiwatch', 'Portable Pulmonary Function System'})",2,1
1318,9.39584703561026e-05,"frozenset({'ALTEA', 'Portable Pulmonary Function System'})",2,1
1319,9.39584703561026e-05,"frozenset({'ALTEA', 'PFS'})",2,1
872,9.39584703561026e-05,"frozenset({'ALTEA', 'TEPC'})",2,1
873,9.39584703561026e-05,"frozenset({'PCBA', 'TEPC'})",2,1
1424,9.39584703561026e-05,"frozenset({'MMD', 'Ultrasound'})",2,1
1168,9.39584703561026e-05,"frozenset({'CBPD', 'PFS'})",2,1
783,9.39584703561026e-05,"frozenset({'MARES', 'Ultrasound'})",2,1
782,9.39584703561026e-05,"frozenset({'MARES', 'Ultrasound 2'})",2,1
1915,9.39584703561026e-05,"frozenset({'Actiwatch', 'Bio-Monitor'})",2,1
172,9.39584703561026e-05,"frozenset({'Actiwatch', 'PFS'})",2,1
950,9.39584703561026e-05,"frozenset({'MMD', 'Ultrasound 2'})",2,1
305,9.39584703561026e-05,"frozenset({'PFS', 'Holter Monitor 2'})",2,1
2041,9.39584703561026e-05,"frozenset({'Bio-Monitor', 'Bio-Analyzer'})",2,1
