,support,itemsets,length,frequency
773,0.0004693073024216257,"frozenset({'MARES', 'WORF'})",2,5
273,0.00018772292096865028,"frozenset({'PFS', 'WORF'})",2,2
951,9.386146048432514e-05,"frozenset({'Ultrasound 2', 'WORF'})",2,1
270,9.386146048432514e-05,"frozenset({'Ultrasound', 'WORF'})",2,1
304,9.386146048432514e-05,"frozenset({'Holter Monitor 2', 'WORF'})",2,1
274,9.386146048432514e-05,"frozenset({'Holter', 'WORF'})",2,1
1311,9.386146048432514e-05,"frozenset({'ALTEA', 'WORF'})",2,1
1423,9.386146048432514e-05,"frozenset({'WORF', 'MMD'})",2,1
201,9.386146048432514e-05,"frozenset({'Portable Pulmonary Function System', 'WORF'})",2,1
275,9.386146048432514e-05,"frozenset({'Actiwatch', 'WORF'})",2,1
