,support,itemsets,length,frequency
1492,0.0004398311048557354,"frozenset({'Bone Densitometer', 'MSG'})",2,5
885,0.00017593244194229416,"frozenset({'ALTEA', 'MSG'})",2,2
987,0.00017593244194229416,"frozenset({'CB', 'UMS'})",2,2
1514,0.00017593244194229416,"frozenset({'MMD', 'MSG'})",2,2
886,8.796622097114708e-05,"frozenset({'ALTEA', 'CB'})",2,1
920,8.796622097114708e-05,"frozenset({'KFT', 'TEPC'})",2,1
1003,8.796622097114708e-05,"frozenset({'CB', 'RAM'})",2,1
194,8.796622097114708e-05,"frozenset({'Portable Pulmonary Function System', 'MSG'})",2,1
329,8.796622097114708e-05,"frozenset({'PCBA', 'MSG'})",2,1
461,8.796622097114708e-05,"frozenset({'MARES', 'MSG'})",2,1
166,8.796622097114708e-05,"frozenset({'PFS', 'CB'})",2,1
165,8.796622097114708e-05,"frozenset({'PFS', 'MSG'})",2,1
361,8.796622097114708e-05,"frozenset({'Actiwatch', 'MSG'})",2,1
