,support,itemsets,length,frequency
773,0.0004692632566870014,"frozenset({'WORF', 'MARES'})",2,5
273,0.00018770530267480057,"frozenset({'WORF', 'PFS'})",2,2
951,9.385265133740028e-05,"frozenset({'WORF', 'Ultrasound 2'})",2,1
304,9.385265133740028e-05,"frozenset({'WORF', 'Holter Monitor 2'})",2,1
274,9.385265133740028e-05,"frozenset({'WORF', 'Holter'})",2,1
270,9.385265133740028e-05,"frozenset({'WORF', 'Ultrasound'})",2,1
275,9.385265133740028e-05,"frozenset({'WORF', 'Actiwatch'})",2,1
1311,9.385265133740028e-05,"frozenset({'WORF', 'ALTEA'})",2,1
1423,9.385265133740028e-05,"frozenset({'WORF', 'MMD'})",2,1
201,9.385265133740028e-05,"frozenset({'WORF', 'Portable Pulmonary Function System'})",2,1
