,support,itemsets,length,frequency
2001,0.00047143126532151613,"frozenset({'MSG', 'Bone Densitometer'})",2,5
1409,0.00018857250612860644,"frozenset({'MSG', 'MMD'})",2,2
1296,0.00018857250612860644,"frozenset({'ALTEA', 'MSG'})",2,2
462,9.428625306430322e-05,"frozenset({'MSG', 'PCBA'})",2,1
501,9.428625306430322e-05,"frozenset({'MSG', 'Actiwatch'})",2,1
779,9.428625306430322e-05,"frozenset({'MSG', 'MARES'})",2,1
1329,9.428625306430322e-05,"frozenset({'KFT', 'TEPC'})",2,1
1393,9.428625306430322e-05,"frozenset({'CB', 'UMS'})",2,1
169,9.428625306430322e-05,"frozenset({'PFS', 'MSG'})",2,1
198,9.428625306430322e-05,"frozenset({'MSG', 'Portable Pulmonary Function System'})",2,1
