,support,itemsets,length,frequency
453,0.007415055378261686,"frozenset({'MELFI', 'PCBA'})",2,79
1418,0.006007133470996809,"frozenset({'MELFI', 'MMD'})",2,64
291,0.0010324760653275765,"frozenset({'MELFI', 'Holter'})",2,11
165,0.0010324760653275765,"frozenset({'MELFI', 'PFS'})",2,11
525,0.00037544584193730055,"frozenset({'MELFI', 'EPM'})",2,4
288,0.0002815843814529754,"frozenset({'MELFI', 'Actiwatch'})",2,3
196,0.0002815843814529754,"frozenset({'MELFI', 'Portable Pulmonary Function System'})",2,3
1315,0.0002815843814529754,"frozenset({'MELFI', 'ALTEA'})",2,3
772,0.0002815843814529754,"frozenset({'MELFI', 'Ultrasound'})",2,3
777,0.0002815843814529754,"frozenset({'MELFI', 'MARES'})",2,3
1235,0.00018772292096865028,"frozenset({'Portable Pulmonary Function System', 'MERLIN'})",2,2
1236,0.00018772292096865028,"frozenset({'MERLIN', 'PFS'})",2,2
871,0.00018772292096865028,"frozenset({'MELFI', 'TEPC'})",2,2
2017,0.00018772292096865028,"frozenset({'MELFI', 'Bone Densitometer'})",2,2
460,0.00018772292096865028,"frozenset({'MERLIN', 'PCBA'})",2,2
874,9.386146048432514e-05,"frozenset({'TEPC', 'MERLIN'})",2,1
780,9.386146048432514e-05,"frozenset({'MERLIN', 'MARES'})",2,1
538,9.386146048432514e-05,"frozenset({'MELFI', 'Actiwatch Spectrum'})",2,1
1317,9.386146048432514e-05,"frozenset({'GLACIER', 'ALTEA'})",2,1
1321,9.386146048432514e-05,"frozenset({'MERLIN', 'ALTEA'})",2,1
1275,9.386146048432514e-05,"frozenset({'GLACIER', 'PFS'})",2,1
1274,9.386146048432514e-05,"frozenset({'Portable Pulmonary Function System', 'GLACIER'})",2,1
1412,9.386146048432514e-05,"frozenset({'MELFI', 'UMS'})",2,1
1846,9.386146048432514e-05,"frozenset({'MELFI', 'RAM'})",2,1
