,itemsets,Distance
4082,"frozenset({'ARED', 'Plant Habitat'})",4
3942,"frozenset({'COLBERT', 'EDR'})",4
2474,"frozenset({'MELFI', 'ARED'})",4
3167,"frozenset({'CB', 'TVIS'})",4
3168,"frozenset({'CB', 'ARED'})",4
2611,"frozenset({'EPM', 'TVIS'})",4
4132,"frozenset({'FSL', 'ARED'})",4
2476,"frozenset({'MELFI', 'TVIS'})",4
3060,"frozenset({'CBEF', 'TVIS'})",4
3012,"frozenset({'GHF', 'ARED'})",4
4393,"frozenset({'ABRS', 'TVIS'})",4
2595,"frozenset({'TVIS', 'DECLIC'})",4
3611,"frozenset({'IPU', 'ARED'})",4
3954,"frozenset({'UMS', 'MELFI'})",4
2607,"frozenset({'EPM', 'COLBERT'})",4
2612,"frozenset({'EPM', 'ARED'})",4
3037,"frozenset({'COLBERT', 'MARES'})",4
3952,"frozenset({'CB', 'UMS'})",4
998,"frozenset({'Actiwatch', 'TVIS'})",3
3068,"frozenset({'MWA', 'ARED'})",3
994,"frozenset({'Actiwatch', 'COLBERT'})",3
996,"frozenset({'Actiwatch', 'ARED'})",3
4534,"frozenset({'BioLab', 'MELFI'})",2
4394,"frozenset({'Veggie', 'ABRS'})",2
4125,"frozenset({'FSL', 'WORF'})",2
2608,"frozenset({'EPM', 'Ultrasound'})",2
4124,"frozenset({'FSL', 'MMD'})",2
4074,"frozenset({'CGBA', 'Plant Habitat'})",2
4123,"frozenset({'FSL', 'SLAMMD'})",2
4609,"frozenset({'ADSEP', 'ADSEP-2'})",2
4628,"frozenset({'BRIC', 'MELFI'})",2
3079,"frozenset({'FPEF', 'CIR'})",2
4514,"frozenset({'Kubik', 'MELFI'})",2
3610,"frozenset({'IPU', 'CEVIS'})",2
4122,"frozenset({'FSL', 'Ultrasound 2'})",2
3649,"frozenset({'FIR', 'MELFI'})",2
4130,"frozenset({'FSL', 'MELFI'})",2
4126,"frozenset({'FSL', 'Ultrasound'})",2
4607,"frozenset({'ADSEP', 'SABL'})",2
4619,"frozenset({'CellCult', 'SABL'})",2
4620,"frozenset({'CellCult', 'MSG'})",2
173,"frozenset({'PFS', 'MELFI'})",2
4641,"frozenset({'FROST', 'SABL'})",2
1017,"frozenset({'Holter', 'ARED'})",2
1013,"frozenset({'Holter', 'MELFI'})",2
3560,"frozenset({'LMM', 'MELFI'})",2
3941,"frozenset({'EDR', 'MSG'})",2
3097,"frozenset({'CGBA', 'MELFI'})",2
4592,"frozenset({'Confocal Microscope', 'SABL'})",2
178,"frozenset({'PFS', 'ARED'})",2
4606,"frozenset({'ADSEP', 'BFF'})",2
4561,"frozenset({'CBEF', 'SABL'})",2
4556,"frozenset({'CEVIS', 'ICE Cubes'})",2
4078,"frozenset({'SABL', 'Plant Habitat'})",2
2592,"frozenset({'MDS', 'DECLIC'})",2
1016,"frozenset({'Holter', 'TVIS'})",2
4346,"frozenset({'EPM', 'HRF-2'})",2
3645,"frozenset({'Solar', 'JEM-EF'})",2
842,"frozenset({'WORF', 'TVIS'})",2
3036,"frozenset({'MELFI', 'MARES'})",2
4131,"frozenset({'FSL', 'CEVIS'})",2
4076,"frozenset({'WORF', 'Plant Habitat'})",2
4516,"frozenset({'CGBA', 'Kubik'})",2
3559,"frozenset({'Veggie', 'LMM'})",2
3614,"frozenset({'FIR', 'IPU'})",2
4495,"frozenset({'EPM', 'GN2'})",2
4089,"frozenset({'MSL', 'MELFI'})",2
2475,"frozenset({'MELFI', 'CEVIS'})",2
4563,"frozenset({'MSPR', 'SABL'})",2
183,"frozenset({'PFS', 'TVIS'})",2
4081,"frozenset({'CIR', 'Plant Habitat'})",2
182,"frozenset({'COLBERT', 'PFS'})",2
849,"frozenset({'WORF', 'MELFI'})",2
4121,"frozenset({'FSL', 'CGBA'})",2
4133,"frozenset({'FSL', 'MSG'})",2
3033,"frozenset({'SLAMMD', 'MARES'})",2
4581,"frozenset({'EML', 'ELF'})",2
3059,"frozenset({'CBEF', 'MSG'})",2
4493,"frozenset({'MSPR', 'GN2'})",2
3034,"frozenset({'MARES', 'MMD'})",2
4587,"frozenset({'BFF', 'ELF'})",2
3100,"frozenset({'CGBA', 'ARED'})",2
4496,"frozenset({'Plant Habitat', 'GN2'})",2
167,"frozenset({'ARED', 'CEVIS'})",2
3270,"frozenset({'EPM', 'RC'})",2
4102,"frozenset({'MSRR-1', 'MELFI'})",2
4586,"frozenset({'BFF', 'MELFI'})",2
4494,"frozenset({'ELF', 'GN2'})",2
4492,"frozenset({'EMCS', 'GN2'})",2
2558,"frozenset({'MSG', 'ARED'})",2
4596,"frozenset({'NanoRacks External Platform', 'RC'})",2
4687,"frozenset({'Bone Densitometer', 'MELFI'})",2
3019,"frozenset({'Ultrasound', 'MELFI'})",2
3606,"frozenset({'IPU', 'Holter'})",2
3550,"frozenset({'Saibo', 'MDS'})",2
4497,"frozenset({'Solar', 'GN2'})",2
3032,"frozenset({'WORF', 'MARES'})",2
3945,"frozenset({'EDR', 'Plant Habitat'})",2
4134,"frozenset({'FSL', 'FPEF'})",2
3972,"frozenset({'Veggie', 'MMD'})",2
4135,"frozenset({'FSL', 'FIR'})",2
