Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Actiwatch/HRF-1,Human Research/Multipurpose,Crew health/Crew health,0.12784588441331,0.11682242990654206,0.027958993476234855,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.014084507042253521,0.006191950464396285
Actiwatch/Holter,Human Research/Human Research,Crew health/Crew health,0.047285464098073555,0.027102803738317756,0.03168685927306617,0.05841121495327103,0.0297029702970297,0.004640371229698376,0.020454545454545454,0.020599250936329586,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
Holter/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.04553415061295972,0.028037383177570093,0.03075489282385834,0.048286604361370715,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
Actiwatch/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.043782837127845885,0.027102803738317756,0.03075489282385834,0.04750778816199377,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
CGBA/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Biology/General science,0.04203152364273205,0.013084112149532711,0.04007455731593663,0.0397196261682243,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMD/SLAMMD,Multipurpose/Human Research,Crew health/General science,0.03152364273204904,0.026168224299065422,0.023299161230195712,0.016355140186915886,0.0297029702970297,0.01160092807424594,0.0,0.0,0.0017699115044247787,0.0017064846416382253,0.0038240917782026767,0.0022675736961451248,0.0,0.0,0.0,0.0030959752321981426
MELFI/PCBA,Multipurpose/Human Research,Refrigeration/Crew health,0.03064798598949212,0.014018691588785047,0.016775396085740912,0.008566978193146417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/RC,Multipurpose/Human Research,Refrigeration/Centrifuge,0.025394045534150613,0.04299065420560748,0.05125815470643057,0.08800623052959501,0.0165016501650165,0.0,0.0,0.02247191011235955,0.007079646017699115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/Holter,Human Research/Human Research,Crew health/Crew health,0.025394045534150613,0.02149532710280374,0.02516309412861137,0.028037383177570093,0.0,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMD/PCBA,Multipurpose/Human Research,Crew health/Crew health,0.023642732049036778,0.010280373831775701,0.0130475302889096,0.008566978193146417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBA/SLAMMD,Human Research/Human Research,Crew health/General science,0.023642732049036778,0.010280373831775701,0.0130475302889096,0.008566978193146417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/MMD,Multipurpose/Multipurpose,Refrigeration/Crew health,0.02276707530647986,0.010280373831775701,0.0130475302889096,0.008566978193146417,0.0,0.0,0.0,0.0,0.0,0.0034129692832764505,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/SLAMMD,Multipurpose/Human Research,Refrigeration/General science,0.02276707530647986,0.010280373831775701,0.0130475302889096,0.008566978193146417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/EPM,Human Research/Human Research,Crew health/Crew health,0.01838879159369527,0.018691588785046728,0.02702702702702703,0.05529595015576324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.01838879159369527,0.018691588785046728,0.022367194780987885,0.027258566978193146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLACIER/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.01576182136602452,0.011214953271028037,0.004659832246039142,0.002336448598130841,0.0,0.0,0.0022727272727272726,0.0,0.01415929203539823,0.008532423208191127,0.0057361376673040155,0.0045351473922902496,0.0,0.0,0.0,0.0
CBEF/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0.013134851138353765,0.01588785046728972,0.005591798695246971,0.003894080996884735,0.0,0.030162412993039442,0.01818181818181818,0.009363295880149813,0.005309734513274336,0.005119453924914676,0.0,0.0,0.0,0.0,0.0,0.0
CBEF/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,0.01138353765323993,0.002803738317757009,0.0,0.0,0.0033003300330033004,0.0069605568445475635,0.004545454545454545,0.009363295880149813,0.0017699115044247787,0.005119453924914676,0.019120458891013385,0.013605442176870748,0.006220839813374806,0.0106544901065449,0.003129890453834116,0.0
PFS/Portable Pulmonary Function System,Human Research/Human Research,Crew health/Crew health,0.01138353765323993,0.03271028037383177,0.0260950605778192,0.030373831775700934,0.006600660066006601,0.01160092807424594,0.02727272727272727,0.018726591760299626,0.005309734513274336,0.0017064846416382253,0.0019120458891013384,0.0045351473922902496,0.004665629860031105,0.0015220700152207,0.004694835680751174,0.0
EXPRESS Rack/MELFI,Multipurpose/Multipurpose,General science/Refrigeration,0.008756567425569177,0.003738317757009346,0.004659832246039142,0.000778816199376947,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0,0.0,0.0,0.0
CBPD/Holter,Human Research/Human Research,Crew health/Crew health,0.008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holter/PFS,Human Research/Human Research,Crew health/Crew health,0.008756567425569177,0.005607476635514018,0.003727865796831314,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
KFT/MELFI,Biology and Biotechnology/Multipurpose,Glovebox/Refrigeration,0.008756567425569177,0.009345794392523364,0.004659832246039142,0.003894080996884735,0.0,0.0,0.0,0.0,0.0035398230088495575,0.0017064846416382253,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.00788091068301226,0.008411214953271028,0.001863932898415657,0.000778816199376947,0.0,0.002320185614849188,0.0,0.0018726591760299626,0.0017699115044247787,0.0017064846416382253,0.0038240917782026767,0.0045351473922902496,0.0015552099533437014,0.0,0.004694835680751174,0.0
GLACIER/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.00788091068301226,0.004672897196261682,0.0027958993476234857,0.001557632398753894,0.013201320132013201,0.0,0.0022727272727272726,0.0,0.0017699115044247787,0.0,0.0038240917782026767,0.0022675736961451248,0.003110419906687403,0.0,0.0,0.0
ELC/EXPRESS Rack,Earth and Space Science/Multipurpose,External payloads/General science,0.00788091068301226,0.009345794392523364,0.007455731593662628,0.006230529595015576,0.0165016501650165,0.0,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0030959752321981426
CBPD/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.0070052539404553416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MERLIN,Multipurpose/Biology and Biotechnology,General science/Refrigeration,0.0070052539404553416,0.003738317757009346,0.013979496738117428,0.0,0.013201320132013201,0.0,0.0,0.0018726591760299626,0.0017699115044247787,0.0,0.0019120458891013384,0.0,0.0,0.0,0.001564945226917058,0.0
EXPRESS Rack/GLACIER,Multipurpose/Multipurpose,General science/Refrigeration,0.0070052539404553416,0.002803738317757009,0.005591798695246971,0.003894080996884735,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0015552099533437014,0.0,0.0,0.0
CIR/EXPRESS Rack,Physical Science/Multipurpose,Furnace/General science,0.0070052539404553416,0.001869158878504673,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/MSG,Physical Science/Multipurpose,Furnace/Glovebox,0.0070052539404553416,0.001869158878504673,0.0009319664492078285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MDS,Multipurpose/Biology and Biotechnology,General science/Biology,0.006129597197898424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/CBPD,Human Research/Human Research,Crew health/Crew health,0.005253940455341506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/IPU,Physical Science/Multipurpose,Fluids/Image processing,0.005253940455341506,0.008411214953271028,0.011183597390493943,0.004672897196261682,0.0,0.0,0.004545454545454545,0.003745318352059925,0.0,0.0,0.0019120458891013384,0.0,0.003110419906687403,0.0030441400304414,0.001564945226917058,0.0030959752321981426
HRF-2/Holter,Multipurpose/Human Research,Crew health/Crew health,0.005253940455341506,0.001869158878504673,0.0009319664492078285,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRF-2/PFS,Multipurpose/Human Research,Crew health/Crew health,0.005253940455341506,0.001869158878504673,0.001863932898415657,0.003894080996884735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
EXPRESS Rack/MSG,Multipurpose/Multipurpose,General science/Glovebox,0.005253940455341506,0.003738317757009346,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,0.005253940455341506,0.001869158878504673,0.0027958993476234857,0.0,0.0,0.004640371229698376,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBEF/KFT,Biology and Biotechnology/Biology and Biotechnology,Biology/Glovebox,0.0043782837127845885,0.002803738317757009,0.004659832246039142,0.002336448598130841,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFS/RC,Human Research/Human Research,Crew health/Centrifuge,0.0043782837127845885,0.001869158878504673,0.0009319664492078285,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
