,support,itemsets,length,frequency
187,0.10547649072239236,"frozenset({'TVIS', 'ARED'})",2,1171
167,0.08557016753738066,"frozenset({'ARED', 'CEVIS'})",2,950
303,0.07818411097099622,"frozenset({'TVIS', 'CEVIS'})",2,868
198,0.026661862727436498,"frozenset({'HRF-1', 'Actiwatch'})",2,296
600,0.021707800396324986,"frozenset({'MELFI', 'RC'})",2,241
687,0.017924698252567105,"frozenset({'TVIS', 'Ultrasound'})",2,199
188,0.017654476670870115,"frozenset({'Ultrasound', 'ARED'})",2,196
526,0.016213294901819494,"frozenset({'Holter Monitor 2', 'Holter'})",2,180
304,0.014231669969374888,"frozenset({'Ultrasound', 'CEVIS'})",2,158
664,0.013421005224283912,"frozenset({'PFS', 'Portable Pulmonary Function System'})",2,149
650,0.011619528012970635,"frozenset({'Mass Measurement Device', 'SLAMMD'})",2,129
406,0.010448567825617006,"frozenset({'Holter', 'EPM'})",2,116
298,0.009908124662223024,"frozenset({'PFS', 'CEVIS'})",2,110
200,0.009818050801657359,"frozenset({'Actiwatch', 'Holter'})",2,109
461,0.009637903080526032,"frozenset({'FIR', 'LMM'})",2,107
299,0.009637903080526032,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
690,0.009007386056566384,"frozenset({'Ultrasound 2', 'Ultrasound'})",2,100
407,0.009007386056566384,"frozenset({'Holter Monitor 2', 'EPM'})",2,100
594,0.006485317960727797,"frozenset({'MELFI', 'PCBA'})",2,72
201,0.006125022518465141,"frozenset({'Holter Monitor 2', 'Actiwatch'})",2,68
593,0.005764727076202486,"frozenset({'Mass Measurement Device', 'MELFI'})",2,64
648,0.005584579355071158,"frozenset({'Mass Measurement Device', 'PCBA'})",2,62
602,0.005584579355071158,"frozenset({'MELFI', 'SLAMMD'})",2,62
659,0.005584579355071158,"frozenset({'PCBA', 'SLAMMD'})",2,62
263,0.005314357773374167,"frozenset({'MELFI', 'CBEF'})",2,59
270,0.0051342100522428396,"frozenset({'Saibo', 'CBEF'})",2,57
311,0.005044136191677175,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
254,0.004143397586020537,"frozenset({'CBEF', 'CBEF-L'})",2,46
497,0.004143397586020537,"frozenset({'MELFI', 'GLACIER'})",2,46
472,0.0037831021437578815,"frozenset({'FPEF', 'IPU'})",2,42
196,0.00351288056206089,"frozenset({'Actiwatch', 'EPM'})",2,39
538,0.00351288056206089,"frozenset({'Holter', 'Ultrasound'})",2,39
431,0.0027022158169699153,"frozenset({'MERLIN', 'EXPRESS Rack'})",2,30
498,0.0027022158169699153,"frozenset({'MERLIN', 'GLACIER'})",2,30
206,0.0026121419564042515,"frozenset({'Spectrum', 'Actiwatch'})",2,29
245,0.0026121419564042515,"frozenset({'CBEF', 'CB'})",2,29
251,0.0026121419564042515,"frozenset({'Saibo', 'CB'})",2,29
214,0.0025220680958385876,"frozenset({'Spectrum', 'Actiwatch Spectrum'})",2,28
192,0.0025220680958385876,"frozenset({'Actiwatch', 'Actiwatch Spectrum'})",2,28
539,0.002431994235272924,"frozenset({'Ultrasound 2', 'Holter'})",2,27
422,0.00234192037470726,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
208,0.002251846514141596,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
209,0.002251846514141596,"frozenset({'Ultrasound 2', 'Actiwatch'})",2,25
545,0.002251846514141596,"frozenset({'Holter Monitor 2', 'Ultrasound'})",2,25
546,0.002251846514141596,"frozenset({'Ultrasound 2', 'Holter Monitor 2'})",2,25
532,0.002251846514141596,"frozenset({'PFS', 'Holter'})",2,25
355,0.0021617726535759323,"frozenset({'EXPRESS Rack', 'DECLIC'})",2,24
340,0.0020716987930102684,"frozenset({'CIR', 'MWA'})",2,23
587,0.0020716987930102684,"frozenset({'MELFI', 'MERLIN'})",2,23
289,0.0020716987930102684,"frozenset({'Holter', 'CEVIS'})",2,23
411,0.0018915510718789407,"frozenset({'PFS', 'EPM'})",2,21
290,0.0018915510718789407,"frozenset({'Holter Monitor 2', 'CEVIS'})",2,21
474,0.0018915510718789407,"frozenset({'FPEF', 'MWA'})",2,21
378,0.0018915510718789407,"frozenset({'ELC', 'EXPRESS Rack'})",2,21
476,0.0018014772113132769,"frozenset({'FPEF', 'Ryutai'})",2,20
284,0.0018014772113132769,"frozenset({'EPM', 'CEVIS'})",2,20
