,support,itemsets,length,frequency
158,0.12445530874694441,"frozenset({'TVIS', 'ARED'})",2,1171
144,0.10096715910298651,"frozenset({'CEVIS', 'ARED'})",2,950
213,0.09225209905409715,"frozenset({'CEVIS', 'TVIS'})",2,868
166,0.031459241152088424,"frozenset({'Actiwatch', 'HRF-1'})",2,296
385,0.02561377404612605,"frozenset({'MELFI', 'RC'})",2,241
443,0.021149962801572962,"frozenset({'TVIS', 'Ultrasound'})",2,199
159,0.02083111914124774,"frozenset({'Ultrasound', 'ARED'})",2,196
214,0.01679243277712828,"frozenset({'CEVIS', 'Ultrasound'})",2,158
420,0.013710277393984484,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
168,0.011584652991816347,"frozenset({'Holter', 'Actiwatch'})",2,109
209,0.011690934211924752,"frozenset({'CEVIS', 'PFS'})",2,109
308,0.011372090551599533,"frozenset({'LMM', 'FIR'})",2,107
381,0.007652247847805293,"frozenset({'MELFI', 'PCBA'})",2,72
380,0.0068019980869380384,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
388,0.006589435646721225,"frozenset({'SLAMMD', 'MELFI'})",2,62
428,0.006589435646721225,"frozenset({'SLAMMD', 'PCBA'})",2,62
418,0.006589435646721225,"frozenset({'Mass Measurement Device', 'PCBA'})",2,62
218,0.005951748326070783,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
323,0.0048889361249867145,"frozenset({'MELFI', 'GLACIER'})",2,46
355,0.004144967584227867,"frozenset({'Holter', 'Ultrasound'})",2,39
285,0.0031884366032522054,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,30
324,0.0031884366032522054,"frozenset({'GLACIER', 'MERLIN'})",2,30
172,0.0030821553831437984,"frozenset({'Spectrum', 'Actiwatch'})",2,29
277,0.002763311722818578,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
174,0.002657030502710171,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
350,0.002657030502710171,"frozenset({'Holter', 'PFS'})",2,25
254,0.002550749282601764,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
204,0.0024444680624933573,"frozenset({'CEVIS', 'Holter'})",2,23
241,0.0024444680624933573,"frozenset({'CIR', 'MWA'})",2,23
375,0.0024444680624933573,"frozenset({'MELFI', 'MERLIN'})",2,23
265,0.002231905622276544,"frozenset({'EXPRESS Rack', 'ELC'})",2,21
353,0.0019130619619513233,"frozenset({'Spectrum', 'Holter'})",2,18
284,0.0018067807418429163,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
223,0.0018067807418429163,"frozenset({'MSG', 'CGBA'})",2,17
183,0.0017004995217345096,"frozenset({'MSG', 'BXF'})",2,16
294,0.0017004995217345096,"frozenset({'EXPRESS Rack', 'Plant Habitat'})",2,16
391,0.0015942183016261027,"frozenset({'Veggie', 'MELFI'})",2,15
244,0.0015942183016261027,"frozenset({'SoFIE', 'CIR'})",2,15
344,0.0015942183016261027,"frozenset({'HRF-2', 'PFS'})",2,15
130,0.001381655861409289,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
286,0.001275374641300882,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
132,0.001275374641300882,"frozenset({'ALTEA', 'LIDAL'})",2,12
367,0.0011690934211924754,"frozenset({'MELFI', 'LMM'})",2,11
240,0.0011690934211924754,"frozenset({'MSG', 'CIR'})",2,11
236,0.0011690934211924754,"frozenset({'EXPRESS Rack', 'CIR'})",2,11
341,0.0011690934211924754,"frozenset({'Ultrasound', 'HRF-1'})",2,11
342,0.0011690934211924754,"frozenset({'Holter', 'HRF-2'})",2,11
199,0.0011690934211924754,"frozenset({'CEVIS', 'CGBA'})",2,11
197,0.0010628122010840685,"frozenset({'CBPD', 'Holter'})",2,10
379,0.0010628122010840685,"frozenset({'MELFI', 'MWA'})",2,10
376,0.0010628122010840685,"frozenset({'MSG', 'MELFI'})",2,10
347,0.0010628122010840685,"frozenset({'Holter', 'MELFI'})",2,10
364,0.0010628122010840685,"frozenset({'KFT', 'MELFI'})",2,10
410,0.0010628122010840685,"frozenset({'SUBSA', 'MSG'})",2,10
431,0.0009565309809756616,"frozenset({'RC', 'PFS'})",2,9
338,0.0009565309809756616,"frozenset({'Mass Measurement Device', 'HRF-1'})",2,9
351,0.0009565309809756616,"frozenset({'Holter', 'RC'})",2,9
273,0.0009565309809756616,"frozenset({'SPHERES', 'ELC'})",2,9
387,0.0009565309809756616,"frozenset({'MELFI', 'SABL'})",2,9
382,0.0009565309809756616,"frozenset({'MELFI', 'PFS'})",2,9
215,0.0009565309809756616,"frozenset({'CEVIS', 'WORF'})",2,9
340,0.0009565309809756616,"frozenset({'SLAMMD', 'HRF-1'})",2,9
237,0.0008502497608672548,"frozenset({'CIR', 'FIR'})",2,8
269,0.0008502497608672548,"frozenset({'MERLIN', 'ELC'})",2,8
309,0.0008502497608672548,"frozenset({'MELFI', 'FIR'})",2,8
384,0.0008502497608672548,"frozenset({'MELFI', 'Polar'})",2,8
408,0.0007439685407588479,"frozenset({'MSG', 'SABL'})",2,7
295,0.0007439685407588479,"frozenset({'Polar', 'EXPRESS Rack'})",2,7
181,0.0007439685407588479,"frozenset({'BRIC', 'MELFI'})",2,7
283,0.0007439685407588479,"frozenset({'MDS', 'EXPRESS Rack'})",2,7
445,0.0007439685407588479,"frozenset({'TangoLab-2', 'TangoLab-1'})",2,7
374,0.000637687320650441,"frozenset({'MDS', 'MELFI'})",2,6
307,0.000637687320650441,"frozenset({'EXPRESS Rack', 'WORF'})",2,6
124,0.000637687320650441,"frozenset({'CellCult', 'ADSEP'})",2,6
349,0.000637687320650441,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
116,0.000637687320650441,"frozenset({'ABRS', 'MWA'})",2,6
397,0.000637687320650441,"frozenset({'SABL', 'MERLIN'})",2,6
227,0.000637687320650441,"frozenset({'CGBA', 'Plant Habitat'})",2,6
120,0.000637687320650441,"frozenset({'Veggie', 'ABRS'})",2,6
352,0.000637687320650441,"frozenset({'SLAMMD', 'Holter'})",2,6
238,0.0005314061005420342,"frozenset({'LMM', 'CIR'})",2,5
293,0.0005314061005420342,"frozenset({'EXPRESS Rack', 'PFS'})",2,5
200,0.0005314061005420342,"frozenset({'CEVIS', 'CIR'})",2,5
417,0.0005314061005420342,"frozenset({'Veggie', 'MWA'})",2,5
357,0.0005314061005420342,"frozenset({'WORF', 'ISERV'})",2,5
427,0.0005314061005420342,"frozenset({'RC', 'PCBA'})",2,5
248,0.0005314061005420342,"frozenset({'CellCult', 'MELFI'})",2,5
193,0.0005314061005420342,"frozenset({'MSG', 'Bone Densitometer'})",2,5
433,0.0005314061005420342,"frozenset({'Ultrasound', 'PFS'})",2,5
162,0.0005314061005420342,"frozenset({'CBPD', 'Actiwatch'})",2,5
393,0.0005314061005420342,"frozenset({'MSG', 'MERLIN'})",2,5
266,0.0005314061005420342,"frozenset({'GLACIER', 'ELC'})",2,5
407,0.0005314061005420342,"frozenset({'Rodent Research', 'MSG'})",2,5
122,0.0004251248804336274,"frozenset({'BFF', 'ADSEP'})",2,4
108,0.0004251248804336274,"frozenset({'EXPRESS Rack', 'ABRS'})",2,4
113,0.0004251248804336274,"frozenset({'MELFI', 'ABRS'})",2,4
222,0.0004251248804336274,"frozenset({'MERLIN', 'CGBA'})",2,4
303,0.0004251248804336274,"frozenset({'EXPRESS Rack', 'TangoLab-1'})",2,4
261,0.0004251248804336274,"frozenset({'MELFI', 'Double Coldbag'})",2,4
328,0.0004251248804336274,"frozenset({'GLACIER', 'Polar'})",2,4
370,0.0004251248804336274,"frozenset({'Veggie', 'LMM'})",2,4
280,0.0004251248804336274,"frozenset({'EXPRESS Rack', 'Iceberg'})",2,4
201,0.0004251248804336274,"frozenset({'CEVIS', 'EXPRESS Rack'})",2,4
235,0.0004251248804336274,"frozenset({'CIR', 'ELC'})",2,4
