,support,itemsets,length,frequency
75,0.017587939698492462,"frozenset({'FPEF', 'IPU'})",2,42
55,0.014656616415410386,"frozenset({'Saibo', 'CBEF'})",2,35
49,0.012144053601340033,"frozenset({'Saibo', 'CB'})",2,29
78,0.008375209380234505,"frozenset({'Ryutai', 'FPEF'})",2,20
67,0.007537688442211055,"frozenset({'ELF', 'MSPR'})",2,18
79,0.006700167504187605,"frozenset({'SCOF', 'FPEF'})",2,16
85,0.00628140703517588,"frozenset({'Ryutai', 'IPU'})",2,15
52,0.005862646566164154,"frozenset({'CBEF', 'IPU'})",2,14
86,0.005443886097152429,"frozenset({'SCOF', 'IPU'})",2,13
60,0.005025125628140704,"frozenset({'EDR', 'EML'})",2,12
53,0.005025125628140704,"frozenset({'MSPR', 'CBEF'})",2,12
92,0.005025125628140704,"frozenset({'SCOF', 'Ryutai'})",2,12
46,0.005025125628140704,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
90,0.0046063651591289785,"frozenset({'PCRF', 'Ryutai'})",2,11
61,0.0041876046901172526,"frozenset({'EDR', 'EPM'})",2,10
71,0.0041876046901172526,"frozenset({'EPM', 'MARES'})",2,10
77,0.0020938023450586263,"frozenset({'PCRF', 'FPEF'})",2,5
54,0.0020938023450586263,"frozenset({'PCRF', 'CBEF'})",2,5
84,0.0020938023450586263,"frozenset({'PCRF', 'IPU'})",2,5
91,0.0020938023450586263,"frozenset({'SCOF', 'PCRF'})",2,5
44,0.0016750418760469012,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
69,0.0016750418760469012,"frozenset({'ETC', 'EPM'})",2,4
64,0.0016750418760469012,"frozenset({'Kubik', 'EDR'})",2,4
62,0.0016750418760469012,"frozenset({'EDR', 'ETC'})",2,4
63,0.001256281407035176,"frozenset({'FSL', 'EDR'})",2,3
47,0.001256281407035176,"frozenset({'EMCS', 'BioLab'})",2,3
87,0.001256281407035176,"frozenset({'Saibo', 'IPU'})",2,3
70,0.001256281407035176,"frozenset({'FSL', 'EPM'})",2,3
83,0.001256281407035176,"frozenset({'MSPR', 'IPU'})",2,3
93,0.0008375209380234506,"frozenset({'Saibo', 'Ryutai'})",2,2
88,0.0008375209380234506,"frozenset({'MSPR', 'Ryutai'})",2,2
50,0.0008375209380234506,"frozenset({'Confocal Microscope', 'CBEF'})",2,2
73,0.0008375209380234506,"frozenset({'FSL', 'ETC'})",2,2
72,0.0008375209380234506,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,2
89,0.0004187604690117253,"frozenset({'MSPR', 'TELLAS'})",2,1
48,0.0004187604690117253,"frozenset({'CB', 'IPU'})",2,1
51,0.0004187604690117253,"frozenset({'CBEF', 'FROST'})",2,1
56,0.0004187604690117253,"frozenset({'Confocal Microscope', 'CBEF-L'})",2,1
57,0.0004187604690117253,"frozenset({'Saibo', 'CBEF-L'})",2,1
66,0.0004187604690117253,"frozenset({'ELF', 'HSRC'})",2,1
82,0.0004187604690117253,"frozenset({'KOBAIRO Rack', 'GHF'})",2,1
81,0.0004187604690117253,"frozenset({'MSPR', 'FROST'})",2,1
65,0.0004187604690117253,"frozenset({'ELF', 'EML'})",2,1
58,0.0004187604690117253,"frozenset({'CCE', 'MSPR'})",2,1
59,0.0004187604690117253,"frozenset({'Confocal Microscope', 'MSPR'})",2,1
76,0.0004187604690117253,"frozenset({'MSPR', 'FPEF'})",2,1
74,0.0004187604690117253,"frozenset({'FSL', 'FPEF'})",2,1
45,0.0004187604690117253,"frozenset({'Aquatic Habitat', 'IPU'})",2,1
68,0.0004187604690117253,"frozenset({'EPM', 'EML'})",2,1
80,0.0004187604690117253,"frozenset({'HSRC', 'FROST'})",2,1
