,support,itemsets,length,frequency
275,0.004886717014660151,"frozenset({'MELFI', 'CBEF'})",2,55
479,0.0037316748111950243,"frozenset({'IPU', 'FPEF'})",2,42
282,0.003109729009329187,"frozenset({'CBEF', 'Saibo'})",2,35
265,0.002576632607729898,"frozenset({'CB', 'Saibo'})",2,29
481,0.0018658374055975121,"frozenset({'MWA', 'FPEF'})",2,21
483,0.001776988005330964,"frozenset({'Ryutai', 'FPEF'})",2,20
401,0.0015992892047978675,"frozenset({'ELF', 'MSPR'})",2,18
484,0.0014215904042647713,"frozenset({'FPEF', 'SCOF'})",2,16
550,0.0013327410039982231,"frozenset({'IPU', 'Ryutai'})",2,15
273,0.001243891603731675,"frozenset({'CBEF', 'IPU'})",2,14
551,0.0011550422034651267,"frozenset({'IPU', 'SCOF'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'Ryutai', 'SCOF'})",2,12
233,0.0010661928031985785,"frozenset({'MSPR', 'Aquatic Habitat'})",2,12
664,0.0009773434029320303,"frozenset({'PCRF', 'Ryutai'})",2,11
548,0.0007107952021323857,"frozenset({'MWA', 'IPU'})",2,8
605,0.0007107952021323857,"frozenset({'MELFI', 'Saibo'})",2,8
274,0.0005330964015992892,"frozenset({'CBEF', 'KFT'})",2,6
590,0.0005330964015992892,"frozenset({'MELFI', 'MSPR'})",2,6
587,0.0005330964015992892,"frozenset({'MDS', 'Saibo'})",2,6
647,0.0005330964015992892,"frozenset({'MWA', 'Ryutai'})",2,6
279,0.000444247001332741,"frozenset({'CBEF', 'PCRF'})",2,5
665,0.000444247001332741,"frozenset({'PCRF', 'SCOF'})",2,5
549,0.000444247001332741,"frozenset({'IPU', 'PCRF'})",2,5
482,0.000444247001332741,"frozenset({'PCRF', 'FPEF'})",2,5
263,0.00035539760106619283,"frozenset({'MELFI', 'CB'})",2,4
230,0.00035539760106619283,"frozenset({'CBEF', 'Aquatic Habitat'})",2,4
516,0.00035539760106619283,"frozenset({'MSPR', 'GN2'})",2,4
552,0.0002665482007996446,"frozenset({'IPU', 'Saibo'})",2,3
547,0.0002665482007996446,"frozenset({'IPU', 'MSPR'})",2,3
546,0.0002665482007996446,"frozenset({'MSG', 'IPU'})",2,3
277,0.0002665482007996446,"frozenset({'MSG', 'CBEF'})",2,3
271,0.0002665482007996446,"frozenset({'CBEF', 'GLACIER'})",2,3
560,0.00017769880053309641,"frozenset({'JEM-EF', 'NanoRacks External Platform'})",2,2
232,0.00017769880053309641,"frozenset({'MELFI', 'Aquatic Habitat'})",2,2
