,support,itemsets,length,frequency
185,0.11350198701172821,"frozenset({'TVIS', 'ARED'})",2,1171
169,0.09208103130755065,"frozenset({'CEVIS', 'ARED'})",2,950
271,0.08413298439468837,"frozenset({'CEVIS', 'TVIS'})",2,868
193,0.028690510807405253,"frozenset({'Actiwatch', 'HRF-1'})",2,296
487,0.023359503731704954,"frozenset({'MELFI', 'RC'})",2,241
555,0.01928855287389745,"frozenset({'TVIS', 'Ultrasound'})",2,199
186,0.018997770669768342,"frozenset({'Ultrasound', 'ARED'})",2,195
272,0.015314529417466317,"frozenset({'CEVIS', 'Ultrasound'})",2,158
528,0.012503634777551615,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
267,0.010662014151400601,"frozenset({'CEVIS', 'PFS'})",2,110
195,0.010565086750024232,"frozenset({'Holter', 'Actiwatch'})",2,109
379,0.010371231947271494,"frozenset({'LMM', 'FIR'})",2,107
483,0.006978772899098575,"frozenset({'MELFI', 'PCBA'})",2,72
482,0.0062033536880876225,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
490,0.006009498885334884,"frozenset({'SLAMMD', 'MELFI'})",2,61
536,0.006009498885334884,"frozenset({'SLAMMD', 'PCBA'})",2,61
526,0.006009498885334884,"frozenset({'Mass Measurement Device', 'PCBA'})",2,61
276,0.0054279344770766695,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
242,0.005331007075700301,"frozenset({'MELFI', 'CBEF'})",2,55
408,0.004458660463312979,"frozenset({'GLACIER', 'MELFI'})",2,46
389,0.004070950857807502,"frozenset({'FPEF', 'IPU'})",2,42
443,0.003780168653678395,"frozenset({'Holter', 'Ultrasound'})",2,39
249,0.0033924590481729184,"frozenset({'Saibo', 'CBEF'})",2,35
353,0.002907822041291073,"frozenset({'MERLIN', 'EXPRESS Rack'})",2,30
409,0.002907822041291073,"frozenset({'GLACIER', 'MERLIN'})",2,30
232,0.0028108946399147037,"frozenset({'Saibo', 'CB'})",2,28
199,0.0028108946399147037,"frozenset({'Spectrum', 'Actiwatch'})",2,28
345,0.0025201124357855965,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
201,0.0024231850344092276,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
438,0.0024231850344092276,"frozenset({'Holter', 'PFS'})",2,25
315,0.0023262576330328583,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
300,0.0022293302316564894,"frozenset({'CIR', 'MWA'})",2,23
261,0.0022293302316564894,"frozenset({'Holter', 'CEVIS'})",2,23
476,0.0022293302316564894,"frozenset({'MELFI', 'MERLIN'})",2,23
391,0.002035475428903751,"frozenset({'MWA', 'FPEF'})",2,21
327,0.002035475428903751,"frozenset({'EXPRESS Rack', 'ELC'})",2,21
393,0.001938548027527382,"frozenset({'Ryutai', 'FPEF'})",2,20
340,0.0017446932247746438,"frozenset({'ELF', 'MSPR'})",2,18
441,0.0017446932247746438,"frozenset({'Spectrum', 'Holter'})",2,18
281,0.0016477658233982747,"frozenset({'MSG', 'CGBA'})",2,17
352,0.0016477658233982747,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
394,0.0015508384220219056,"frozenset({'SCOF', 'FPEF'})",2,16
363,0.0015508384220219056,"frozenset({'EXPRESS Rack', 'Plant Habitat'})",2,16
216,0.0015508384220219056,"frozenset({'MSG', 'BXF'})",2,16
494,0.0014539110206455365,"frozenset({'Veggie', 'MELFI'})",2,15
303,0.0014539110206455365,"frozenset({'SoFIE', 'CIR'})",2,15
