,support,itemsets,length,frequency
318,0.0049755664149267,"frozenset({'CGBA', 'EXPRESS Rack'})",2,56
275,0.004886717014660151,"frozenset({'CBEF', 'MELFI'})",2,55
282,0.003109729009329187,"frozenset({'CBEF', 'Saibo'})",2,35
506,0.0026654820079964462,"frozenset({'GLACIER', 'MERLIN'})",2,30
439,0.0026654820079964462,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,30
588,0.0020435362061306086,"frozenset({'MERLIN', 'MELFI'})",2,23
325,0.0015104398045313193,"frozenset({'MSG', 'CGBA'})",2,17
450,0.0014215904042647713,"frozenset({'Plant Habitat', 'EXPRESS Rack'})",2,16
484,0.0014215904042647713,"frozenset({'FPEF', 'SCOF'})",2,16
609,0.0013327410039982231,"frozenset({'MELFI', 'Veggie'})",2,15
273,0.001243891603731675,"frozenset({'CBEF', 'IPU'})",2,14
407,0.001243891603731675,"frozenset({'EMCS', 'MELFI'})",2,14
551,0.0011550422034651267,"frozenset({'SCOF', 'IPU'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'Ryutai', 'SCOF'})",2,12
408,0.0010661928031985785,"frozenset({'EMCS', 'MWA'})",2,12
233,0.0010661928031985785,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
290,0.0009773434029320303,"frozenset({'CGBA', 'CEVIS'})",2,11
664,0.0009773434029320303,"frozenset({'PCRF', 'Ryutai'})",2,11
565,0.000888494002665482,"frozenset({'KFT', 'MELFI'})",2,10
404,0.0007996446023989338,"frozenset({'EMCS', 'EXPRESS Rack'})",2,9
603,0.0007996446023989338,"frozenset({'SABL', 'MELFI'})",2,9
391,0.0007107952021323857,"frozenset({'ELC', 'MERLIN'})",2,8
437,0.0006219458018658375,"frozenset({'MDS', 'EXPRESS Rack'})",2,7
629,0.0006219458018658375,"frozenset({'MSG', 'SABL'})",2,7
241,0.0006219458018658375,"frozenset({'BRIC', 'MELFI'})",2,7
274,0.0005330964015992892,"frozenset({'CBEF', 'KFT'})",2,6
616,0.0005330964015992892,"frozenset({'SABL', 'MERLIN'})",2,6
585,0.0005330964015992892,"frozenset({'MDS', 'MELFI'})",2,6
329,0.0005330964015992892,"frozenset({'Plant Habitat', 'CGBA'})",2,6
587,0.0005330964015992892,"frozenset({'MDS', 'Saibo'})",2,6
160,0.0005330964015992892,"frozenset({'ABRS', 'MWA'})",2,6
164,0.0005330964015992892,"frozenset({'ABRS', 'Veggie'})",2,6
168,0.0005330964015992892,"frozenset({'CellCult', 'ADSEP'})",2,6
279,0.000444247001332741,"frozenset({'CBEF', 'PCRF'})",2,5
665,0.000444247001332741,"frozenset({'PCRF', 'SCOF'})",2,5
385,0.000444247001332741,"frozenset({'EMCS', 'ELC'})",2,5
586,0.000444247001332741,"frozenset({'PGB', 'MDS'})",2,5
256,0.000444247001332741,"frozenset({'Bone Densitometer', 'MSG'})",2,5
628,0.000444247001332741,"frozenset({'Rodent Research', 'MSG'})",2,5
650,0.000444247001332741,"frozenset({'MWA', 'Veggie'})",2,5
549,0.000444247001332741,"frozenset({'PCRF', 'IPU'})",2,5
482,0.000444247001332741,"frozenset({'PCRF', 'FPEF'})",2,5
611,0.000444247001332741,"frozenset({'MSG', 'MERLIN'})",2,5
353,0.000444247001332741,"frozenset({'CellCult', 'MELFI'})",2,5
157,0.00035539760106619283,"frozenset({'ABRS', 'MELFI'})",2,4
166,0.00035539760106619283,"frozenset({'BFF', 'ADSEP'})",2,4
152,0.00035539760106619283,"frozenset({'ABRS', 'EXPRESS Rack'})",2,4
470,0.00035539760106619283,"frozenset({'FIR', 'MERLIN'})",2,4
575,0.00035539760106619283,"frozenset({'LMM', 'Veggie'})",2,4
230,0.00035539760106619283,"frozenset({'CBEF', 'Aquatic Habitat'})",2,4
324,0.00035539760106619283,"frozenset({'CGBA', 'MERLIN'})",2,4
251,0.00035539760106619283,"frozenset({'Bioculture System', 'MSG'})",2,4
