,support,itemsets,length,frequency
63,0.0039100684261974585,"frozenset({'MERLIN', 'ELC'})",2,8
57,0.002932551319648094,"frozenset({'CGBA', 'Plant Habitat'})",2,6
41,0.002932551319648094,"frozenset({'Veggie', 'ABRS'})",2,6
72,0.002932551319648094,"frozenset({'SABL', 'MERLIN'})",2,6
44,0.002932551319648094,"frozenset({'CellCult', 'ADSEP'})",2,6
51,0.002932551319648094,"frozenset({'KFT', 'CBEF'})",2,6
61,0.0024437927663734115,"frozenset({'EMCS', 'ELC'})",2,5
53,0.0024437927663734115,"frozenset({'PCRF', 'CBEF'})",2,5
74,0.0024437927663734115,"frozenset({'SCOF', 'PCRF'})",2,5
69,0.0024437927663734115,"frozenset({'WORF', 'ISERV'})",2,5
42,0.0019550342130987292,"frozenset({'BFF', 'ADSEP'})",2,4
56,0.0019550342130987292,"frozenset({'MERLIN', 'CGBA'})",2,4
46,0.0019550342130987292,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
75,0.001466275659824047,"frozenset({'SABL', 'Plant Habitat'})",2,3
59,0.001466275659824047,"frozenset({'CGBA', 'WORF'})",2,3
58,0.001466275659824047,"frozenset({'SABL', 'CGBA'})",2,3
66,0.001466275659824047,"frozenset({'ELC', 'WORF'})",2,3
38,0.0009775171065493646,"frozenset({'KFT', 'ABRS'})",2,2
60,0.0009775171065493646,"frozenset({'CellCult', 'SABL'})",2,2
37,0.0009775171065493646,"frozenset({'ABRS', 'ELC'})",2,2
54,0.0009775171065493646,"frozenset({'SABL', 'CBEF'})",2,2
52,0.0009775171065493646,"frozenset({'MERLIN', 'CBEF'})",2,2
71,0.0009775171065493646,"frozenset({'KFT', 'Veggie'})",2,2
45,0.0009775171065493646,"frozenset({'ADSEP', 'SABL'})",2,2
65,0.0009775171065493646,"frozenset({'ELC', 'Solar'})",2,2
70,0.0004887585532746823,"frozenset({'KFT', 'Solar'})",2,1
76,0.0004887585532746823,"frozenset({'Plant Habitat', 'WORF'})",2,1
73,0.0004887585532746823,"frozenset({'STaARS-1 EF', 'MERLIN'})",2,1
68,0.0004887585532746823,"frozenset({'Rodent Research', 'Fruit Fly Lab'})",2,1
67,0.0004887585532746823,"frozenset({'Veggie', 'EMCS'})",2,1
36,0.0004887585532746823,"frozenset({'CGBA', 'ABRS'})",2,1
64,0.0004887585532746823,"frozenset({'Plant Habitat', 'ELC'})",2,1
62,0.0004887585532746823,"frozenset({'MDS', 'ELC'})",2,1
55,0.0004887585532746823,"frozenset({'CGBA', 'ELC'})",2,1
50,0.0004887585532746823,"frozenset({'Rodent Research', 'Bone Densitometer'})",2,1
49,0.0004887585532746823,"frozenset({'Bone Densitometer', 'ELC'})",2,1
48,0.0004887585532746823,"frozenset({'CGBA', 'Biotube'})",2,1
47,0.0004887585532746823,"frozenset({'BFF', 'MERLIN'})",2,1
43,0.0004887585532746823,"frozenset({'ADSEP', 'Bioculture System'})",2,1
40,0.0004887585532746823,"frozenset({'MERLIN', 'ABRS'})",2,1
39,0.0004887585532746823,"frozenset({'MDS', 'ABRS'})",2,1
77,0.0004887585532746823,"frozenset({'WORF', 'Solar'})",2,1
