,support,itemsets,length,frequency
48,0.2092566118656183,"frozenset({'TVIS', 'ARED'})",2,1171
41,0.16976411722659043,"frozenset({'CEVIS', 'ARED'})",2,950
73,0.15511079342387418,"frozenset({'CEVIS', 'TVIS'})",2,867
118,0.03556111508220157,"frozenset({'TVIS', 'Ultrasound'})",2,198
49,0.035025017869907075,"frozenset({'ARED', 'Ultrasound'})",2,196
74,0.028234453180843458,"frozenset({'CEVIS', 'Ultrasound'})",2,158
103,0.02662616154395997,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
79,0.020729092208720514,"frozenset({'Holter', 'EPM'})",2,116
68,0.019656897784131523,"frozenset({'CEVIS', 'PFS'})",2,110
55,0.01947819871336669,"frozenset({'Holter', 'Actiwatch'})",2,109
69,0.019120800571837026,"frozenset({'CEVIS', 'Portable Pulmonary Function System'})",2,107
100,0.011079342387419585,"frozenset({'SLAMMD', 'PCBA'})",2,62
92,0.006969263759828449,"frozenset({'Holter', 'Ultrasound'})",2,39
54,0.006969263759828449,"frozenset({'Actiwatch', 'EPM'})",2,39
87,0.004467476769120801,"frozenset({'Holter', 'PFS'})",2,25
59,0.004467476769120801,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
66,0.004110078627591137,"frozenset({'Holter', 'CEVIS'})",2,23
82,0.0037526804860614723,"frozenset({'EPM', 'PFS'})",2,21
65,0.0035739814152966403,"frozenset({'CEVIS', 'EPM'})",2,20
33,0.002144388849177984,"frozenset({'ALTEA', 'LIDAL'})",2,12
63,0.0017869907076483202,"frozenset({'Holter', 'CBPD'})",2,10
80,0.0017869907076483202,"frozenset({'EPM', 'MARES'})",2,10
89,0.0016082916368834882,"frozenset({'Holter', 'RC'})",2,9
75,0.0016082916368834882,"frozenset({'CEVIS', 'WORF'})",2,9
104,0.0016082916368834882,"frozenset({'RC', 'PFS'})",2,9
62,0.0016082916368834882,"frozenset({'CBPD', 'EPM'})",2,9
86,0.0014295925661186562,"frozenset({'Ultrasound', 'EPM'})",2,8
90,0.001072194424588992,"frozenset({'SLAMMD', 'Holter'})",2,6
106,0.0008934953538241601,"frozenset({'Ultrasound', 'PFS'})",2,5
52,0.0008934953538241601,"frozenset({'CBPD', 'Actiwatch'})",2,5
99,0.0008934953538241601,"frozenset({'RC', 'PCBA'})",2,5
94,0.0008934953538241601,"frozenset({'WORF', 'ISERV'})",2,5
81,0.0007147962830593281,"frozenset({'EPM', 'PCBA'})",2,4
88,0.0007147962830593281,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
50,0.0007147962830593281,"frozenset({'ARED', 'WORF'})",2,4
110,0.000536097212294496,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
112,0.000536097212294496,"frozenset({'SLAMMD', 'RC'})",2,3
97,0.000536097212294496,"frozenset({'MARES', 'WORF'})",2,3
84,0.000536097212294496,"frozenset({'RC', 'EPM'})",2,3
78,0.000536097212294496,"frozenset({'WORF', 'ELC'})",2,3
51,0.000536097212294496,"frozenset({'iRED', 'ARED'})",2,3
83,0.00035739814152966406,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,2
95,0.00035739814152966406,"frozenset({'SLAMMD', 'MARES'})",2,2
91,0.00035739814152966406,"frozenset({'Holter', 'TVIS'})",2,2
119,0.00035739814152966406,"frozenset({'TVIS', 'WORF'})",2,2
107,0.00035739814152966406,"frozenset({'PFS', 'WORF'})",2,2
31,0.00035739814152966406,"frozenset({'ALTEA', 'ARED'})",2,2
76,0.00035739814152966406,"frozenset({'ELITE-S2', 'ELC'})",2,2
77,0.00035739814152966406,"frozenset({'Solar', 'ELC'})",2,2
61,0.00035739814152966406,"frozenset({'CEVIS', 'Bio-Monitor'})",2,2
40,0.00035739814152966406,"frozenset({'Actiwatch', 'ARED'})",2,2
42,0.00035739814152966406,"frozenset({'ARED', 'EPM'})",2,2
32,0.00035739814152966406,"frozenset({'CEVIS', 'ALTEA'})",2,2
44,0.00035739814152966406,"frozenset({'ARED', 'PCBA'})",2,2
45,0.00035739814152966406,"frozenset({'ARED', 'PFS'})",2,2
53,0.00035739814152966406,"frozenset({'CEVIS', 'Actiwatch'})",2,2
43,0.00035739814152966406,"frozenset({'Holter', 'ARED'})",2,2
72,0.00035739814152966406,"frozenset({'TEPC', 'CEVIS'})",2,2
71,0.00035739814152966406,"frozenset({'SLAMMD', 'CEVIS'})",2,2
36,0.00017869907076483203,"frozenset({'ALTEA', 'Portable Pulmonary Function System'})",2,1
