,support,itemsets,length,frequency
39,0.010291595197255575,"frozenset({'MSL', 'MSRR-1'})",2,18
26,0.008576329331046312,"frozenset({'SoFIE', 'CIR'})",2,15
24,0.004574042309891366,"frozenset({'CIR', 'FIR'})",2,8
38,0.002858776443682104,"frozenset({'WORF', 'ISERV'})",2,5
23,0.002287021154945683,"frozenset({'CIR', 'ELC'})",2,4
32,0.0017152658662092624,"frozenset({'WORF', 'ELC'})",2,3
31,0.0011435105774728416,"frozenset({'ELC', 'Solar'})",2,2
25,0.0011435105774728416,"frozenset({'CIR', 'FPEF'})",2,2
27,0.0011435105774728416,"frozenset({'CIR', 'WORF'})",2,2
34,0.0005717552887364208,"frozenset({'FIR', 'FPEF'})",2,1
37,0.0005717552887364208,"frozenset({'FSL', 'WORF'})",2,1
36,0.0005717552887364208,"frozenset({'FSL', 'FPEF'})",2,1
35,0.0005717552887364208,"frozenset({'FSL', 'FIR'})",2,1
21,0.0005717552887364208,"frozenset({'BXF', 'Solar'})",2,1
33,0.0005717552887364208,"frozenset({'ELF', 'EML'})",2,1
22,0.0005717552887364208,"frozenset({'Cold Atom Lab', 'CIR'})",2,1
30,0.0005717552887364208,"frozenset({'ELC', 'FPEF'})",2,1
29,0.0005717552887364208,"frozenset({'DECLIC', 'MSL'})",2,1
28,0.0005717552887364208,"frozenset({'DECLIC', 'ELC'})",2,1
40,0.0005717552887364208,"frozenset({'WORF', 'Solar'})",2,1
