,support,itemsets,length,frequency
56,0.0037735849056603774,"frozenset({'SABL', 'MERLIN'})",2,6
36,0.0037735849056603774,"frozenset({'Veggie', 'ABRS'})",2,6
39,0.0037735849056603774,"frozenset({'CellCult', 'ADSEP'})",2,6
50,0.0037735849056603774,"frozenset({'CGBA', 'Plant Habitat'})",2,6
45,0.0037735849056603774,"frozenset({'KFT', 'CBEF'})",2,6
47,0.0031446540880503146,"frozenset({'PCRF', 'CBEF'})",2,5
58,0.0031446540880503146,"frozenset({'SCOF', 'PCRF'})",2,5
37,0.0025157232704402514,"frozenset({'BFF', 'ADSEP'})",2,4
41,0.0025157232704402514,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
49,0.0025157232704402514,"frozenset({'MERLIN', 'CGBA'})",2,4
59,0.0018867924528301887,"frozenset({'SABL', 'Plant Habitat'})",2,3
51,0.0018867924528301887,"frozenset({'SABL', 'CGBA'})",2,3
55,0.0012578616352201257,"frozenset({'KFT', 'Veggie'})",2,2
52,0.0012578616352201257,"frozenset({'CellCult', 'SABL'})",2,2
48,0.0012578616352201257,"frozenset({'SABL', 'CBEF'})",2,2
46,0.0012578616352201257,"frozenset({'MERLIN', 'CBEF'})",2,2
33,0.0012578616352201257,"frozenset({'KFT', 'ABRS'})",2,2
40,0.0012578616352201257,"frozenset({'ADSEP', 'SABL'})",2,2
44,0.0006289308176100629,"frozenset({'Rodent Research', 'Bone Densitometer'})",2,1
43,0.0006289308176100629,"frozenset({'CGBA', 'Biotube'})",2,1
42,0.0006289308176100629,"frozenset({'BFF', 'MERLIN'})",2,1
53,0.0006289308176100629,"frozenset({'Veggie', 'EMCS'})",2,1
54,0.0006289308176100629,"frozenset({'Rodent Research', 'Fruit Fly Lab'})",2,1
38,0.0006289308176100629,"frozenset({'ADSEP', 'Bioculture System'})",2,1
35,0.0006289308176100629,"frozenset({'MERLIN', 'ABRS'})",2,1
57,0.0006289308176100629,"frozenset({'STaARS-1 EF', 'MERLIN'})",2,1
34,0.0006289308176100629,"frozenset({'MDS', 'ABRS'})",2,1
32,0.0006289308176100629,"frozenset({'CGBA', 'ABRS'})",2,1
