,support,itemsets,length,frequency
43,0.22786534345203346,"frozenset({'TVIS', 'ARED'})",2,1171
36,0.18486086787312705,"frozenset({'CEVIS', 'ARED'})",2,949
66,0.16890445611986768,"frozenset({'CEVIS', 'TVIS'})",2,868
99,0.03872348705973925,"frozenset({'TVIS', 'Ultrasound'})",2,199
44,0.03813971589803464,"frozenset({'Ultrasound', 'ARED'})",2,196
67,0.030745281183109555,"frozenset({'CEVIS', 'Ultrasound'})",2,158
89,0.02899396769799572,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
68,0.02257248491924499,"frozenset({'Holter', 'EPM'})",2,116
61,0.021404942595835766,"frozenset({'CEVIS', 'PFS'})",2,110
49,0.021210352208600895,"frozenset({'Holter', 'Actiwatch'})",2,109
62,0.020821171434131154,"frozenset({'CEVIS', 'Portable Pulmonary Function System'})",2,107
86,0.012064604008561977,"frozenset({'SLAMMD', 'PCBA'})",2,62
81,0.007589025102159953,"frozenset({'Holter', 'Ultrasound'})",2,39
48,0.007589025102159953,"frozenset({'Actiwatch', 'EPM'})",2,39
76,0.004864759680871765,"frozenset({'Holter', 'PFS'})",2,25
53,0.004864759680871765,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
59,0.004475578906402024,"frozenset({'Holter', 'CEVIS'})",2,23
71,0.004086398131932283,"frozenset({'EPM', 'PFS'})",2,21
58,0.003891807744697412,"frozenset({'CEVIS', 'EPM'})",2,20
29,0.002335084646818447,"frozenset({'ALTEA', 'LIDAL'})",2,12
69,0.001945903872348706,"frozenset({'EPM', 'MARES'})",2,10
56,0.001945903872348706,"frozenset({'Holter', 'CBPD'})",2,10
55,0.0017513134851138354,"frozenset({'CBPD', 'EPM'})",2,9
90,0.0017513134851138354,"frozenset({'RC', 'PFS'})",2,9
78,0.0017513134851138354,"frozenset({'Holter', 'RC'})",2,9
75,0.0015567230978789648,"frozenset({'Ultrasound', 'EPM'})",2,8
79,0.0011675423234092236,"frozenset({'SLAMMD', 'Holter'})",2,6
85,0.000972951936174353,"frozenset({'RC', 'PCBA'})",2,5
92,0.000972951936174353,"frozenset({'Ultrasound', 'PFS'})",2,5
46,0.000972951936174353,"frozenset({'CBPD', 'Actiwatch'})",2,5
77,0.0007783615489394824,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
70,0.0007783615489394824,"frozenset({'EPM', 'PCBA'})",2,4
73,0.0005837711617046118,"frozenset({'RC', 'EPM'})",2,3
45,0.0005837711617046118,"frozenset({'iRED', 'ARED'})",2,3
96,0.0005837711617046118,"frozenset({'SLAMMD', 'RC'})",2,3
95,0.0005837711617046118,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
72,0.0003891807744697412,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,2
80,0.0003891807744697412,"frozenset({'Holter', 'TVIS'})",2,2
82,0.0003891807744697412,"frozenset({'SLAMMD', 'MARES'})",2,2
27,0.0003891807744697412,"frozenset({'ALTEA', 'ARED'})",2,2
65,0.0003891807744697412,"frozenset({'TEPC', 'CEVIS'})",2,2
40,0.0003891807744697412,"frozenset({'ARED', 'PFS'})",2,2
35,0.0003891807744697412,"frozenset({'Actiwatch', 'ARED'})",2,2
37,0.0003891807744697412,"frozenset({'ARED', 'EPM'})",2,2
64,0.0003891807744697412,"frozenset({'SLAMMD', 'CEVIS'})",2,2
38,0.0003891807744697412,"frozenset({'Holter', 'ARED'})",2,2
39,0.0003891807744697412,"frozenset({'ARED', 'PCBA'})",2,2
47,0.0003891807744697412,"frozenset({'CEVIS', 'Actiwatch'})",2,2
54,0.0003891807744697412,"frozenset({'CEVIS', 'Bio-Monitor'})",2,2
28,0.0003891807744697412,"frozenset({'CEVIS', 'ALTEA'})",2,2
94,0.0001945903872348706,"frozenset({'Portable Pulmonary Function System', 'TVIS'})",2,1
93,0.0001945903872348706,"frozenset({'Portable Pulmonary Function System', 'RC'})",2,1
88,0.0001945903872348706,"frozenset({'Ultrasound', 'PCBA'})",2,1
32,0.0001945903872348706,"frozenset({'ALTEA', 'Portable Pulmonary Function System'})",2,1
91,0.0001945903872348706,"frozenset({'TVIS', 'PFS'})",2,1
31,0.0001945903872348706,"frozenset({'ALTEA', 'PFS'})",2,1
30,0.0001945903872348706,"frozenset({'ALTEA', 'PCBA'})",2,1
97,0.0001945903872348706,"frozenset({'SLAMMD', 'TVIS'})",2,1
33,0.0001945903872348706,"frozenset({'TEPC', 'ALTEA'})",2,1
98,0.0001945903872348706,"frozenset({'SLAMMD', 'Ultrasound'})",2,1
34,0.0001945903872348706,"frozenset({'ALTEA', 'TVIS'})",2,1
83,0.0001945903872348706,"frozenset({'Ultrasound', 'MARES'})",2,1
87,0.0001945903872348706,"frozenset({'TEPC', 'PCBA'})",2,1
84,0.0001945903872348706,"frozenset({'RAM', 'PCBA'})",2,1
41,0.0001945903872348706,"frozenset({'Portable Pulmonary Function System', 'ARED'})",2,1
42,0.0001945903872348706,"frozenset({'TEPC', 'ARED'})",2,1
50,0.0001945903872348706,"frozenset({'Actiwatch', 'PFS'})",2,1
51,0.0001945903872348706,"frozenset({'Portable Pulmonary Function System', 'Actiwatch'})",2,1
74,0.0001945903872348706,"frozenset({'TVIS', 'EPM'})",2,1
52,0.0001945903872348706,"frozenset({'Actiwatch', 'TVIS'})",2,1
57,0.0001945903872348706,"frozenset({'CBPD', 'PFS'})",2,1
60,0.0001945903872348706,"frozenset({'CEVIS', 'PCBA'})",2,1
63,0.0001945903872348706,"frozenset({'CEVIS', 'RAM'})",2,1
