,support,itemsets,length,frequency
26,0.01405152224824356,"frozenset({'MSL', 'MSRR-1'})",2,18
20,0.0117096018735363,"frozenset({'SoFIE', 'CIR'})",2,15
18,0.00624512099921936,"frozenset({'CIR', 'FIR'})",2,8
19,0.00156128024980484,"frozenset({'CIR', 'FPEF'})",2,2
17,0.00078064012490242,"frozenset({'Cold Atom Lab', 'CIR'})",2,1
21,0.00078064012490242,"frozenset({'DECLIC', 'MSL'})",2,1
22,0.00078064012490242,"frozenset({'ELF', 'EML'})",2,1
23,0.00078064012490242,"frozenset({'FIR', 'FPEF'})",2,1
24,0.00078064012490242,"frozenset({'FSL', 'FIR'})",2,1
25,0.00078064012490242,"frozenset({'FSL', 'FPEF'})",2,1
