,support,itemsets,length,frequency
210,0.10404264771212794,"frozenset({'TVIS', 'ARED'})",2,1171
191,0.0844069302532208,"frozenset({'ARED', 'CEVIS'})",2,950
311,0.07712127943136383,"frozenset({'TVIS', 'CEVIS'})",2,868
219,0.026299422478898268,"frozenset({'HRF-1', 'Actiwatch'})",2,296
601,0.021412705464238117,"frozenset({'RC', 'MELFI'})",2,241
687,0.017681030653043092,"frozenset({'TVIS', 'Ultrasound'})",2,199
211,0.017414482452243446,"frozenset({'ARED', 'Ultrasound'})",2,195
312,0.014038205242114616,"frozenset({'Ultrasound', 'CEVIS'})",2,158
666,0.013238560639715681,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
653,0.011461572634384718,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
416,0.010306530430919591,"frozenset({'Holter', 'EPM'})",2,116
306,0.009773434029320302,"frozenset({'CEVIS', 'PFS'})",2,110
221,0.009684584629053753,"frozenset({'Holter', 'Actiwatch'})",2,108
307,0.009506885828520658,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
595,0.00639715681919147,"frozenset({'PCBA', 'MELFI'})",2,72
661,0.005508662816525988,"frozenset({'SLAMMD', 'PCBA'})",2,62
651,0.005508662816525988,"frozenset({'PCBA', 'Mass Measurement Device'})",2,62
604,0.005508662816525988,"frozenset({'SLAMMD', 'MELFI'})",2,62
544,0.00346512661039538,"frozenset({'Holter', 'Ultrasound'})",2,39
217,0.00346512661039538,"frozenset({'EPM', 'Actiwatch'})",2,39
226,0.002576632607729898,"frozenset({'Spectrum', 'Actiwatch'})",2,29
228,0.002221235006663705,"frozenset({'Ultrasound', 'Actiwatch'})",2,25
538,0.002221235006663705,"frozenset({'Holter', 'PFS'})",2,25
298,0.0020435362061306086,"frozenset({'Holter', 'CEVIS'})",2,23
420,0.0018658374055975121,"frozenset({'EPM', 'PFS'})",2,21
293,0.001776988005330964,"frozenset({'EPM', 'CEVIS'})",2,20
542,0.0015992892047978675,"frozenset({'Spectrum', 'Holter'})",2,18
529,0.0013327410039982231,"frozenset({'HRF-2', 'PFS'})",2,15
175,0.0011550422034651267,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
177,0.0010661928031985785,"frozenset({'ALTEA', 'LIDAL'})",2,12
527,0.0009773434029320303,"frozenset({'HRF-2', 'Holter'})",2,11
290,0.0009773434029320303,"frozenset({'CGBA', 'CEVIS'})",2,11
526,0.0009773434029320303,"frozenset({'HRF-1', 'Ultrasound'})",2,11
417,0.000888494002665482,"frozenset({'EPM', 'MARES'})",2,10
534,0.000888494002665482,"frozenset({'Holter', 'MELFI'})",2,10
287,0.000888494002665482,"frozenset({'Holter', 'CBPD'})",2,10
374,0.000888494002665482,"frozenset({'EPM', 'EDR'})",2,10
313,0.0007996446023989338,"frozenset({'WORF', 'CEVIS'})",2,9
540,0.0007996446023989338,"frozenset({'Holter', 'RC'})",2,9
596,0.0007996446023989338,"frozenset({'MELFI', 'PFS'})",2,9
286,0.0007996446023989338,"frozenset({'CBPD', 'EPM'})",2,9
525,0.0007996446023989338,"frozenset({'SLAMMD', 'HRF-1'})",2,9
667,0.0007996446023989338,"frozenset({'RC', 'PFS'})",2,9
425,0.0007107952021323857,"frozenset({'EPM', 'Ultrasound'})",2,8
537,0.0005330964015992892,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
541,0.0005330964015992892,"frozenset({'SLAMMD', 'Holter'})",2,6
415,0.0005330964015992892,"frozenset({'HRF-2', 'EPM'})",2,6
291,0.000444247001332741,"frozenset({'CEVIS', 'CIR'})",2,5
214,0.000444247001332741,"frozenset({'CBPD', 'Actiwatch'})",2,5
660,0.000444247001332741,"frozenset({'PCBA', 'RC'})",2,5
669,0.000444247001332741,"frozenset({'Ultrasound', 'PFS'})",2,5
449,0.000444247001332741,"frozenset({'EXPRESS Rack', 'PFS'})",2,5
301,0.00035539760106619283,"frozenset({'MSL', 'CEVIS'})",2,4
294,0.00035539760106619283,"frozenset({'CEVIS', 'EXPRESS Rack'})",2,4
212,0.00035539760106619283,"frozenset({'ARED', 'WORF'})",2,4
539,0.00035539760106619283,"frozenset({'Portable Pulmonary Function System', 'Holter'})",2,4
452,0.00035539760106619283,"frozenset({'Portable Pulmonary Function System', 'EXPRESS Rack'})",2,4
412,0.00035539760106619283,"frozenset({'ETC', 'EPM'})",2,4
419,0.00035539760106619283,"frozenset({'PCBA', 'EPM'})",2,4
422,0.0002665482007996446,"frozenset({'EPM', 'RC'})",2,3
