,support,itemsets,length,frequency
219,0.026299422478898268,"frozenset({'HRF-1', 'Actiwatch'})",2,296
601,0.021412705464238117,"frozenset({'MELFI', 'RC'})",2,241
653,0.011461572634384718,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
595,0.00639715681919147,"frozenset({'MELFI', 'PCBA'})",2,72
651,0.005508662816525988,"frozenset({'Mass Measurement Device', 'PCBA'})",2,62
604,0.005508662816525988,"frozenset({'SLAMMD', 'MELFI'})",2,62
226,0.002576632607729898,"frozenset({'Actiwatch', 'Spectrum'})",2,29
542,0.0015992892047978675,"frozenset({'Holter', 'Spectrum'})",2,18
529,0.0013327410039982231,"frozenset({'PFS', 'HRF-2'})",2,15
175,0.0011550422034651267,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
527,0.0009773434029320303,"frozenset({'Holter', 'HRF-2'})",2,11
526,0.0009773434029320303,"frozenset({'Ultrasound', 'HRF-1'})",2,11
534,0.000888494002665482,"frozenset({'Holter', 'MELFI'})",2,10
374,0.000888494002665482,"frozenset({'EPM', 'EDR'})",2,10
596,0.0007996446023989338,"frozenset({'PFS', 'MELFI'})",2,9
525,0.0007996446023989338,"frozenset({'SLAMMD', 'HRF-1'})",2,9
537,0.0005330964015992892,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
415,0.0005330964015992892,"frozenset({'HRF-2', 'EPM'})",2,6
449,0.000444247001332741,"frozenset({'PFS', 'EXPRESS Rack'})",2,5
294,0.00035539760106619283,"frozenset({'CEVIS', 'EXPRESS Rack'})",2,4
452,0.00035539760106619283,"frozenset({'Portable Pulmonary Function System', 'EXPRESS Rack'})",2,4
412,0.00035539760106619283,"frozenset({'ETC', 'EPM'})",2,4
459,0.0002665482007996446,"frozenset({'TVIS', 'EXPRESS Rack'})",2,3
418,0.0002665482007996446,"frozenset({'EPM', 'MELFI'})",2,3
652,0.0002665482007996446,"frozenset({'Mass Measurement Device', 'RC'})",2,3
202,0.0002665482007996446,"frozenset({'ARED', 'MELFI'})",2,3
195,0.0002665482007996446,"frozenset({'ARED', 'EXPRESS Rack'})",2,3
220,0.0002665482007996446,"frozenset({'HRF-2', 'Actiwatch'})",2,3
608,0.0002665482007996446,"frozenset({'Ultrasound', 'MELFI'})",2,3
222,0.00017769880053309641,"frozenset({'MELFI', 'Actiwatch'})",2,2
423,0.00017769880053309641,"frozenset({'EPM', 'Spectrum'})",2,2
432,0.00017769880053309641,"frozenset({'Holter', 'EXPRESS Rack'})",2,2
531,0.00017769880053309641,"frozenset({'HRF-2', 'Ultrasound'})",2,2
533,0.00017769880053309641,"frozenset({'Holter', 'IPU'})",2,2
204,0.00017769880053309641,"frozenset({'ARED', 'MSG'})",2,2
522,0.00017769880053309641,"frozenset({'Holter', 'HRF-1'})",2,2
581,0.00017769880053309641,"frozenset({'MARES', 'Mass Measurement Device'})",2,2
292,0.00017769880053309641,"frozenset({'CEVIS', 'EDR'})",2,2
403,0.00017769880053309641,"frozenset({'ELITE-S2', 'EXPRESS Rack'})",2,2
524,8.884940026654821e-05,"frozenset({'PFS', 'HRF-1'})",2,1
530,8.884940026654821e-05,"frozenset({'HRF-2', 'RC'})",2,1
600,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'MELFI'})",2,1
654,8.884940026654821e-05,"frozenset({'TVIS', 'Mass Measurement Device'})",2,1
632,8.884940026654821e-05,"frozenset({'MSG', 'TVIS'})",2,1
646,8.884940026654821e-05,"frozenset({'PFS', 'MWA'})",2,1
607,8.884940026654821e-05,"frozenset({'MELFI', 'TEPC'})",2,1
580,8.884940026654821e-05,"frozenset({'MARES', 'MSG'})",2,1
655,8.884940026654821e-05,"frozenset({'Ultrasound', 'Mass Measurement Device'})",2,1
571,8.884940026654821e-05,"frozenset({'Kubik', 'TEPC'})",2,1
623,8.884940026654821e-05,"frozenset({'MSG', 'PCBA'})",2,1
626,8.884940026654821e-05,"frozenset({'PFS', 'MSG'})",2,1
627,8.884940026654821e-05,"frozenset({'Portable Pulmonary Function System', 'MSG'})",2,1
267,8.884940026654821e-05,"frozenset({'UMS', 'CB'})",2,1
266,8.884940026654821e-05,"frozenset({'TVIS', 'CB'})",2,1
304,8.884940026654821e-05,"frozenset({'CEVIS', 'Mass Measurement Device'})",2,1
303,8.884940026654821e-05,"frozenset({'CEVIS', 'MWA'})",2,1
300,8.884940026654821e-05,"frozenset({'CEVIS', 'Kubik'})",2,1
299,8.884940026654821e-05,"frozenset({'CEVIS', 'IPU'})",2,1
297,8.884940026654821e-05,"frozenset({'GLACIER', 'CEVIS'})",2,1
180,8.884940026654821e-05,"frozenset({'ALTEA', 'MSG'})",2,1
178,8.884940026654821e-05,"frozenset({'ALTEA', 'MELFI'})",2,1
176,8.884940026654821e-05,"frozenset({'ALTEA', 'GLACIER'})",2,1
223,8.884940026654821e-05,"frozenset({'MSG', 'Actiwatch'})",2,1
218,8.884940026654821e-05,"frozenset({'Actiwatch', 'EXPRESS Rack'})",2,1
205,8.884940026654821e-05,"frozenset({'ARED', 'MWA'})",2,1
201,8.884940026654821e-05,"frozenset({'ARED', 'IPU'})",2,1
199,8.884940026654821e-05,"frozenset({'ARED', 'HRF-2'})",2,1
190,8.884940026654821e-05,"frozenset({'ARED', 'CB'})",2,1
462,8.884940026654821e-05,"frozenset({'Ultrasound', 'EXPRESS Rack'})",2,1
458,8.884940026654821e-05,"frozenset({'EXPRESS Rack', 'TEPC'})",2,1
