,support,itemsets,length,frequency
56,0.003821656050955414,"frozenset({'SABL', 'MERLIN'})",2,6
36,0.003821656050955414,"frozenset({'Veggie', 'ABRS'})",2,6
39,0.003821656050955414,"frozenset({'CellCult', 'ADSEP'})",2,6
50,0.003821656050955414,"frozenset({'CGBA', 'Plant Habitat'})",2,6
45,0.003821656050955414,"frozenset({'KFT', 'CBEF'})",2,6
47,0.0031847133757961785,"frozenset({'PCRF', 'CBEF'})",2,5
58,0.0031847133757961785,"frozenset({'SCOF', 'PCRF'})",2,5
37,0.0025477707006369425,"frozenset({'BFF', 'ADSEP'})",2,4
41,0.0025477707006369425,"frozenset({'Aquatic Habitat', 'CBEF'})",2,4
49,0.0025477707006369425,"frozenset({'MERLIN', 'CGBA'})",2,4
59,0.001910828025477707,"frozenset({'SABL', 'Plant Habitat'})",2,3
51,0.001910828025477707,"frozenset({'SABL', 'CGBA'})",2,3
55,0.0012738853503184713,"frozenset({'KFT', 'Veggie'})",2,2
52,0.0012738853503184713,"frozenset({'CellCult', 'SABL'})",2,2
48,0.0012738853503184713,"frozenset({'SABL', 'CBEF'})",2,2
46,0.0012738853503184713,"frozenset({'MERLIN', 'CBEF'})",2,2
33,0.0012738853503184713,"frozenset({'KFT', 'ABRS'})",2,2
40,0.0012738853503184713,"frozenset({'ADSEP', 'SABL'})",2,2
44,0.0006369426751592356,"frozenset({'Rodent Research', 'Bone Densitometer'})",2,1
43,0.0006369426751592356,"frozenset({'CGBA', 'Biotube'})",2,1
42,0.0006369426751592356,"frozenset({'BFF', 'MERLIN'})",2,1
53,0.0006369426751592356,"frozenset({'Veggie', 'EMCS'})",2,1
54,0.0006369426751592356,"frozenset({'Rodent Research', 'Fruit Fly Lab'})",2,1
38,0.0006369426751592356,"frozenset({'ADSEP', 'Bioculture System'})",2,1
35,0.0006369426751592356,"frozenset({'MERLIN', 'ABRS'})",2,1
57,0.0006369426751592356,"frozenset({'STaARS-1 EF', 'MERLIN'})",2,1
34,0.0006369426751592356,"frozenset({'MDS', 'ABRS'})",2,1
32,0.0006369426751592356,"frozenset({'CGBA', 'ABRS'})",2,1
