,support,itemsets,length,frequency
43,0.22875561633131472,"frozenset({'TVIS', 'ARED'})",2,1171
36,0.1855831217034577,"frozenset({'CEVIS', 'ARED'})",2,950
66,0.16956436804063293,"frozenset({'CEVIS', 'TVIS'})",2,868
99,0.03887478023051377,"frozenset({'TVIS', 'Ultrasound'})",2,199
44,0.0382887282672397,"frozenset({'Ultrasound', 'ARED'})",2,196
67,0.030865403399101387,"frozenset({'CEVIS', 'Ultrasound'})",2,158
89,0.029107247509279156,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
68,0.02266067591326431,"frozenset({'Holter', 'EPM'})",2,116
61,0.021488571986716155,"frozenset({'CEVIS', 'PFS'})",2,110
49,0.021293221332291463,"frozenset({'Holter', 'Actiwatch'})",2,109
62,0.02090252002344208,"frozenset({'CEVIS', 'Portable Pulmonary Function System'})",2,107
86,0.012111740574330924,"frozenset({'SLAMMD', 'PCBA'})",2,62
81,0.007618675522563001,"frozenset({'Holter', 'Ultrasound'})",2,39
48,0.007618675522563001,"frozenset({'Actiwatch', 'EPM'})",2,39
76,0.004883766360617308,"frozenset({'Holter', 'PFS'})",2,25
53,0.004883766360617308,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
59,0.004493065051767923,"frozenset({'Holter', 'CEVIS'})",2,23
71,0.004102363742918539,"frozenset({'EPM', 'PFS'})",2,21
58,0.003907013088493847,"frozenset({'CEVIS', 'EPM'})",2,20
29,0.002344207853096308,"frozenset({'ALTEA', 'LIDAL'})",2,12
69,0.0019535065442469234,"frozenset({'EPM', 'MARES'})",2,10
56,0.0019535065442469234,"frozenset({'Holter', 'CBPD'})",2,10
55,0.0017581558898222308,"frozenset({'CBPD', 'EPM'})",2,9
90,0.0017581558898222308,"frozenset({'RC', 'PFS'})",2,9
78,0.0017581558898222308,"frozenset({'Holter', 'RC'})",2,9
75,0.0015628052353975385,"frozenset({'Ultrasound', 'EPM'})",2,7
79,0.001172103926548154,"frozenset({'SLAMMD', 'Holter'})",2,6
85,0.0009767532721234617,"frozenset({'RC', 'PCBA'})",2,5
92,0.0009767532721234617,"frozenset({'Ultrasound', 'PFS'})",2,5
46,0.0009767532721234617,"frozenset({'CBPD', 'Actiwatch'})",2,5
73,0.000586051963274077,"frozenset({'RC', 'EPM'})",2,3
77,0.0007814026176987692,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,3
45,0.000586051963274077,"frozenset({'iRED', 'ARED'})",2,3
96,0.000586051963274077,"frozenset({'SLAMMD', 'RC'})",2,3
95,0.000586051963274077,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
70,0.0007814026176987692,"frozenset({'EPM', 'PCBA'})",2,3
72,0.0003907013088493846,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,1
80,0.0003907013088493846,"frozenset({'Holter', 'TVIS'})",2,1
82,0.0003907013088493846,"frozenset({'SLAMMD', 'MARES'})",2,1
27,0.0003907013088493846,"frozenset({'ALTEA', 'ARED'})",2,1
65,0.0003907013088493846,"frozenset({'TEPC', 'CEVIS'})",2,1
40,0.0003907013088493846,"frozenset({'ARED', 'PFS'})",2,1
35,0.0003907013088493846,"frozenset({'Actiwatch', 'ARED'})",2,1
37,0.0003907013088493846,"frozenset({'ARED', 'EPM'})",2,1
64,0.0003907013088493846,"frozenset({'SLAMMD', 'CEVIS'})",2,1
38,0.0003907013088493846,"frozenset({'Holter', 'ARED'})",2,1
39,0.0003907013088493846,"frozenset({'ARED', 'PCBA'})",2,1
47,0.0003907013088493846,"frozenset({'CEVIS', 'Actiwatch'})",2,1
54,0.0003907013088493846,"frozenset({'CEVIS', 'Bio-Monitor'})",2,1
28,0.0003907013088493846,"frozenset({'CEVIS', 'ALTEA'})",2,1
94,0.0001953506544246923,"frozenset({'Portable Pulmonary Function System', 'TVIS'})",2,0
93,0.0001953506544246923,"frozenset({'Portable Pulmonary Function System', 'RC'})",2,0
88,0.0001953506544246923,"frozenset({'Ultrasound', 'PCBA'})",2,0
32,0.0001953506544246923,"frozenset({'ALTEA', 'Portable Pulmonary Function System'})",2,0
91,0.0001953506544246923,"frozenset({'TVIS', 'PFS'})",2,0
31,0.0001953506544246923,"frozenset({'ALTEA', 'PFS'})",2,0
30,0.0001953506544246923,"frozenset({'ALTEA', 'PCBA'})",2,0
97,0.0001953506544246923,"frozenset({'SLAMMD', 'TVIS'})",2,0
33,0.0001953506544246923,"frozenset({'TEPC', 'ALTEA'})",2,0
98,0.0001953506544246923,"frozenset({'SLAMMD', 'Ultrasound'})",2,0
34,0.0001953506544246923,"frozenset({'ALTEA', 'TVIS'})",2,0
83,0.0001953506544246923,"frozenset({'Ultrasound', 'MARES'})",2,0
87,0.0001953506544246923,"frozenset({'TEPC', 'PCBA'})",2,0
84,0.0001953506544246923,"frozenset({'RAM', 'PCBA'})",2,0
41,0.0001953506544246923,"frozenset({'Portable Pulmonary Function System', 'ARED'})",2,0
42,0.0001953506544246923,"frozenset({'TEPC', 'ARED'})",2,0
50,0.0001953506544246923,"frozenset({'Actiwatch', 'PFS'})",2,0
51,0.0001953506544246923,"frozenset({'Portable Pulmonary Function System', 'Actiwatch'})",2,0
74,0.0001953506544246923,"frozenset({'TVIS', 'EPM'})",2,0
52,0.0001953506544246923,"frozenset({'Actiwatch', 'TVIS'})",2,0
57,0.0001953506544246923,"frozenset({'CBPD', 'PFS'})",2,0
60,0.0001953506544246923,"frozenset({'CEVIS', 'PCBA'})",2,0
63,0.0001953506544246923,"frozenset({'CEVIS', 'RAM'})",2,0
