,support,itemsets,length,frequency
127,0.0158063719436898,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
98,0.011360829834527044,"frozenset({'GLACIER', 'MELFI'})",2,46
65,0.0071622622869844405,"frozenset({'CB', 'Saibo'})",2,29
79,0.006421338602123981,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
83,0.0041985675475426035,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
113,0.0037046184243022967,"frozenset({'Ryutai', 'IPU'})",2,15
84,0.0029636947394418374,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
120,0.002716720177821684,"frozenset({'MELFI', 'LMM'})",2,11
123,0.0024697456162015314,"frozenset({'MELFI', 'MSG'})",2,10
126,0.0024697456162015314,"frozenset({'MELFI', 'MWA'})",2,10
108,0.002222771054581378,"frozenset({'Mass Measurement Device', 'HRF-1'})",2,9
112,0.001975796492961225,"frozenset({'MWA', 'IPU'})",2,8
130,0.001975796492961225,"frozenset({'Saibo', 'MELFI'})",2,8
129,0.001975796492961225,"frozenset({'MELFI', 'Polar'})",2,8
90,0.001728821931341072,"frozenset({'Polar', 'EXPRESS Rack'})",2,7
143,0.001728821931341072,"frozenset({'TangoLab-2', 'TangoLab-1'})",2,7
124,0.0014818473697209187,"frozenset({'MELFI', 'MSPR'})",2,6
139,0.0014818473697209187,"frozenset({'MWA', 'Ryutai'})",2,6
119,0.0012348728081007657,"frozenset({'MELFI', 'Kubik'})",2,5
77,0.0009878982464806125,"frozenset({'Kubik', 'EDR'})",2,4
101,0.0009878982464806125,"frozenset({'GLACIER', 'Polar'})",2,4
64,0.0009878982464806125,"frozenset({'CB', 'MELFI'})",2,4
92,0.0009878982464806125,"frozenset({'EXPRESS Rack', 'TangoLab-1'})",2,4
104,0.0009878982464806125,"frozenset({'GN2', 'MSPR'})",2,4
71,0.0009878982464806125,"frozenset({'MELFI', 'Double Coldbag'})",2,4
74,0.0009878982464806125,"frozenset({'EDR', 'ETC'})",2,4
81,0.0009878982464806125,"frozenset({'EXPRESS Rack', 'Iceberg'})",2,4
116,0.0007409236848604594,"frozenset({'Polar', 'Iceberg'})",2,3
107,0.0007409236848604594,"frozenset({'HRF-2', 'HRF-1'})",2,3
110,0.0007409236848604594,"frozenset({'MSG', 'IPU'})",2,3
111,0.0007409236848604594,"frozenset({'MSPR', 'IPU'})",2,3
80,0.0007409236848604594,"frozenset({'GN2', 'EXPRESS Rack'})",2,3
70,0.0007409236848604594,"frozenset({'GLACIER', 'Double Coldbag'})",2,3
114,0.0007409236848604594,"frozenset({'Saibo', 'IPU'})",2,3
125,0.0007409236848604594,"frozenset({'MELFI', 'MVP'})",2,3
134,0.0007409236848604594,"frozenset({'MSG', 'SAMS-II'})",2,3
121,0.0007409236848604594,"frozenset({'LMM', 'MWA'})",2,3
122,0.0007409236848604594,"frozenset({'MSG', 'LSG'})",2,3
91,0.0007409236848604594,"frozenset({'EXPRESS Rack', 'SAMS-II'})",2,3
136,0.0004939491232403062,"frozenset({'MSPR', 'Ryutai'})",2,2
106,0.0004939491232403062,"frozenset({'MSG', 'Glovebox Freezer'})",2,2
128,0.0004939491232403062,"frozenset({'MELFI', 'PGB'})",2,2
133,0.0004939491232403062,"frozenset({'MSG', 'Mass Measurement Device'})",2,2
142,0.0004939491232403062,"frozenset({'Saibo', 'Ryutai'})",2,2
61,0.0004939491232403062,"frozenset({'MELFI', 'BioLab'})",2,2
