,support,itemsets,length,frequency
318,0.0049755664149267,"frozenset({'EXPRESS Rack', 'CGBA'})",2,56
275,0.004886717014660151,"frozenset({'CBEF', 'MELFI'})",2,55
282,0.003109729009329187,"frozenset({'CBEF', 'Saibo'})",2,35
506,0.0026654820079964462,"frozenset({'GLACIER', 'MERLIN'})",2,30
439,0.0026654820079964462,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,30
588,0.0020435362061306086,"frozenset({'MELFI', 'MERLIN'})",2,23
325,0.0015104398045313193,"frozenset({'MSG', 'CGBA'})",2,17
450,0.0014215904042647713,"frozenset({'EXPRESS Rack', 'Plant Habitat'})",2,16
609,0.0013327410039982231,"frozenset({'Veggie', 'MELFI'})",2,15
273,0.001243891603731675,"frozenset({'CBEF', 'IPU'})",2,14
407,0.001243891603731675,"frozenset({'EMCS', 'MELFI'})",2,14
551,0.0011550422034651267,"frozenset({'SCOF', 'IPU'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'Ryutai', 'SCOF'})",2,12
408,0.0010661928031985785,"frozenset({'EMCS', 'MWA'})",2,12
233,0.0010661928031985785,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
664,0.0009773434029320303,"frozenset({'Ryutai', 'PCRF'})",2,11
565,0.000888494002665482,"frozenset({'KFT', 'MELFI'})",2,10
404,0.0007996446023989338,"frozenset({'EMCS', 'EXPRESS Rack'})",2,9
603,0.0007996446023989338,"frozenset({'MELFI', 'SABL'})",2,9
437,0.0006219458018658375,"frozenset({'EXPRESS Rack', 'MDS'})",2,7
629,0.0006219458018658375,"frozenset({'MSG', 'SABL'})",2,7
241,0.0006219458018658375,"frozenset({'BRIC', 'MELFI'})",2,7
585,0.0005330964015992892,"frozenset({'MELFI', 'MDS'})",2,6
587,0.0005330964015992892,"frozenset({'Saibo', 'MDS'})",2,6
160,0.0005330964015992892,"frozenset({'MWA', 'ABRS'})",2,6
586,0.000444247001332741,"frozenset({'PGB', 'MDS'})",2,5
256,0.000444247001332741,"frozenset({'Bone Densitometer', 'MSG'})",2,5
628,0.000444247001332741,"frozenset({'Rodent Research', 'MSG'})",2,5
650,0.000444247001332741,"frozenset({'Veggie', 'MWA'})",2,5
549,0.000444247001332741,"frozenset({'PCRF', 'IPU'})",2,5
611,0.000444247001332741,"frozenset({'MSG', 'MERLIN'})",2,5
353,0.000444247001332741,"frozenset({'CellCult', 'MELFI'})",2,5
157,0.00035539760106619283,"frozenset({'MELFI', 'ABRS'})",2,4
152,0.00035539760106619283,"frozenset({'EXPRESS Rack', 'ABRS'})",2,4
575,0.00035539760106619283,"frozenset({'Veggie', 'LMM'})",2,4
251,0.00035539760106619283,"frozenset({'Bioculture System', 'MSG'})",2,4
512,0.0002665482007996446,"frozenset({'GLACIER', 'SABL'})",2,3
463,0.0002665482007996446,"frozenset({'Veggie', 'EXPRESS Rack'})",2,3
573,0.0002665482007996446,"frozenset({'LMM', 'MERLIN'})",2,3
578,0.0002665482007996446,"frozenset({'LSG', 'SABL'})",2,3
577,0.0002665482007996446,"frozenset({'Rodent Research', 'LSG'})",2,3
277,0.0002665482007996446,"frozenset({'CBEF', 'MSG'})",2,3
614,0.0002665482007996446,"frozenset({'Polar', 'MERLIN'})",2,3
271,0.0002665482007996446,"frozenset({'CBEF', 'GLACIER'})",2,3
155,0.0002665482007996446,"frozenset({'LMM', 'ABRS'})",2,3
248,0.0002665482007996446,"frozenset({'EMCS', 'BioLab'})",2,3
326,0.0002665482007996446,"frozenset({'CGBA', 'Mass Measurement Device'})",2,3
454,0.00017769880053309641,"frozenset({'EXPRESS Rack', 'SABL'})",2,2
453,0.00017769880053309641,"frozenset({'Rodent Research', 'EXPRESS Rack'})",2,2
232,0.00017769880053309641,"frozenset({'Aquatic Habitat', 'MELFI'})",2,2
566,0.00017769880053309641,"frozenset({'KFT', 'MSPR'})",2,2
240,0.00017769880053309641,"frozenset({'BRIC', 'HRF-2'})",2,2
153,0.00017769880053309641,"frozenset({'GLACIER', 'ABRS'})",2,2
169,0.00017769880053309641,"frozenset({'ADSEP', 'MELFI'})",2,2
490,0.00017769880053309641,"frozenset({'FROST', 'SABL'})",2,2
250,0.00017769880053309641,"frozenset({'Bioculture System', 'EXPRESS Rack'})",2,2
268,0.00017769880053309641,"frozenset({'CBEF', 'Confocal Microscope'})",2,2
354,0.00017769880053309641,"frozenset({'CellCult', 'MSG'})",2,2
357,0.00017769880053309641,"frozenset({'Confocal Microscope', 'SABL'})",2,2
315,0.00017769880053309641,"frozenset({'EDR', 'CGBA'})",2,2
382,0.00017769880053309641,"frozenset({'EDR', 'Plant Habitat'})",2,2
370,0.00017769880053309641,"frozenset({'Double Coldbag', 'MERLIN'})",2,2
406,0.00017769880053309641,"frozenset({'EMCS', 'GN2'})",2,2
602,0.00017769880053309641,"frozenset({'Rodent Research', 'MELFI'})",2,2
258,0.00017769880053309641,"frozenset({'Bone Densitometer', 'Spectrum'})",2,2
323,0.00017769880053309641,"frozenset({'MELFI', 'CGBA'})",2,2
254,0.00017769880053309641,"frozenset({'Bone Densitometer', 'EXPRESS Rack'})",2,2
610,8.884940026654821e-05,"frozenset({'MELFI', 'Wet Lab RNA SmartCycler'})",2,1
598,8.884940026654821e-05,"frozenset({'MELFI', 'Plant Habitat'})",2,1
681,8.884940026654821e-05,"frozenset({'TangoLab-1', 'SABL'})",2,1
678,8.884940026654821e-05,"frozenset({'Spectrum', 'Rodent Research'})",2,1
564,8.884940026654821e-05,"frozenset({'KFT', 'LMM'})",2,1
567,8.884940026654821e-05,"frozenset({'KFT', 'MWA'})",2,1
641,8.884940026654821e-05,"frozenset({'MSPR', 'SABL'})",2,1
624,8.884940026654821e-05,"frozenset({'MSG', 'PCRF'})",2,1
556,8.884940026654821e-05,"frozenset({'MERLIN', 'Iceberg'})",2,1
520,8.884940026654821e-05,"frozenset({'Glovebox Freezer', 'Rodent Research'})",2,1
270,8.884940026654821e-05,"frozenset({'CBEF', 'FROST'})",2,1
264,8.884940026654821e-05,"frozenset({'CB', 'MERLIN'})",2,1
255,8.884940026654821e-05,"frozenset({'Bone Densitometer', 'MELFI'})",2,1
246,8.884940026654821e-05,"frozenset({'EXPRESS Rack', 'Bio-Analyzer'})",2,1
242,8.884940026654821e-05,"frozenset({'BSTC', 'EXPRESS Rack'})",2,1
239,8.884940026654821e-05,"frozenset({'BRIC', 'EXPRESS Rack'})",2,1
238,8.884940026654821e-05,"frozenset({'SlingShot', 'BFF'})",2,1
269,8.884940026654821e-05,"frozenset({'CBEF', 'Double Coldbag'})",2,1
280,8.884940026654821e-05,"frozenset({'CBEF', 'Polar'})",2,1
285,8.884940026654821e-05,"frozenset({'Saibo', 'CBEF-L'})",2,1
284,8.884940026654821e-05,"frozenset({'Confocal Microscope', 'CBEF-L'})",2,1
234,8.884940026654821e-05,"frozenset({'Aquatic Habitat', 'MWA'})",2,1
161,8.884940026654821e-05,"frozenset({'Mass Measurement Device', 'ABRS'})",2,1
159,8.884940026654821e-05,"frozenset({'MSG', 'ABRS'})",2,1
231,8.884940026654821e-05,"frozenset({'Aquatic Habitat', 'IPU'})",2,1
322,8.884940026654821e-05,"frozenset({'Kubik', 'CGBA'})",2,1
517,8.884940026654821e-05,"frozenset({'GN2', 'Plant Habitat'})",2,1
447,8.884940026654821e-05,"frozenset({'Mobile SpaceLab', 'EXPRESS Rack'})",2,1
488,8.884940026654821e-05,"frozenset({'FROST', 'MERLIN'})",2,1
515,8.884940026654821e-05,"frozenset({'Veggie', 'GLACIER'})",2,1
