,support,itemsets,length,frequency
113,0.13987099856665075,"frozenset({'TVIS', 'ARED'})",2,1171
100,0.11347348303870043,"frozenset({'CEVIS', 'ARED'})",2,950
156,0.10367892976588629,"frozenset({'CEVIS', 'TVIS'})",2,868
120,0.035355948399426664,"frozenset({'Actiwatch', 'HRF-1'})",2,296
275,0.028786430960344004,"frozenset({'MELFI', 'RC'})",2,241
317,0.023769708552317248,"frozenset({'TVIS', 'Ultrasound'})",2,199
114,0.023411371237458192,"frozenset({'ARED', 'Ultrasound'})",2,195
157,0.018872431915910176,"frozenset({'CEVIS', 'Ultrasound'})",2,158
306,0.017797419971333016,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
296,0.015408504538939322,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
177,0.01385570950788342,"frozenset({'Holter', 'EPM'})",2,116
151,0.013139034878165312,"frozenset({'CEVIS', 'PFS'})",2,110
122,0.013019589106545628,"frozenset({'Holter', 'Actiwatch'})",2,109
152,0.012780697563306258,"frozenset({'CEVIS', 'Portable Pulmonary Function System'})",2,107
270,0.008600095556617296,"frozenset({'MELFI', 'PCBA'})",2,72
269,0.007644529383659818,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
303,0.007405637840420449,"frozenset({'SLAMMD', 'PCBA'})",2,62
276,0.007405637840420449,"frozenset({'SLAMMD', 'MELFI'})",2,62
294,0.007405637840420449,"frozenset({'Mass Measurement Device', 'PCBA'})",2,62
215,0.005494505494505495,"frozenset({'GLACIER', 'MELFI'})",2,46
118,0.004658385093167702,"frozenset({'Actiwatch', 'EPM'})",2,39
246,0.004658385093167702,"frozenset({'Holter', 'Ultrasound'})",2,39
135,0.003463927376970855,"frozenset({'CB', 'Saibo'})",2,29
127,0.003463927376970855,"frozenset({'Spectrum', 'Actiwatch'})",2,29
187,0.003105590062111801,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
129,0.0029861442904921165,"frozenset({'Actiwatch', 'Ultrasound'})",2,25
240,0.0029861442904921165,"frozenset({'Holter', 'PFS'})",2,25
145,0.0027472527472527475,"frozenset({'Holter', 'CEVIS'})",2,23
181,0.002508361204013378,"frozenset({'EPM', 'PFS'})",2,21
142,0.0023889154323936935,"frozenset({'CEVIS', 'EPM'})",2,20
244,0.002150023889154324,"frozenset({'Spectrum', 'Holter'})",2,18
194,0.0020305781175346395,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
234,0.00179168657429527,"frozenset({'HRF-2', 'PFS'})",2,15
250,0.00179168657429527,"frozenset({'Ryutai', 'IPU'})",2,15
88,0.0015527950310559005,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
90,0.001433349259436216,"frozenset({'ALTEA', 'LIDAL'})",2,12
195,0.001433349259436216,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
231,0.0013139034878165313,"frozenset({'Ultrasound', 'HRF-1'})",2,11
258,0.0013139034878165313,"frozenset({'MELFI', 'LMM'})",2,11
232,0.0013139034878165313,"frozenset({'Holter', 'HRF-2'})",2,11
268,0.0011944577161968467,"frozenset({'MELFI', 'MWA'})",2,10
139,0.0011944577161968467,"frozenset({'Holter', 'CBPD'})",2,10
166,0.0011944577161968467,"frozenset({'EDR', 'EPM'})",2,10
178,0.0011944577161968467,"frozenset({'EPM', 'MARES'})",2,10
265,0.0011944577161968467,"frozenset({'MELFI', 'MSG'})",2,10
238,0.0011944577161968467,"frozenset({'Holter', 'MELFI'})",2,10
271,0.001075011944577162,"frozenset({'MELFI', 'PFS'})",2,9
228,0.001075011944577162,"frozenset({'Mass Measurement Device', 'HRF-1'})",2,9
307,0.001075011944577162,"frozenset({'RC', 'PFS'})",2,9
138,0.001075011944577162,"frozenset({'CBPD', 'EPM'})",2,9
230,0.001075011944577162,"frozenset({'SLAMMD', 'HRF-1'})",2,9
242,0.001075011944577162,"frozenset({'Holter', 'RC'})",2,9
186,0.0009555661729574773,"frozenset({'Ultrasound', 'EPM'})",2,8
249,0.0009555661729574773,"frozenset({'MWA', 'IPU'})",2,8
273,0.0009555661729574773,"frozenset({'MELFI', 'Polar'})",2,8
277,0.0009555661729574773,"frozenset({'Saibo', 'MELFI'})",2,8
202,0.0008361204013377926,"frozenset({'Polar', 'EXPRESS Rack'})",2,7
318,0.0008361204013377926,"frozenset({'TangoLab-2', 'TangoLab-1'})",2,7
176,0.000716674629718108,"frozenset({'EPM', 'HRF-2'})",2,6
293,0.000716674629718108,"frozenset({'MWA', 'Ryutai'})",2,6
266,0.000716674629718108,"frozenset({'MELFI', 'MSPR'})",2,6
239,0.000716674629718108,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
243,0.000716674629718108,"frozenset({'SLAMMD', 'Holter'})",2,6
309,0.0005972288580984234,"frozenset({'Ultrasound', 'PFS'})",2,5
116,0.0005972288580984234,"frozenset({'CBPD', 'Actiwatch'})",2,5
302,0.0005972288580984234,"frozenset({'RC', 'PCBA'})",2,5
201,0.0005972288580984234,"frozenset({'EXPRESS Rack', 'PFS'})",2,5
256,0.0005972288580984234,"frozenset({'MELFI', 'Kubik'})",2,5
170,0.00047778308647873863,"frozenset({'Kubik', 'EDR'})",2,4
219,0.00047778308647873863,"frozenset({'GLACIER', 'Polar'})",2,4
203,0.00047778308647873863,"frozenset({'Portable Pulmonary Function System', 'EXPRESS Rack'})",2,4
167,0.00047778308647873863,"frozenset({'EDR', 'ETC'})",2,4
174,0.00047778308647873863,"frozenset({'ETC', 'EPM'})",2,4
241,0.00047778308647873863,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
134,0.00047778308647873863,"frozenset({'CB', 'MELFI'})",2,4
