,support,itemsets,length,frequency
219,0.026299422478898268,"frozenset({'HRF-1', 'Actiwatch'})",2,296
601,0.021412705464238117,"frozenset({'RC', 'MELFI'})",2,241
653,0.011461572634384718,"frozenset({'SLAMMD', 'Mass Measurement Device'})",2,129
468,0.009506885828520658,"frozenset({'LMM', 'FIR'})",2,107
595,0.00639715681919147,"frozenset({'PCBA', 'MELFI'})",2,72
594,0.005686361617059085,"frozenset({'Mass Measurement Device', 'MELFI'})",2,64
651,0.005508662816525988,"frozenset({'PCBA', 'Mass Measurement Device'})",2,62
604,0.005508662816525988,"frozenset({'SLAMMD', 'MELFI'})",2,62
318,0.0049755664149267,"frozenset({'CGBA', 'EXPRESS Rack'})",2,56
275,0.004886717014660151,"frozenset({'CBEF', 'MELFI'})",2,55
505,0.004087072412261217,"frozenset({'GLACIER', 'MELFI'})",2,46
479,0.0037316748111950243,"frozenset({'FPEF', 'IPU'})",2,42
282,0.003109729009329187,"frozenset({'CBEF', 'Saibo'})",2,35
506,0.0026654820079964462,"frozenset({'GLACIER', 'MERLIN'})",2,30
439,0.0026654820079964462,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,30
226,0.002576632607729898,"frozenset({'Spectrum', 'Actiwatch'})",2,29
265,0.002576632607729898,"frozenset({'CB', 'Saibo'})",2,29
430,0.0023100844069302534,"frozenset({'GLACIER', 'EXPRESS Rack'})",2,26
361,0.002132385606397157,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
588,0.0020435362061306086,"frozenset({'MERLIN', 'MELFI'})",2,23
346,0.0020435362061306086,"frozenset({'MWA', 'CIR'})",2,23
481,0.0018658374055975121,"frozenset({'FPEF', 'MWA'})",2,21
386,0.0018658374055975121,"frozenset({'EXPRESS Rack', 'ELC'})",2,21
483,0.001776988005330964,"frozenset({'FPEF', 'Ryutai'})",2,20
542,0.0015992892047978675,"frozenset({'Spectrum', 'Holter'})",2,18
401,0.0015992892047978675,"frozenset({'MSPR', 'ELF'})",2,18
438,0.0015104398045313193,"frozenset({'EXPRESS Rack', 'MELFI'})",2,17
325,0.0015104398045313193,"frozenset({'MSG', 'CGBA'})",2,17
450,0.0014215904042647713,"frozenset({'Plant Habitat', 'EXPRESS Rack'})",2,16
243,0.0014215904042647713,"frozenset({'MSG', 'BXF'})",2,16
609,0.0013327410039982231,"frozenset({'MELFI', 'Veggie'})",2,15
550,0.0013327410039982231,"frozenset({'Ryutai', 'IPU'})",2,15
529,0.0013327410039982231,"frozenset({'HRF-2', 'PFS'})",2,15
273,0.001243891603731675,"frozenset({'CBEF', 'IPU'})",2,14
407,0.001243891603731675,"frozenset({'EMCS', 'MELFI'})",2,14
551,0.0011550422034651267,"frozenset({'SCOF', 'IPU'})",2,13
175,0.0011550422034651267,"frozenset({'ALTEA', 'EXPRESS Rack'})",2,13
278,0.0010661928031985785,"frozenset({'CBEF', 'MSPR'})",2,12
679,0.0010661928031985785,"frozenset({'Ryutai', 'SCOF'})",2,12
440,0.0010661928031985785,"frozenset({'MSG', 'EXPRESS Rack'})",2,12
373,0.0010661928031985785,"frozenset({'EML', 'EDR'})",2,12
408,0.0010661928031985785,"frozenset({'EMCS', 'MWA'})",2,12
233,0.0010661928031985785,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
345,0.0009773434029320303,"frozenset({'MSG', 'CIR'})",2,11
527,0.0009773434029320303,"frozenset({'HRF-2', 'Holter'})",2,11
339,0.0009773434029320303,"frozenset({'EXPRESS Rack', 'CIR'})",2,11
664,0.0009773434029320303,"frozenset({'PCRF', 'Ryutai'})",2,11
526,0.0009773434029320303,"frozenset({'HRF-1', 'Ultrasound'})",2,11
572,0.0009773434029320303,"frozenset({'LMM', 'MELFI'})",2,11
534,0.000888494002665482,"frozenset({'Holter', 'MELFI'})",2,10
631,0.000888494002665482,"frozenset({'MSG', 'SUBSA'})",2,10
565,0.000888494002665482,"frozenset({'KFT', 'MELFI'})",2,10
374,0.000888494002665482,"frozenset({'EPM', 'EDR'})",2,10
589,0.000888494002665482,"frozenset({'MSG', 'MELFI'})",2,10
593,0.000888494002665482,"frozenset({'MWA', 'MELFI'})",2,10
404,0.0007996446023989338,"frozenset({'EMCS', 'EXPRESS Rack'})",2,9
596,0.0007996446023989338,"frozenset({'MELFI', 'PFS'})",2,9
525,0.0007996446023989338,"frozenset({'SLAMMD', 'HRF-1'})",2,9
523,0.0007996446023989338,"frozenset({'HRF-1', 'Mass Measurement Device'})",2,9
603,0.0007996446023989338,"frozenset({'SABL', 'MELFI'})",2,9
469,0.0007107952021323857,"frozenset({'FIR', 'MELFI'})",2,8
548,0.0007107952021323857,"frozenset({'MWA', 'IPU'})",2,8
599,0.0007107952021323857,"frozenset({'Polar', 'MELFI'})",2,8
605,0.0007107952021323857,"frozenset({'Saibo', 'MELFI'})",2,8
437,0.0006219458018658375,"frozenset({'MDS', 'EXPRESS Rack'})",2,7
689,0.0006219458018658375,"frozenset({'TangoLab-1', 'TangoLab-2'})",2,7
629,0.0006219458018658375,"frozenset({'MSG', 'SABL'})",2,7
493,0.0006219458018658375,"frozenset({'FSL', 'MVIS'})",2,7
451,0.0006219458018658375,"frozenset({'Polar', 'EXPRESS Rack'})",2,7
241,0.0006219458018658375,"frozenset({'BRIC', 'MELFI'})",2,7
464,0.0005330964015992892,"frozenset({'WORF', 'EXPRESS Rack'})",2,6
537,0.0005330964015992892,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
590,0.0005330964015992892,"frozenset({'MSPR', 'MELFI'})",2,6
585,0.0005330964015992892,"frozenset({'MDS', 'MELFI'})",2,6
