,support,itemsets,length,frequency
468,0.009506885828520658,"frozenset({'LMM', 'FIR'})",2,107
479,0.0037316748111950243,"frozenset({'FPEF', 'IPU'})",2,42
361,0.002132385606397157,"frozenset({'DECLIC', 'EXPRESS Rack'})",2,24
346,0.0020435362061306086,"frozenset({'MWA', 'CIR'})",2,23
481,0.0018658374055975121,"frozenset({'FPEF', 'MWA'})",2,21
483,0.001776988005330964,"frozenset({'FPEF', 'Ryutai'})",2,20
401,0.0015992892047978675,"frozenset({'MSPR', 'ELF'})",2,18
634,0.0015992892047978675,"frozenset({'MSRR-1', 'MSL'})",2,18
243,0.0014215904042647713,"frozenset({'MSG', 'BXF'})",2,16
484,0.0014215904042647713,"frozenset({'FPEF', 'SCOF'})",2,16
349,0.0013327410039982231,"frozenset({'SoFIE', 'CIR'})",2,15
373,0.0010661928031985785,"frozenset({'EML', 'EDR'})",2,12
345,0.0009773434029320303,"frozenset({'MSG', 'CIR'})",2,11
339,0.0009773434029320303,"frozenset({'EXPRESS Rack', 'CIR'})",2,11
631,0.000888494002665482,"frozenset({'MSG', 'SUBSA'})",2,10
469,0.0007107952021323857,"frozenset({'FIR', 'MELFI'})",2,8
340,0.0007107952021323857,"frozenset({'FIR', 'CIR'})",2,8
493,0.0006219458018658375,"frozenset({'FSL', 'MVIS'})",2,7
291,0.000444247001332741,"frozenset({'CEVIS', 'CIR'})",2,5
342,0.000444247001332741,"frozenset({'LMM', 'CIR'})",2,5
482,0.000444247001332741,"frozenset({'PCRF', 'FPEF'})",2,5
338,0.00035539760106619283,"frozenset({'ELC', 'CIR'})",2,4
301,0.00035539760106619283,"frozenset({'MSL', 'CEVIS'})",2,4
470,0.00035539760106619283,"frozenset({'FIR', 'MERLIN'})",2,4
471,0.0002665482007996446,"frozenset({'MSG', 'FIR'})",2,3
413,0.0002665482007996446,"frozenset({'EPM', 'FSL'})",2,3
377,0.0002665482007996446,"frozenset({'FSL', 'EDR'})",2,3
302,0.0002665482007996446,"frozenset({'MSRR-1', 'CEVIS'})",2,3
314,0.0002665482007996446,"frozenset({'CGBA', 'CIR'})",2,3
427,0.00017769880053309641,"frozenset({'FIR', 'EXPRESS Rack'})",2,2
