,support,itemsets,length,frequency
1346,0.002023757149142103,"frozenset({'MELFI', 'Rodent Research'})",2,23
1280,0.0014958205015398152,"frozenset({'Aquatic Habitat', 'MELFI'})",2,17
586,0.0012318521777386713,"frozenset({'MELFI', 'Saibo'})",2,14
659,0.0010558732952045756,"frozenset({'MELFI', 'MDS'})",2,12
526,0.0008798944126704796,"frozenset({'MELFI', 'CGBA'})",2,10
1299,0.0007919049714034316,"frozenset({'MELFI', 'BRIC'})",2,9
1413,0.0004399472063352398,"frozenset({'MELFI', 'CellCult'})",2,5
1554,0.0004399472063352398,"frozenset({'MELFI', 'Bioculture System'})",2,5
793,0.0003519577650681918,"frozenset({'CGBA', 'MERLIN'})",2,4
1377,0.0002639683238011439,"frozenset({'MELFI', 'BFF'})",2,3
1122,0.0002639683238011439,"frozenset({'MELFI', 'NanoRacks Plate Reader'})",2,3
1297,0.0002639683238011439,"frozenset({'MERLIN', 'BRIC'})",2,3
837,0.0002639683238011439,"frozenset({'CGBA', 'GLACIER'})",2,3
588,0.0001759788825340959,"frozenset({'GLACIER', 'Saibo'})",2,2
1380,0.0001759788825340959,"frozenset({'BFF', 'MERLIN'})",2,2
1328,0.0001759788825340959,"frozenset({'MELFI', 'BioLab'})",2,2
1335,0.0001759788825340959,"frozenset({'BFF', 'Iceberg'})",2,2
1402,0.0001759788825340959,"frozenset({'MELFI', 'ADSEP'})",2,2
664,8.798944126704795e-05,"frozenset({'GLACIER', 'MDS'})",2,1
699,8.798944126704795e-05,"frozenset({'MELFI', 'PCRF'})",2,1
1423,8.798944126704795e-05,"frozenset({'Rodent Research', 'Glovebox Freezer'})",2,1
1121,8.798944126704795e-05,"frozenset({'Polar', 'NanoRacks Plate Reader'})",2,1
1371,8.798944126704795e-05,"frozenset({'MELFI', 'Wet Lab RNA SmartCycler'})",2,1
1213,8.798944126704795e-05,"frozenset({'Saibo', 'Double Coldbag'})",2,1
1546,8.798944126704795e-05,"frozenset({'MELFI', 'Wet Lab Kit'})",2,1
1481,8.798944126704795e-05,"frozenset({'MELFI', 'Fruit Fly Lab'})",2,1
1486,8.798944126704795e-05,"frozenset({'Polar', 'JAXA Mouse Habitat Unit'})",2,1
1575,8.798944126704795e-05,"frozenset({'STaARS-1 EF', 'MERLIN'})",2,1
