,support,itemsets,length,frequency
161,0.0008798944126704796,"frozenset({'PFS', 'RC'})",2,10
511,0.0007919049714034316,"frozenset({'Holter', 'RC'})",2,9
326,0.0004399472063352398,"frozenset({'RC', 'PCBA'})",2,5
997,0.0004399472063352398,"frozenset({'RC', 'RAM'})",2,5
385,0.0002639683238011439,"frozenset({'RC', 'EPM'})",2,3
888,8.798944126704795e-05,"frozenset({'ALTEA', 'CBEF'})",2,1
453,8.798944126704795e-05,"frozenset({'RC', 'Ultrasound'})",2,1
1148,8.798944126704795e-05,"frozenset({'RC', 'HRF-2'})",2,1
514,8.798944126704795e-05,"frozenset({'Holter', 'CBEF'})",2,1
193,8.798944126704795e-05,"frozenset({'RC', 'Portable Pulmonary Function System'})",2,1
