,support,itemsets,length,frequency
542,0.02754069511658601,"frozenset({'Actiwatch', 'HRF-1'})",2,313
187,0.013110426748790146,"frozenset({'PFS', 'Portable Pulmonary Function System'})",2,149
263,0.01293444786625605,"frozenset({'Actiwatch', 'Holter Monitor 2'})",2,147
383,0.012406511218653762,"frozenset({'EPM', 'Actiwatch'})",2,141
264,0.008798944126704795,"frozenset({'EPM', 'Holter Monitor 2'})",2,100
603,0.005543334799824021,"frozenset({'Ultrasound 2', 'Ultrasound'})",2,63
390,0.004839419269687638,"frozenset({'Actiwatch', 'Actiwatch Spectrum'})",2,55
391,0.004487461504619446,"frozenset({'Holter Monitor 2', 'Actiwatch Spectrum'})",2,51
512,0.00387153541575011,"frozenset({'Holter', 'Actiwatch'})",2,44
392,0.0033435987681478224,"frozenset({'EPM', 'Actiwatch Spectrum'})",2,38
394,0.002199736031676199,"frozenset({'Ultrasound', 'Actiwatch Spectrum'})",2,25
393,0.002199736031676199,"frozenset({'Ultrasound 2', 'Actiwatch Spectrum'})",2,25
265,0.002199736031676199,"frozenset({'Ultrasound', 'Holter Monitor 2'})",2,25
604,0.002199736031676199,"frozenset({'Ultrasound 2', 'Holter Monitor 2'})",2,25
159,0.002111746590409151,"frozenset({'PFS', 'Holter'})",2,24
162,0.001935767707875055,"frozenset({'PFS', 'EPM'})",2,22
396,0.0015838099428068632,"frozenset({'Holter', 'Actiwatch Spectrum'})",2,18
509,0.0014958205015398152,"frozenset({'Holter', 'EPM'})",2,17
1142,0.0013198416190057193,"frozenset({'PFS', 'HRF-2'})",2,15
516,0.0012318521777386713,"frozenset({'Holter', 'Ultrasound'})",2,14
1143,0.0009678838539375275,"frozenset({'Holter', 'HRF-2'})",2,11
715,0.0008798944126704796,"frozenset({'EPM', 'CBPD'})",2,10
458,0.0008798944126704796,"frozenset({'EPM', 'MARES'})",2,10
716,0.0007039155301363836,"frozenset({'Holter Monitor 2', 'CBPD'})",2,8
543,0.0006159260888693356,"frozenset({'Ultrasound', 'HRF-1'})",2,7
717,0.0005279366476022878,"frozenset({'Actiwatch', 'CBPD'})",2,6
606,0.0005279366476022878,"frozenset({'Ultrasound 2', 'HRF-1'})",2,6
386,0.0005279366476022878,"frozenset({'Ultrasound', 'EPM'})",2,6
1144,0.0005279366476022878,"frozenset({'EPM', 'HRF-2'})",2,6
190,0.0004399472063352398,"frozenset({'Portable Pulmonary Function System', 'EPM'})",2,5
267,0.0004399472063352398,"frozenset({'Holter', 'Holter Monitor 2'})",2,5
167,0.0003519577650681918,"frozenset({'PFS', 'Ultrasound'})",2,4
324,0.0003519577650681918,"frozenset({'PCBA', 'EPM'})",2,4
613,0.0003519577650681918,"frozenset({'PFS', 'Ultrasound 2'})",2,4
195,0.0002639683238011439,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
1146,0.0002639683238011439,"frozenset({'HRF-2', 'HRF-1'})",2,3
1141,0.0002639683238011439,"frozenset({'HRF-2', 'Actiwatch'})",2,3
191,0.0002639683238011439,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,3
395,0.0001759788825340959,"frozenset({'HRF-1', 'Actiwatch Spectrum'})",2,2
266,0.0001759788825340959,"frozenset({'Holter Monitor 2', 'HRF-1'})",2,2
1493,0.0001759788825340959,"frozenset({'Ultrasound 2', 'Bone Densitometer'})",2,2
605,0.0001759788825340959,"frozenset({'Ultrasound 2', 'EPM'})",2,2
718,0.0001759788825340959,"frozenset({'Holter', 'CBPD'})",2,2
614,0.0001759788825340959,"frozenset({'Ultrasound 2', 'Portable Pulmonary Function System'})",2,2
611,0.0001759788825340959,"frozenset({'Holter', 'Ultrasound 2'})",2,2
1147,0.0001759788825340959,"frozenset({'Ultrasound 2', 'HRF-2'})",2,2
990,0.0001759788825340959,"frozenset({'ALTEA', 'UMS'})",2,2
1149,8.798944126704795e-05,"frozenset({'Portable Pulmonary Function System', 'HRF-2'})",2,1
169,8.798944126704795e-05,"frozenset({'PFS', 'Actiwatch'})",2,1
168,8.798944126704795e-05,"frozenset({'PFS', 'HRF-1'})",2,1
464,8.798944126704795e-05,"frozenset({'Ultrasound 2', 'MARES'})",2,1
323,8.798944126704795e-05,"frozenset({'Ultrasound', 'PCBA'})",2,1
196,8.798944126704795e-05,"frozenset({'Portable Pulmonary Function System', 'Holter Monitor 2'})",2,1
198,8.798944126704795e-05,"frozenset({'Portable Pulmonary Function System', 'Actiwatch'})",2,1
1156,8.798944126704795e-05,"frozenset({'HRF-2', 'GASMAP'})",2,1
1376,8.798944126704795e-05,"frozenset({'Bio-Monitor', 'Actiwatch'})",2,1
998,8.798944126704795e-05,"frozenset({'PCBA', 'RAM'})",2,1
556,8.798944126704795e-05,"frozenset({'ALTEA', 'TEPC'})",2,1
557,8.798944126704795e-05,"frozenset({'TEPC', 'PCBA'})",2,1
891,8.798944126704795e-05,"frozenset({'PFS', 'ALTEA'})",2,1
892,8.798944126704795e-05,"frozenset({'ALTEA', 'PCBA'})",2,1
890,8.798944126704795e-05,"frozenset({'ALTEA', 'Portable Pulmonary Function System'})",2,1
270,8.798944126704795e-05,"frozenset({'PFS', 'Holter Monitor 2'})",2,1
719,8.798944126704795e-05,"frozenset({'PFS', 'CBPD'})",2,1
1510,8.798944126704795e-05,"frozenset({'Bio-Monitor', 'Bio-Analyzer'})",2,1
