,support,itemsets,length,frequency
321,0.0069511658600967885,"frozenset({'MELFI', 'PCBA'})",2,79
510,0.0009678838539375275,"frozenset({'MELFI', 'Holter'})",2,11
160,0.0009678838539375275,"frozenset({'PFS', 'MELFI'})",2,11
384,0.0003519577650681918,"frozenset({'MELFI', 'EPM'})",2,4
459,0.0002639683238011439,"frozenset({'MELFI', 'MARES'})",2,3
455,0.0002639683238011439,"frozenset({'MELFI', 'Ultrasound'})",2,3
192,0.0002639683238011439,"frozenset({'MELFI', 'Portable Pulmonary Function System'})",2,3
887,0.0002639683238011439,"frozenset({'MELFI', 'ALTEA'})",2,3
1491,0.0001759788825340959,"frozenset({'MELFI', 'Bone Densitometer'})",2,2
785,0.0001759788825340959,"frozenset({'Portable Pulmonary Function System', 'MERLIN'})",2,2
1515,0.0001759788825340959,"frozenset({'MELFI', 'MMD'})",2,2
262,0.0001759788825340959,"frozenset({'MELFI', 'Actiwatch'})",2,2
786,0.0001759788825340959,"frozenset({'PFS', 'MERLIN'})",2,2
327,0.0001759788825340959,"frozenset({'PCBA', 'MERLIN'})",2,2
555,0.0001759788825340959,"frozenset({'MELFI', 'TEPC'})",2,2
889,8.798944126704795e-05,"frozenset({'ALTEA', 'GLACIER'})",2,1
832,8.798944126704795e-05,"frozenset({'Portable Pulmonary Function System', 'GLACIER'})",2,1
833,8.798944126704795e-05,"frozenset({'PFS', 'GLACIER'})",2,1
893,8.798944126704795e-05,"frozenset({'ALTEA', 'MERLIN'})",2,1
558,8.798944126704795e-05,"frozenset({'TEPC', 'MERLIN'})",2,1
991,8.798944126704795e-05,"frozenset({'MELFI', 'UMS'})",2,1
999,8.798944126704795e-05,"frozenset({'MELFI', 'RAM'})",2,1
462,8.798944126704795e-05,"frozenset({'MERLIN', 'MARES'})",2,1
397,8.798944126704795e-05,"frozenset({'MELFI', 'Actiwatch Spectrum'})",2,1
