,support,itemsets,length,frequency
1407,0.0007039155301363836,"frozenset({'TangoLab-2', 'TangoLab-1'})",2,8
1289,0.0003519577650681918,"frozenset({'MSPR', 'GN2'})",2,4
1409,0.0003519577650681918,"frozenset({'EXPRESS Rack', 'TangoLab-1'})",2,4
1511,0.0002639683238011439,"frozenset({'EXPRESS Rack', 'Faraday Research'})",2,3
1287,0.0002639683238011439,"frozenset({'EXPRESS Rack', 'GN2'})",2,3
1015,0.0002639683238011439,"frozenset({'EXPRESS Rack', 'SLAMMD'})",2,3
1345,0.0001759788825340959,"frozenset({'EXPRESS Rack', 'TangoLab-2'})",2,2
1576,0.0001759788825340959,"frozenset({'MSPR', 'MSPR-2'})",2,2
1167,0.0001759788825340959,"frozenset({'Ryutai', 'MSPR'})",2,2
1008,8.798944126704795e-05,"frozenset({'EXPRESS Rack', 'MSPR'})",2,1
979,8.798944126704795e-05,"frozenset({'EDR', 'EXPRESS Rack'})",2,1
1512,8.798944126704795e-05,"frozenset({'EDR', 'EDR-2'})",2,1
