,support,itemsets,length,frequency
1010,0.0054553453585569735,"frozenset({'MELFI', 'SLAMMD'})",2,62
782,0.0030796304443466782,"frozenset({'EXPRESS Rack', 'MERLIN'})",2,35
828,0.0026396832380114386,"frozenset({'EXPRESS Rack', 'GLACIER'})",2,30
362,0.002023757149142103,"frozenset({'MELFI', 'EXPRESS Rack'})",2,23
736,0.0007919049714034316,"frozenset({'Polar', 'EXPRESS Rack'})",2,9
1006,0.0006159260888693356,"frozenset({'MELFI', 'MSPR'})",2,7
1332,0.0003519577650681918,"frozenset({'EXPRESS Rack', 'Iceberg'})",2,4
977,0.0001759788825340959,"frozenset({'MELFI', 'EDR'})",2,2
1428,8.798944126704795e-05,"frozenset({'MSPR', 'FROST'})",2,1
978,8.798944126704795e-05,"frozenset({'EDR', 'MERLIN'})",2,1
982,8.798944126704795e-05,"frozenset({'EDR', 'GLACIER'})",2,1
1212,8.798944126704795e-05,"frozenset({'EXPRESS Rack', 'Double Coldbag'})",2,1
1343,8.798944126704795e-05,"frozenset({'TangoLab-2', 'GLACIER'})",2,1
1408,8.798944126704795e-05,"frozenset({'TangoLab-1', 'GLACIER'})",2,1
1507,8.798944126704795e-05,"frozenset({'EXPRESS Rack', 'Cryo Chiller'})",2,1
1487,8.798944126704795e-05,"frozenset({'MELFI', 'NanoRacks Platforms'})",2,1
