,support,itemsets,length,frequency
1347,0.00343158820941487,"frozenset({'MSG', 'Rodent Research'})",2,39
585,0.0029916410030796305,"frozenset({'CB', 'Saibo'})",2,34
524,0.0017597888253409592,"frozenset({'MSG', 'CGBA'})",2,20
1308,0.0006159260888693356,"frozenset({'Rodent Research', 'LSG'})",2,7
1137,0.0004399472063352398,"frozenset({'PGB', 'MDS'})",2,5
1555,0.0004399472063352398,"frozenset({'CB', 'Bioculture System'})",2,5
1552,0.0003519577650681918,"frozenset({'MSG', 'Bioculture System'})",2,4
528,0.0002639683238011439,"frozenset({'CB', 'CGBA'})",2,3
661,0.0002639683238011439,"frozenset({'CB', 'MDS'})",2,3
1415,0.0001759788825340959,"frozenset({'MSG', 'CellCult'})",2,2
698,8.798944126704795e-05,"frozenset({'MSG', 'PCRF'})",2,1
1379,8.798944126704795e-05,"frozenset({'CB', 'BFF'})",2,1
923,8.798944126704795e-05,"frozenset({'KFT', 'CGBA'})",2,1
