,support,itemsets,length,frequency
477,0.00387153541575011,"frozenset({'CB', 'MELFI'})",2,44
915,0.0029036515618125823,"frozenset({'MELFI', 'KFT'})",2,33
1208,0.0016717993840739112,"frozenset({'CB', 'Double Coldbag'})",2,19
360,0.0015838099428068632,"frozenset({'MSG', 'MELFI'})",2,18
788,0.0010558732952045756,"frozenset({'CB', 'MERLIN'})",2,12
830,0.0009678838539375275,"frozenset({'CB', 'GLACIER'})",2,11
791,0.0004399472063352398,"frozenset({'MSG', 'MERLIN'})",2,5
1422,0.0004399472063352398,"frozenset({'MSG', 'Glovebox Freezer'})",2,5
1421,0.0004399472063352398,"frozenset({'LSG', 'Glovebox Freezer'})",2,5
1138,0.0001759788825340959,"frozenset({'MELFI', 'PGB'})",2,2
838,0.0001759788825340959,"frozenset({'MSG', 'GLACIER'})",2,2
1435,8.798944126704795e-05,"frozenset({'CB', 'FROST'})",2,1
741,8.798944126704795e-05,"frozenset({'CB', 'Polar'})",2,1
1306,8.798944126704795e-05,"frozenset({'MELFI', 'LSG'})",2,1
1337,8.798944126704795e-05,"frozenset({'CB', 'Iceberg'})",2,1
