,support,itemsets,length,frequency
826,0.005015398152221733,"frozenset({'MELFI', 'GLACIER'})",2,57
783,0.0029036515618125823,"frozenset({'MELFI', 'MERLIN'})",2,33
827,0.0026396832380114386,"frozenset({'GLACIER', 'MERLIN'})",2,30
1209,0.0013198416190057193,"frozenset({'MELFI', 'Double Coldbag'})",2,15
737,0.0010558732952045756,"frozenset({'Polar', 'MELFI'})",2,12
738,0.0005279366476022878,"frozenset({'Polar', 'GLACIER'})",2,6
1211,0.0004399472063352398,"frozenset({'MERLIN', 'Double Coldbag'})",2,5
1215,0.0004399472063352398,"frozenset({'Polar', 'Double Coldbag'})",2,5
1210,0.0004399472063352398,"frozenset({'GLACIER', 'Double Coldbag'})",2,5
1333,0.0002639683238011439,"frozenset({'Polar', 'Iceberg'})",2,3
739,0.0002639683238011439,"frozenset({'Polar', 'MERLIN'})",2,3
1431,0.0001759788825340959,"frozenset({'MELFI', 'FROST'})",2,2
1429,0.0001759788825340959,"frozenset({'GLACIER', 'FROST'})",2,2
1334,0.0001759788825340959,"frozenset({'MELFI', 'Iceberg'})",2,2
1434,8.798944126704795e-05,"frozenset({'MERLIN', 'FROST'})",2,1
1217,8.798944126704795e-05,"frozenset({'Double Coldbag', 'FROST'})",2,1
1336,8.798944126704795e-05,"frozenset({'MERLIN', 'Iceberg'})",2,1
