,support,itemsets,length,frequency
346,0.012842465753424657,"frozenset({'MELFI', 'PCBA'})",2,30
109,0.0025684931506849314,"frozenset({'MELFI', 'MARES'})",2,6
260,0.0025684931506849314,"frozenset({'ALTEA', 'MELFI'})",2,6
135,0.0025684931506849314,"frozenset({'PFS', 'MELFI'})",2,6
350,0.0017123287671232876,"frozenset({'MERLIN', 'PCBA'})",2,4
164,0.0017123287671232876,"frozenset({'TEPC', 'MELFI'})",2,4
80,0.0017123287671232876,"frozenset({'Holter', 'MELFI'})",2,4
166,0.0008561643835616438,"frozenset({'TEPC', 'MERLIN'})",2,2
267,0.0008561643835616438,"frozenset({'ALTEA', 'MERLIN'})",2,2
112,0.0008561643835616438,"frozenset({'MERLIN', 'MARES'})",2,2
390,0.0008561643835616438,"frozenset({'GLACIER', 'ALTEA'})",2,2
392,0.0008561643835616438,"frozenset({'GLACIER', 'PFS'})",2,2
391,0.0008561643835616438,"frozenset({'GLACIER', 'Portable Pulmonary Function System'})",2,2
144,0.0008561643835616438,"frozenset({'MELFI', 'Portable Pulmonary Function System'})",2,2
