,support,itemsets,length,frequency
128,0.011914893617021277,"frozenset({'SLAMMD', 'PCBA'})",2,28
189,0.003404255319148936,"frozenset({'EXPRESS Rack', 'UMS'})",2,8
322,0.003404255319148936,"frozenset({'EXPRESS Rack', 'ALTEA'})",2,8
309,0.002553191489361702,"frozenset({'EDR', 'EPM'})",2,6
72,0.002553191489361702,"frozenset({'EXPRESS Rack', 'PFS'})",2,6
143,0.001702127659574468,"frozenset({'EXPRESS Rack', 'Holter'})",2,4
87,0.001702127659574468,"frozenset({'EXPRESS Rack', 'Portable Pulmonary Function System'})",2,4
338,0.001702127659574468,"frozenset({'SLAMMD', 'MARES'})",2,4
151,0.000851063829787234,"frozenset({'EXPRESS Rack', 'EPM'})",2,2
239,0.000851063829787234,"frozenset({'SLAMMD', 'HRF-1'})",2,2
346,0.000851063829787234,"frozenset({'EXPRESS Rack', 'Ultrasound 2'})",2,2
343,0.000851063829787234,"frozenset({'SLAMMD', 'Ultrasound 2'})",2,2
