,support,itemsets,length,frequency
96,0.022887323943661973,"frozenset({'Ultrasound 2', 'Ultrasound'})",2,26
86,0.017605633802816902,"frozenset({'Actiwatch', 'Holter'})",2,20
73,0.017605633802816902,"frozenset({'Holter', 'Ultrasound'})",2,20
78,0.008802816901408451,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,10
134,0.00528169014084507,"frozenset({'Holter', 'Actiwatch Spectrum'})",2,6
135,0.00528169014084507,"frozenset({'Actiwatch', 'Actiwatch Spectrum'})",2,6
79,0.0035211267605633804,"frozenset({'Ultrasound 2', 'PFS'})",2,4
128,0.0035211267605633804,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,4
127,0.0035211267605633804,"frozenset({'Ultrasound 2', 'Portable Pulmonary Function System'})",2,4
80,0.0035211267605633804,"frozenset({'PFS', 'Ultrasound'})",2,4
138,0.0035211267605633804,"frozenset({'Ultrasound 2', 'Bone Densitometer'})",2,4
97,0.0035211267605633804,"frozenset({'Ultrasound 2', 'Holter'})",2,4
87,0.0017605633802816902,"frozenset({'EPM', 'Ultrasound'})",2,2
88,0.0017605633802816902,"frozenset({'EPM', 'Holter'})",2,2
