,support,itemsets,length,frequency
539,0.014560734877357569,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
336,0.011335874132707906,"frozenset({'Holter', 'EPM'})",2,116
237,0.010456366656894362,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
184,0.0038111990618586926,"frozenset({'Actiwatch', 'EPM'})",2,39
340,0.0020521841102316037,"frozenset({'PFS', 'EPM'})",2,21
224,0.001954461057363432,"frozenset({'CEVIS', 'EPM'})",2,20
514,0.001759014951627089,"frozenset({'MSL', 'MSRR-1'})",2,18
327,0.0013681227401544024,"frozenset({'MELFI', 'EMCS'})",2,14
328,0.0011726766344180592,"frozenset({'MWA', 'EMCS'})",2,12
324,0.0008795074758135445,"frozenset({'EXPRESS Rack', 'EMCS'})",2,9
218,0.0008795074758135445,"frozenset({'CBPD', 'EPM'})",2,9
345,0.0007817844229453728,"frozenset({'EPM', 'Ultrasound'})",2,8
335,0.0005863383172090296,"frozenset({'EPM', 'HRF-2'})",2,6
471,0.000488615264340858,"frozenset({'MDS', 'PGB'})",2,5
455,0.000488615264340858,"frozenset({'MELFI', 'Kubik'})",2,5
311,0.000488615264340858,"frozenset({'ELC', 'EMCS'})",2,5
339,0.0003908922114726864,"frozenset({'PCBA', 'EPM'})",2,4
436,0.0003908922114726864,"frozenset({'Portable Pulmonary Function System', 'Holter'})",2,4
231,0.0003908922114726864,"frozenset({'CEVIS', 'MSL'})",2,4
370,0.0003908922114726864,"frozenset({'Portable Pulmonary Function System', 'EXPRESS Rack'})",2,4
548,0.0002931691586045148,"frozenset({'Portable Pulmonary Function System', 'Ultrasound'})",2,3
338,0.0002931691586045148,"frozenset({'MELFI', 'EPM'})",2,3
469,0.0002931691586045148,"frozenset({'MARES', 'WORF'})",2,3
342,0.0002931691586045148,"frozenset({'RC', 'EPM'})",2,3
326,0.0001954461057363432,"frozenset({'GN2', 'EMCS'})",2,2
343,0.0001954461057363432,"frozenset({'EPM', 'Spectrum'})",2,2
394,0.0001954461057363432,"frozenset({'MSG', 'FSL'})",2,2
466,0.0001954461057363432,"frozenset({'MARES', 'Mass Measurement Device'})",2,2
360,0.0001954461057363432,"frozenset({'MSL', 'EXPRESS Rack'})",2,2
467,0.0001954461057363432,"frozenset({'SLAMMD', 'MARES'})",2,2
348,0.0001954461057363432,"frozenset({'EXPRESS Rack', 'FSL'})",2,2
321,0.0001954461057363432,"frozenset({'ELC', 'Solar'})",2,2
250,0.0001954461057363432,"frozenset({'CGBA', 'FSL'})",2,2
223,0.0001954461057363432,"frozenset({'CEVIS', 'EDR'})",2,2
163,0.0001954461057363432,"frozenset({'EPM', 'ARED'})",2,2
207,0.0001954461057363432,"frozenset({'MELFI', 'BioLab'})",2,2
480,0.0001954461057363432,"frozenset({'MELFI', 'PGB'})",2,2
245,0.0001954461057363432,"frozenset({'EDR', 'CGBA'})",2,2
497,0.0001954461057363432,"frozenset({'Portable Pulmonary Function System', 'MERLIN'})",2,2
308,0.0001954461057363432,"frozenset({'Plant Habitat', 'EDR'})",2,2
260,0.0001954461057363432,"frozenset({'Portable Pulmonary Function System', 'CGBA'})",2,2
447,9.77230528681716e-05,"frozenset({'MSL', 'KERMIT'})",2,1
557,9.77230528681716e-05,"frozenset({'Solar', 'WORF'})",2,1
556,9.77230528681716e-05,"frozenset({'Solar', 'TEPC'})",2,1
549,9.77230528681716e-05,"frozenset({'Portable Pulmonary Function System', 'WORF'})",2,1
547,9.77230528681716e-05,"frozenset({'TVIS', 'Portable Pulmonary Function System'})",2,1
546,9.77230528681716e-05,"frozenset({'RC', 'Portable Pulmonary Function System'})",2,1
521,9.77230528681716e-05,"frozenset({'MVP', 'PGB'})",2,1
465,9.77230528681716e-05,"frozenset({'MARES', 'MSG'})",2,1
507,9.77230528681716e-05,"frozenset({'Portable Pulmonary Function System', 'MSG'})",2,1
468,9.77230528681716e-05,"frozenset({'MARES', 'Ultrasound'})",2,1
488,9.77230528681716e-05,"frozenset({'MELFI', 'Solar'})",2,1
483,9.77230528681716e-05,"frozenset({'Portable Pulmonary Function System', 'MELFI'})",2,1
464,9.77230528681716e-05,"frozenset({'MARES', 'MERLIN'})",2,1
453,9.77230528681716e-05,"frozenset({'KFT', 'Solar'})",2,1
456,9.77230528681716e-05,"frozenset({'Kubik', 'TEPC'})",2,1
524,9.77230528681716e-05,"frozenset({'MWA', 'Solar'})",2,1
518,9.77230528681716e-05,"frozenset({'TVIS', 'MSL'})",2,1
517,9.77230528681716e-05,"frozenset({'MSL', 'TEPC'})",2,1
516,9.77230528681716e-05,"frozenset({'MSL', 'SAMS-II'})",2,1
515,9.77230528681716e-05,"frozenset({'MSL', 'PFS'})",2,1
432,9.77230528681716e-05,"frozenset({'Holter', 'MSL'})",2,1
430,9.77230528681716e-05,"frozenset({'Hermes', 'MSL'})",2,1
192,9.77230528681716e-05,"frozenset({'Actiwatch', 'Portable Pulmonary Function System'})",2,1
205,9.77230528681716e-05,"frozenset({'BXF', 'Solar'})",2,1
227,9.77230528681716e-05,"frozenset({'CEVIS', 'FSL'})",2,1
230,9.77230528681716e-05,"frozenset({'CEVIS', 'Kubik'})",2,1
247,9.77230528681716e-05,"frozenset({'CGBA', 'EPM'})",2,1
252,9.77230528681716e-05,"frozenset({'CGBA', 'Kubik'})",2,1
272,9.77230528681716e-05,"frozenset({'MARES', 'CIR'})",2,1
153,9.77230528681716e-05,"frozenset({'Portable Pulmonary Function System', 'ALTEA'})",2,1
166,9.77230528681716e-05,"frozenset({'ARED', 'FSL'})",2,1
175,9.77230528681716e-05,"frozenset({'Portable Pulmonary Function System', 'ARED'})",2,1
383,9.77230528681716e-05,"frozenset({'FIR', 'FSL'})",2,1
393,9.77230528681716e-05,"frozenset({'MERLIN', 'FSL'})",2,1
395,9.77230528681716e-05,"frozenset({'Mass Measurement Device', 'FSL'})",2,1
396,9.77230528681716e-05,"frozenset({'SLAMMD', 'FSL'})",2,1
397,9.77230528681716e-05,"frozenset({'Ultrasound', 'FSL'})",2,1
398,9.77230528681716e-05,"frozenset({'WORF', 'FSL'})",2,1
411,9.77230528681716e-05,"frozenset({'GLACIER', 'Portable Pulmonary Function System'})",2,1
309,9.77230528681716e-05,"frozenset({'EDR', 'TEPC'})",2,1
292,9.77230528681716e-05,"frozenset({'MSL', 'DECLIC'})",2,1
302,9.77230528681716e-05,"frozenset({'EDR', 'EXPRESS Rack'})",2,1
304,9.77230528681716e-05,"frozenset({'GLACIER', 'EDR'})",2,1
306,9.77230528681716e-05,"frozenset({'EDR', 'MERLIN'})",2,1
307,9.77230528681716e-05,"frozenset({'EDR', 'MSG'})",2,1
325,9.77230528681716e-05,"frozenset({'GLACIER', 'EMCS'})",2,1
329,9.77230528681716e-05,"frozenset({'SAMS-II', 'EMCS'})",2,1
330,9.77230528681716e-05,"frozenset({'Veggie', 'EMCS'})",2,1
334,9.77230528681716e-05,"frozenset({'EPM', 'GN2'})",2,1
344,9.77230528681716e-05,"frozenset({'TVIS', 'EPM'})",2,1
355,9.77230528681716e-05,"frozenset({'MARES', 'EXPRESS Rack'})",2,1
