,support,itemsets,length,frequency
596,0.017267354270483252,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
352,0.013443040908564144,"frozenset({'Holter', 'EPM'})",2,116
184,0.004519643064086221,"frozenset({'EPM', 'Actiwatch'})",2,39
356,0.002433653957584888,"frozenset({'EPM', 'PFS'})",2,21
566,0.002085989106501333,"frozenset({'MSRR-1', 'MSL'})",2,18
343,0.0016224359717232587,"frozenset({'EMCS', 'MELFI'})",2,14
344,0.0013906594043342217,"frozenset({'EMCS', 'MWA'})",2,12
249,0.0010429945532506664,"frozenset({'EPM', 'CBPD'})",2,9
340,0.0010429945532506664,"frozenset({'EMCS', 'EXPRESS Rack'})",2,9
360,0.0009271062695561478,"frozenset({'Ultrasound', 'EPM'})",2,8
351,0.0006953297021671109,"frozenset({'EPM', 'HRF-2'})",2,6
321,0.0005794414184725924,"frozenset({'EMCS', 'ELC'})",2,5
519,0.0005794414184725924,"frozenset({'PGB', 'MDS'})",2,5
503,0.0005794414184725924,"frozenset({'Kubik', 'MELFI'})",2,5
355,0.0004635531347780739,"frozenset({'PCBA', 'EPM'})",2,4
387,0.0004635531347780739,"frozenset({'EXPRESS Rack', 'Portable Pulmonary Function System'})",2,4
473,0.0004635531347780739,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
358,0.00034766485108355543,"frozenset({'RC', 'EPM'})",2,3
354,0.00034766485108355543,"frozenset({'MELFI', 'EPM'})",2,3
517,0.00034766485108355543,"frozenset({'MARES', 'WORF'})",2,3
603,0.00034766485108355543,"frozenset({'Ultrasound', 'Portable Pulmonary Function System'})",2,3
515,0.00023177656738903696,"frozenset({'MARES', 'SLAMMD'})",2,2
514,0.00023177656738903696,"frozenset({'MARES', 'Mass Measurement Device'})",2,2
376,0.00023177656738903696,"frozenset({'EXPRESS Rack', 'MSL'})",2,2
254,0.00023177656738903696,"frozenset({'EDR', 'CGBA'})",2,2
214,0.00023177656738903696,"frozenset({'MELFI', 'BioLab'})",2,2
259,0.00023177656738903696,"frozenset({'FSL', 'CGBA'})",2,2
332,0.00023177656738903696,"frozenset({'ELC', 'Solar'})",2,2
548,0.00023177656738903696,"frozenset({'MERLIN', 'Portable Pulmonary Function System'})",2,2
530,0.00023177656738903696,"frozenset({'MELFI', 'PGB'})",2,2
318,0.00023177656738903696,"frozenset({'EDR', 'Plant Habitat'})",2,2
269,0.00023177656738903696,"frozenset({'CGBA', 'Portable Pulmonary Function System'})",2,2
426,0.00023177656738903696,"frozenset({'FSL', 'MSG'})",2,2
364,0.00023177656738903696,"frozenset({'FSL', 'EXPRESS Rack'})",2,2
342,0.00023177656738903696,"frozenset({'EMCS', 'GN2'})",2,2
359,0.00023177656738903696,"frozenset({'Spectrum', 'EPM'})",2,2
494,0.00011588828369451848,"frozenset({'KERMIT', 'MSL'})",2,1
576,0.00011588828369451848,"frozenset({'PGB', 'MVP'})",2,1
580,0.00011588828369451848,"frozenset({'Solar', 'MWA'})",2,1
501,0.00011588828369451848,"frozenset({'KFT', 'Solar'})",2,1
602,0.00011588828369451848,"frozenset({'RC', 'Portable Pulmonary Function System'})",2,1
604,0.00011588828369451848,"frozenset({'WORF', 'Portable Pulmonary Function System'})",2,1
612,0.00011588828369451848,"frozenset({'Solar', 'TEPC'})",2,1
613,0.00011588828369451848,"frozenset({'WORF', 'Solar'})",2,1
569,0.00011588828369451848,"frozenset({'MSL', 'TEPC'})",2,1
568,0.00011588828369451848,"frozenset({'MSL', 'SAMS-II'})",2,1
504,0.00011588828369451848,"frozenset({'Kubik', 'TEPC'})",2,1
512,0.00011588828369451848,"frozenset({'MERLIN', 'MARES'})",2,1
513,0.00011588828369451848,"frozenset({'MARES', 'MSG'})",2,1
516,0.00011588828369451848,"frozenset({'MARES', 'Ultrasound'})",2,1
533,0.00011588828369451848,"frozenset({'MELFI', 'Portable Pulmonary Function System'})",2,1
539,0.00011588828369451848,"frozenset({'MELFI', 'Solar'})",2,1
560,0.00011588828369451848,"frozenset({'Portable Pulmonary Function System', 'MSG'})",2,1
567,0.00011588828369451848,"frozenset({'MSL', 'PFS'})",2,1
281,0.00011588828369451848,"frozenset({'CIR', 'MARES'})",2,1
