,support,itemsets,length,frequency
63,0.0039100684261974585,"frozenset({'ELC', 'MERLIN'})",2,8
61,0.0024437927663734115,"frozenset({'ELC', 'EMCS'})",2,5
59,0.001466275659824047,"frozenset({'CGBA', 'WORF'})",2,3
37,0.0009775171065493646,"frozenset({'ABRS', 'ELC'})",2,2
70,0.0004887585532746823,"frozenset({'Solar', 'KFT'})",2,1
76,0.0004887585532746823,"frozenset({'Plant Habitat', 'WORF'})",2,1
64,0.0004887585532746823,"frozenset({'Plant Habitat', 'ELC'})",2,1
62,0.0004887585532746823,"frozenset({'ELC', 'MDS'})",2,1
55,0.0004887585532746823,"frozenset({'CGBA', 'ELC'})",2,1
49,0.0004887585532746823,"frozenset({'Bone Densitometer', 'ELC'})",2,1
