,support,itemsets,length,frequency
115,0.0016516516516516516,"frozenset({'CGBA', 'CEVIS'})",2,11
134,0.00045045045045045046,"frozenset({'SLAMMD', 'CGBA'})",2,3
83,0.00045045045045045046,"frozenset({'MERLIN', 'ARED'})",2,3
159,0.0003003003003003003,"frozenset({'PCBA', 'MERLIN'})",2,2
132,0.0003003003003003003,"frozenset({'CGBA', 'Portable Pulmonary Function System'})",2,2
127,0.0003003003003003003,"frozenset({'CGBA', 'Holter'})",2,2
129,0.0003003003003003003,"frozenset({'CGBA', 'PCBA'})",2,2
160,0.0003003003003003003,"frozenset({'MERLIN', 'PFS'})",2,2
130,0.0003003003003003003,"frozenset({'CGBA', 'PFS'})",2,2
161,0.0003003003003003003,"frozenset({'MERLIN', 'Portable Pulmonary Function System'})",2,2
105,0.0003003003003003003,"frozenset({'Bone Densitometer', 'Ultrasound'})",2,2
80,0.0003003003003003003,"frozenset({'CGBA', 'ARED'})",2,2
164,0.00015015015015015014,"frozenset({'TEPC', 'MERLIN'})",2,1
156,0.00015015015015015014,"frozenset({'MARES', 'MERLIN'})",2,1
61,0.00015015015015015014,"frozenset({'SLAMMD', 'ABRS'})",2,1
72,0.00015015015015015014,"frozenset({'MERLIN', 'ALTEA'})",2,1
101,0.00015015015015015014,"frozenset({'Bio-Analyzer', 'Bio-Monitor'})",2,1
106,0.00015015015015015014,"frozenset({'CBEF', 'Holter'})",2,1
111,0.00015015015015015014,"frozenset({'TVIS', 'CBEF'})",2,1
62,0.00015015015015015014,"frozenset({'TVIS', 'ABRS'})",2,1
69,0.00015015015015015014,"frozenset({'CBEF', 'ALTEA'})",2,1
126,0.00015015015015015014,"frozenset({'CGBA', 'EPM'})",2,1
135,0.00015015015015015014,"frozenset({'TEPC', 'CGBA'})",2,1
136,0.00015015015015015014,"frozenset({'TVIS', 'CGBA'})",2,1
137,0.00015015015015015014,"frozenset({'Ultrasound', 'CGBA'})",2,1
