,support,itemsets,length,frequency
152,0.01094391244870041,"frozenset({'CGBA', 'EXPRESS Rack'})",2,56
141,0.010748485440687903,"frozenset({'CBEF', 'MELFI'})",2,55
148,0.006839945280437756,"frozenset({'Saibo', 'CBEF'})",2,35
193,0.00586281024037522,"frozenset({'MERLIN', 'EXPRESS Rack'})",2,30
220,0.00586281024037522,"frozenset({'MERLIN', 'GLACIER'})",2,30
264,0.004494821184287669,"frozenset({'MERLIN', 'MELFI'})",2,23
156,0.0033222591362126247,"frozenset({'CGBA', 'MSG'})",2,17
201,0.003126832128200117,"frozenset({'Plant Habitat', 'EXPRESS Rack'})",2,16
276,0.00293140512018761,"frozenset({'Veggie', 'MELFI'})",2,15
183,0.0027359781121751026,"frozenset({'MELFI', 'EMCS'})",2,14
139,0.0027359781121751026,"frozenset({'CBEF', 'IPU'})",2,14
241,0.0025405511041625955,"frozenset({'IPU', 'SCOF'})",2,13
184,0.002345124096150088,"frozenset({'MWA', 'EMCS'})",2,12
144,0.002345124096150088,"frozenset({'CBEF', 'MSPR'})",2,12
111,0.002345124096150088,"frozenset({'Aquatic Habitat', 'MSPR'})",2,12
302,0.002345124096150088,"frozenset({'Ryutai', 'SCOF'})",2,12
298,0.0021496970881375805,"frozenset({'PCRF', 'Ryutai'})",2,11
249,0.0019542700801250734,"frozenset({'MELFI', 'KFT'})",2,10
180,0.0017588430721125659,"frozenset({'EXPRESS Rack', 'EMCS'})",2,9
274,0.0017588430721125659,"frozenset({'SABL', 'MELFI'})",2,9
287,0.0013679890560875513,"frozenset({'MSG', 'SABL'})",2,7
191,0.0013679890560875513,"frozenset({'MDS', 'EXPRESS Rack'})",2,7
117,0.0013679890560875513,"frozenset({'BRIC', 'MELFI'})",2,7
263,0.001172562048075044,"frozenset({'Saibo', 'MDS'})",2,6
261,0.001172562048075044,"frozenset({'MDS', 'MELFI'})",2,6
100,0.001172562048075044,"frozenset({'ABRS', 'MWA'})",2,6
127,0.0009771350400625367,"frozenset({'Bone Densitometer', 'MSG'})",2,5
239,0.0009771350400625367,"frozenset({'PCRF', 'IPU'})",2,5
278,0.0009771350400625367,"frozenset({'MERLIN', 'MSG'})",2,5
160,0.0009771350400625367,"frozenset({'CellCult', 'MELFI'})",2,5
262,0.0009771350400625367,"frozenset({'PGB', 'MDS'})",2,5
295,0.0009771350400625367,"frozenset({'Veggie', 'MWA'})",2,5
286,0.0009771350400625367,"frozenset({'Rodent Research', 'MSG'})",2,5
92,0.0007817080320500293,"frozenset({'ABRS', 'EXPRESS Rack'})",2,4
257,0.0007817080320500293,"frozenset({'Veggie', 'LMM'})",2,4
97,0.0007817080320500293,"frozenset({'ABRS', 'MELFI'})",2,4
123,0.0007817080320500293,"frozenset({'MSG', 'Bioculture System'})",2,4
255,0.000586281024037522,"frozenset({'MERLIN', 'LMM'})",2,3
138,0.000586281024037522,"frozenset({'GLACIER', 'CBEF'})",2,3
143,0.000586281024037522,"frozenset({'CBEF', 'MSG'})",2,3
259,0.000586281024037522,"frozenset({'LSG', 'Rodent Research'})",2,3
260,0.000586281024037522,"frozenset({'LSG', 'SABL'})",2,3
120,0.000586281024037522,"frozenset({'BioLab', 'EMCS'})",2,3
157,0.000586281024037522,"frozenset({'Mass Measurement Device', 'CGBA'})",2,3
224,0.000586281024037522,"frozenset({'GLACIER', 'SABL'})",2,3
279,0.000586281024037522,"frozenset({'Polar', 'MERLIN'})",2,3
95,0.000586281024037522,"frozenset({'ABRS', 'LMM'})",2,3
208,0.000586281024037522,"frozenset({'Veggie', 'EXPRESS Rack'})",2,3
93,0.00039085401602501464,"frozenset({'ABRS', 'GLACIER'})",2,2
250,0.00039085401602501464,"frozenset({'MSPR', 'KFT'})",2,2
213,0.00039085401602501464,"frozenset({'FROST', 'SABL'})",2,2
