,support,itemsets,length,frequency
528,0.008343956426005331,"frozenset({'PCBA', 'MELFI'})",2,72
527,0.007416850156449183,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
468,0.0011588828369451848,"frozenset({'MELFI', 'Holter'})",2,10
529,0.0010429945532506664,"frozenset({'MELFI', 'PFS'})",2,9
354,0.00034766485108355543,"frozenset({'MELFI', 'EPM'})",2,3
541,0.00034766485108355543,"frozenset({'MELFI', 'Ultrasound'})",2,3
548,0.00023177656738903696,"frozenset({'MERLIN', 'Portable Pulmonary Function System'})",2,2
546,0.00023177656738903696,"frozenset({'MERLIN', 'PFS'})",2,2
545,0.00023177656738903696,"frozenset({'PCBA', 'MERLIN'})",2,2
189,0.00023177656738903696,"frozenset({'MELFI', 'Actiwatch'})",2,2
512,0.00011588828369451848,"frozenset({'MERLIN', 'MARES'})",2,1
533,0.00011588828369451848,"frozenset({'MELFI', 'Portable Pulmonary Function System'})",2,1
552,0.00011588828369451848,"frozenset({'MERLIN', 'TEPC'})",2,1
540,0.00011588828369451848,"frozenset({'MELFI', 'TEPC'})",2,1
220,0.00011588828369451848,"frozenset({'Bone Densitometer', 'MELFI'})",2,1
173,0.00011588828369451848,"frozenset({'MERLIN', 'ALTEA'})",2,1
172,0.00011588828369451848,"frozenset({'ALTEA', 'MELFI'})",2,1
170,0.00011588828369451848,"frozenset({'ALTEA', 'GLACIER'})",2,1
445,0.00011588828369451848,"frozenset({'GLACIER', 'Portable Pulmonary Function System'})",2,1
443,0.00011588828369451848,"frozenset({'GLACIER', 'PFS'})",2,1
