,support,itemsets,length,frequency
537,0.007185073589060146,"frozenset({'MELFI', 'SLAMMD'})",2,62
374,0.0034766485108355546,"frozenset({'MERLIN', 'EXPRESS Rack'})",2,30
365,0.0030130953760574807,"frozenset({'EXPRESS Rack', 'GLACIER'})",2,26
373,0.0019701008228068142,"frozenset({'MELFI', 'EXPRESS Rack'})",2,17
386,0.0008112179858616293,"frozenset({'EXPRESS Rack', 'Polar'})",2,7
523,0.0006953297021671109,"frozenset({'MSPR', 'MELFI'})",2,6
368,0.0004635531347780739,"frozenset({'EXPRESS Rack', 'Iceberg'})",2,4
295,0.00011588828369451848,"frozenset({'Cryo Chiller', 'EXPRESS Rack'})",2,1
303,0.00011588828369451848,"frozenset({'Double Coldbag', 'EXPRESS Rack'})",2,1
423,0.00011588828369451848,"frozenset({'FROST', 'MSPR'})",2,1
448,0.00011588828369451848,"frozenset({'GLACIER', 'TangoLab-2'})",2,1
316,0.00011588828369451848,"frozenset({'MERLIN', 'EDR'})",2,1
314,0.00011588828369451848,"frozenset({'EDR', 'GLACIER'})",2,1
