,support,itemsets,length,frequency
439,0.005330861049947851,"frozenset({'MELFI', 'GLACIER'})",2,46
440,0.0034766485108355546,"frozenset({'MERLIN', 'GLACIER'})",2,30
521,0.0026654305249739253,"frozenset({'MERLIN', 'MELFI'})",2,23
532,0.0009271062695561478,"frozenset({'MELFI', 'Polar'})",2,8
305,0.0004635531347780739,"frozenset({'Double Coldbag', 'MELFI'})",2,4
444,0.0004635531347780739,"frozenset({'GLACIER', 'Polar'})",2,4
490,0.00034766485108355543,"frozenset({'Iceberg', 'Polar'})",2,3
547,0.00034766485108355543,"frozenset({'MERLIN', 'Polar'})",2,3
304,0.00034766485108355543,"frozenset({'Double Coldbag', 'GLACIER'})",2,3
421,0.00023177656738903696,"frozenset({'FROST', 'MELFI'})",2,2
306,0.00023177656738903696,"frozenset({'Double Coldbag', 'MERLIN'})",2,2
419,0.00023177656738903696,"frozenset({'FROST', 'GLACIER'})",2,2
489,0.00011588828369451848,"frozenset({'MERLIN', 'Iceberg'})",2,1
488,0.00011588828369451848,"frozenset({'MELFI', 'Iceberg'})",2,1
422,0.00011588828369451848,"frozenset({'FROST', 'MERLIN'})",2,1
307,0.00011588828369451848,"frozenset({'Double Coldbag', 'Polar'})",2,1
