,support,itemsets,length,frequency
309,0.0013906594043342217,"frozenset({'EDR', 'EML'})",2,12
310,0.0011588828369451848,"frozenset({'EDR', 'EPM'})",2,10
353,0.0011588828369451848,"frozenset({'MARES', 'EPM'})",2,10
427,0.0008112179858616293,"frozenset({'FSL', 'MVIS'})",2,7
315,0.0004635531347780739,"frozenset({'Kubik', 'EDR'})",2,4
348,0.0004635531347780739,"frozenset({'ETC', 'EPM'})",2,4
311,0.0004635531347780739,"frozenset({'ETC', 'EDR'})",2,4
349,0.00034766485108355543,"frozenset({'FSL', 'EPM'})",2,3
313,0.00034766485108355543,"frozenset({'FSL', 'EDR'})",2,3
213,0.00034766485108355543,"frozenset({'EMCS', 'BioLab'})",2,3
361,0.00023177656738903696,"frozenset({'FSL', 'ETC'})",2,2
347,0.00011588828369451848,"frozenset({'EPM', 'EML'})",2,1
346,0.00011588828369451848,"frozenset({'EMCS', 'Veggie'})",2,1
