,support,itemsets,length,frequency
534,0.027929076370378954,"frozenset({'RC', 'MELFI'})",2,241
527,0.007416850156449183,"frozenset({'MELFI', 'Mass Measurement Device'})",2,64
537,0.007185073589060146,"frozenset({'MELFI', 'SLAMMD'})",2,62
505,0.0012747711206397034,"frozenset({'LMM', 'MELFI'})",2,11
468,0.0011588828369451848,"frozenset({'MELFI', 'Holter'})",2,10
522,0.0011588828369451848,"frozenset({'MELFI', 'MSG'})",2,10
536,0.0010429945532506664,"frozenset({'MELFI', 'SABL'})",2,9
529,0.0010429945532506664,"frozenset({'MELFI', 'PFS'})",2,9
403,0.0009271062695561478,"frozenset({'FIR', 'MELFI'})",2,8
207,0.0008112179858616293,"frozenset({'MELFI', 'BRIC'})",2,7
268,0.0006953297021671109,"frozenset({'CGBA', 'Plant Habitat'})",2,6
450,0.0004635531347780739,"frozenset({'MSPR', 'GN2'})",2,4
600,0.00034766485108355543,"frozenset({'Plant Habitat', 'SABL'})",2,3
525,0.00034766485108355543,"frozenset({'MELFI', 'MVP'})",2,3
152,0.00034766485108355543,"frozenset({'LMM', 'ABRS'})",2,3
479,0.00034766485108355543,"frozenset({'IPU', 'MSG'})",2,3
241,0.00034766485108355543,"frozenset({'CBEF', 'MSG'})",2,3
541,0.00034766485108355543,"frozenset({'MELFI', 'Ultrasound'})",2,3
424,0.00023177656738903696,"frozenset({'FROST', 'SABL'})",2,2
245,0.00023177656738903696,"frozenset({'SABL', 'CBEF'})",2,2
467,0.00023177656738903696,"frozenset({'Holter', 'IPU'})",2,2
335,0.00023177656738903696,"frozenset({'ELF', 'GN2'})",2,2
291,0.00023177656738903696,"frozenset({'CellCult', 'MSG'})",2,2
292,0.00023177656738903696,"frozenset({'CellCult', 'SABL'})",2,2
294,0.00023177656738903696,"frozenset({'SABL', 'Confocal Microscope'})",2,2
166,0.00023177656738903696,"frozenset({'ADSEP', 'SABL'})",2,2
262,0.00023177656738903696,"frozenset({'MELFI', 'CGBA'})",2,2
279,0.00023177656738903696,"frozenset({'CIR', 'FPEF'})",2,2
486,0.00011588828369451848,"frozenset({'WORF', 'IPU'})",2,1
147,0.00011588828369451848,"frozenset({'CGBA', 'ABRS'})",2,1
601,0.00011588828369451848,"frozenset({'WORF', 'Plant Habitat'})",2,1
572,0.00011588828369451848,"frozenset({'MSPR', 'SABL'})",2,1
524,0.00011588828369451848,"frozenset({'MSRR-1', 'MELFI'})",2,1
557,0.00011588828369451848,"frozenset({'PCRF', 'MSG'})",2,1
301,0.00011588828369451848,"frozenset({'DECLIC', 'MSG'})",2,1
236,0.00011588828369451848,"frozenset({'Holter', 'CBEF'})",2,1
225,0.00011588828369451848,"frozenset({'CIR', 'CB'})",2,1
220,0.00011588828369451848,"frozenset({'Bone Densitometer', 'MELFI'})",2,1
159,0.00011588828369451848,"frozenset({'SLAMMD', 'ABRS'})",2,1
158,0.00011588828369451848,"frozenset({'Mass Measurement Device', 'ABRS'})",2,1
156,0.00011588828369451848,"frozenset({'MSG', 'ABRS'})",2,1
302,0.00011588828369451848,"frozenset({'MSL', 'DECLIC'})",2,1
408,0.00011588828369451848,"frozenset({'FIR', 'SCOF'})",2,1
451,0.00011588828369451848,"frozenset({'GN2', 'Plant Habitat'})",2,1
401,0.00011588828369451848,"frozenset({'FIR', 'IPU'})",2,1
399,0.00011588828369451848,"frozenset({'FIR', 'FPEF'})",2,1
