,support,itemsets,length,frequency
50,0.13970588235294118,"frozenset({'ARED', 'CEVIS'})",2,950
74,0.12764705882352942,"frozenset({'TVIS', 'CEVIS'})",2,868
157,0.029264705882352943,"frozenset({'TVIS', 'Ultrasound'})",2,199
59,0.028823529411764706,"frozenset({'ARED', 'Ultrasound'})",2,196
60,0.000588235294117647,"frozenset({'ARED', 'WORF'})",2,3
55,0.0002941176470588235,"frozenset({'Holter', 'ARED'})",2,1
57,0.0002941176470588235,"frozenset({'ARED', 'PFS'})",2,1
56,0.0002941176470588235,"frozenset({'MSG', 'ARED'})",2,1
52,0.0002941176470588235,"frozenset({'CIR', 'ARED'})",2,1
158,0.0002941176470588235,"frozenset({'TVIS', 'WORF'})",2,1
120,0.0002941176470588235,"frozenset({'Holter', 'TVIS'})",2,1
51,0.0002941176470588235,"frozenset({'CGBA', 'ARED'})",2,1
53,0.00014705882352941175,"frozenset({'FIR', 'ARED'})",2,0
54,0.00014705882352941175,"frozenset({'ARED', 'HRF-2'})",2,0
145,0.00014705882352941175,"frozenset({'TVIS', 'Mass Measurement Device'})",2,0
149,0.00014705882352941175,"frozenset({'TVIS', 'PFS'})",2,0
140,0.00014705882352941175,"frozenset({'TVIS', 'MSL'})",2,0
154,0.00014705882352941175,"frozenset({'TVIS', 'SLAMMD'})",2,0
85,0.00014705882352941175,"frozenset({'CGBA', 'TVIS'})",2,0
95,0.00014705882352941175,"frozenset({'TVIS', 'CIR'})",2,0
135,0.00014705882352941175,"frozenset({'MSG', 'TVIS'})",2,0
