,support,itemsets,length,frequency
230,0.03266910668293344,"frozenset({'RC', 'MELFI'})",2,241
227,0.008675613392978175,"frozenset({'MELFI', 'Mass Measurement Device'})",2,63
232,0.008404500474447607,"frozenset({'MELFI', 'SLAMMD'})",2,61
220,0.0014911210519181239,"frozenset({'LMM', 'MELFI'})",2,11
198,0.0013555645926528399,"frozenset({'Holter', 'MELFI'})",2,10
223,0.0013555645926528399,"frozenset({'MSG', 'MELFI'})",2,10
231,0.0012200081333875558,"frozenset({'MELFI', 'SABL'})",2,9
228,0.0012200081333875558,"frozenset({'MELFI', 'PFS'})",2,9
167,0.0010844516741222718,"frozenset({'FIR', 'MELFI'})",2,7
98,0.0009488952148569879,"frozenset({'BRIC', 'MELFI'})",2,7
139,0.0008133387555917039,"frozenset({'CGBA', 'Plant Habitat'})",2,6
234,0.00040666937779585197,"frozenset({'MELFI', 'Ultrasound'})",2,3
85,0.00040666937779585197,"frozenset({'LMM', 'ABRS'})",2,3
207,0.00040666937779585197,"frozenset({'MSG', 'IPU'})",2,3
226,0.00040666937779585197,"frozenset({'MELFI', 'MVP'})",2,3
112,0.00040666937779585197,"frozenset({'MSG', 'CBEF'})",2,3
261,0.00040666937779585197,"frozenset({'Plant Habitat', 'SABL'})",2,3
182,0.0005422258370611359,"frozenset({'MSPR', 'GN2'})",2,3
197,0.00027111291853056796,"frozenset({'Holter', 'IPU'})",2,1
92,0.00027111291853056796,"frozenset({'ADSEP', 'SABL'})",2,1
115,0.00027111291853056796,"frozenset({'CBEF', 'SABL'})",2,1
135,0.00027111291853056796,"frozenset({'CGBA', 'MELFI'})",2,1
146,0.00027111291853056796,"frozenset({'CIR', 'FPEF'})",2,1
154,0.00027111291853056796,"frozenset({'MSG', 'CellCult'})",2,1
161,0.00027111291853056796,"frozenset({'ELF', 'GN2'})",2,1
157,0.00027111291853056796,"frozenset({'Confocal Microscope', 'SABL'})",2,1
179,0.00027111291853056796,"frozenset({'FROST', 'SABL'})",2,1
155,0.00027111291853056796,"frozenset({'CellCult', 'SABL'})",2,1
225,0.00013555645926528398,"frozenset({'MELFI', 'MSRR-1'})",2,0
262,0.00013555645926528398,"frozenset({'Plant Habitat', 'WORF'})",2,0
247,0.00013555645926528398,"frozenset({'MSPR', 'SABL'})",2,0
236,0.00013555645926528398,"frozenset({'MSG', 'PCRF'})",2,0
84,0.00013555645926528398,"frozenset({'CGBA', 'ABRS'})",2,0
124,0.00013555645926528398,"frozenset({'CEVIS', 'IPU'})",2,0
109,0.00013555645926528398,"frozenset({'Holter', 'CBEF'})",2,0
103,0.00013555645926528398,"frozenset({'CIR', 'CB'})",2,0
100,0.00013555645926528398,"frozenset({'MELFI', 'Bone Densitometer'})",2,0
89,0.00013555645926528398,"frozenset({'SLAMMD', 'ABRS'})",2,0
88,0.00013555645926528398,"frozenset({'Mass Measurement Device', 'ABRS'})",2,0
87,0.00013555645926528398,"frozenset({'MSG', 'ABRS'})",2,0
159,0.00013555645926528398,"frozenset({'MSG', 'DECLIC'})",2,0
160,0.00013555645926528398,"frozenset({'MSL', 'DECLIC'})",2,0
213,0.00013555645926528398,"frozenset({'WORF', 'IPU'})",2,0
183,0.00013555645926528398,"frozenset({'Plant Habitat', 'GN2'})",2,0
169,0.00013555645926528398,"frozenset({'FIR', 'SCOF'})",2,0
165,0.00013555645926528398,"frozenset({'FIR', 'IPU'})",2,0
164,0.00013555645926528398,"frozenset({'FIR', 'FPEF'})",2,0
