,support,itemsets,length,frequency
373,0.0010661928031985785,"frozenset({'EML', 'EDR'})",2,12
417,0.000888494002665482,"frozenset({'EPM', 'MARES'})",2,10
374,0.000888494002665482,"frozenset({'EPM', 'EDR'})",2,10
375,0.00035539760106619283,"frozenset({'EDR', 'ETC'})",2,4
379,0.00035539760106619283,"frozenset({'Kubik', 'EDR'})",2,4
412,0.00035539760106619283,"frozenset({'EPM', 'ETC'})",2,4
413,0.0002665482007996446,"frozenset({'FSL', 'EPM'})",2,3
377,0.0002665482007996446,"frozenset({'FSL', 'EDR'})",2,3
248,0.0002665482007996446,"frozenset({'EMCS', 'BioLab'})",2,3
421,0.00017769880053309641,"frozenset({'EPM', 'Portable Pulmonary Function System'})",2,2
426,0.00017769880053309641,"frozenset({'FSL', 'ETC'})",2,2
411,8.884940026654821e-05,"frozenset({'EML', 'EPM'})",2,1
