,support,itemsets,length,frequency
666,0.013238560639715681,"frozenset({'Portable Pulmonary Function System', 'PFS'})",2,149
416,0.010306530430919591,"frozenset({'Holter', 'EPM'})",2,116
307,0.009506885828520658,"frozenset({'Portable Pulmonary Function System', 'CEVIS'})",2,107
217,0.00346512661039538,"frozenset({'Actiwatch', 'EPM'})",2,39
420,0.0018658374055975121,"frozenset({'EPM', 'PFS'})",2,21
293,0.001776988005330964,"frozenset({'EPM', 'CEVIS'})",2,20
634,0.0015992892047978675,"frozenset({'MSL', 'MSRR-1'})",2,18
407,0.001243891603731675,"frozenset({'EMCS', 'MELFI'})",2,14
408,0.0010661928031985785,"frozenset({'EMCS', 'MWA'})",2,12
404,0.0007996446023989338,"frozenset({'EXPRESS Rack', 'EMCS'})",2,9
286,0.0007996446023989338,"frozenset({'CBPD', 'EPM'})",2,9
425,0.0007107952021323857,"frozenset({'EPM', 'Ultrasound'})",2,8
415,0.0005330964015992892,"frozenset({'EPM', 'HRF-2'})",2,6
385,0.000444247001332741,"frozenset({'EMCS', 'ELC'})",2,5
586,0.000444247001332741,"frozenset({'PGB', 'MDS'})",2,5
570,0.000444247001332741,"frozenset({'Kubik', 'MELFI'})",2,5
301,0.00035539760106619283,"frozenset({'MSL', 'CEVIS'})",2,4
539,0.00035539760106619283,"frozenset({'Holter', 'Portable Pulmonary Function System'})",2,4
452,0.00035539760106619283,"frozenset({'EXPRESS Rack', 'Portable Pulmonary Function System'})",2,4
419,0.00035539760106619283,"frozenset({'EPM', 'PCBA'})",2,4
422,0.0002665482007996446,"frozenset({'EPM', 'RC'})",2,3
418,0.0002665482007996446,"frozenset({'EPM', 'MELFI'})",2,3
584,0.0002665482007996446,"frozenset({'MARES', 'WORF'})",2,3
675,0.0002665482007996446,"frozenset({'Ultrasound', 'Portable Pulmonary Function System'})",2,3
249,0.00017769880053309641,"frozenset({'BioLab', 'MELFI'})",2,2
429,0.00017769880053309641,"frozenset({'FSL', 'EXPRESS Rack'})",2,2
441,0.00017769880053309641,"frozenset({'EXPRESS Rack', 'MSL'})",2,2
423,0.00017769880053309641,"frozenset({'Spectrum', 'EPM'})",2,2
194,0.00017769880053309641,"frozenset({'EPM', 'ARED'})",2,2
492,0.00017769880053309641,"frozenset({'MSG', 'FSL'})",2,2
320,0.00017769880053309641,"frozenset({'FSL', 'CGBA'})",2,2
581,0.00017769880053309641,"frozenset({'MARES', 'Mass Measurement Device'})",2,2
582,0.00017769880053309641,"frozenset({'MARES', 'SLAMMD'})",2,2
597,0.00017769880053309641,"frozenset({'PGB', 'MELFI'})",2,2
315,0.00017769880053309641,"frozenset({'CGBA', 'EDR'})",2,2
382,0.00017769880053309641,"frozenset({'EDR', 'Plant Habitat'})",2,2
292,0.00017769880053309641,"frozenset({'CEVIS', 'EDR'})",2,2
396,0.00017769880053309641,"frozenset({'Solar', 'ELC'})",2,2
615,0.00017769880053309641,"frozenset({'MERLIN', 'Portable Pulmonary Function System'})",2,2
406,0.00017769880053309641,"frozenset({'GN2', 'EMCS'})",2,2
330,0.00017769880053309641,"frozenset({'Portable Pulmonary Function System', 'CGBA'})",2,2
674,8.884940026654821e-05,"frozenset({'TVIS', 'Portable Pulmonary Function System'})",2,1
673,8.884940026654821e-05,"frozenset({'RC', 'Portable Pulmonary Function System'})",2,1
676,8.884940026654821e-05,"frozenset({'WORF', 'Portable Pulmonary Function System'})",2,1
686,8.884940026654821e-05,"frozenset({'Solar', 'WORF'})",2,1
685,8.884940026654821e-05,"frozenset({'Solar', 'TEPC'})",2,1
535,8.884940026654821e-05,"frozenset({'Holter', 'MSL'})",2,1
532,8.884940026654821e-05,"frozenset({'MSL', 'Hermes'})",2,1
